Model,Accuracy,AUC,F1,Precision,Recall,Train_Time_s
LGB-XGB Blend,0.8776009858074001,0.9527086438132844,0.8626630523768807,0.872135368769542,0.8533942840688216,152.88537764549255
LightGBM,0.8774388464323933,0.9525778886487303,0.8624811250386596,0.8719514438109252,0.8532143114246634,143.3631031513214
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.8695205102153236,0.852254457322487,9.522274494171143
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.8653183373603326,0.8464953327094281,28.211750030517578
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.8629236028537456,0.8359009430566554,567.270220041275
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.857441337190614,0.8321335157056128,4.674759387969971
Random Forest,0.856593127452358,0.9369992898372915,0.8383728863115832,0.8514637103758878,0.8256784968684759,18.861934661865234
CatBoost,0.8538799952439117,0.9350095619258163,0.834735194875055,0.8508586097749421,0.819211479855062,5.920464515686035
DNN (PyTorch),0.8374228486807259,0.9207964895630121,0.8166787536032275,0.8298428346729747,0.8039258032779018,233.8029294013977
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.8342615087522581,0.8034218798742591,4.314692735671997
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.8195377620611265,0.7785736568041658,253.85097670555115
Logistic Regression,0.8020278231167511,0.8800758123081579,0.7774821402536813,0.7874123292727944,0.7677992945072349,0.3632221221923828
