Model,Accuracy,AUC,F1,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP,Fair_Verdicts,CFS
LGB-XGB Blend,0.8776009858074001,0.9527093833153568,0.8626630523768807,0.651643609221318,0.17644181253938596,0.052772896494517885,0.052772896494517885,0.0051387016478505534,0.09463124617987984,0.24526283640163227,0.7612648534660794,0.12397142186966964,0.03595741321754087,0.04875927675427351,0.004635460083581844,0.004063059943194114,0.02614781875456751,0.8302202897277289,0.07848419425002934,0.018896035008931444,0.029225097046877258,0.0025180247148964205,0.0010322960963649042,0.033898257051058756,0.29088367231681644,0.4361322989540718,0.183986206672197,0.183986206672197,0.013829989883637886,0.07034926818358123,0.0652667547652459,18,0.6428571428571429
LightGBM,0.8774496557240604,0.9525790199087221,0.8624932535278743,0.6693083024047994,0.1672376777312113,0.060376516687196236,0.060376516687196236,0.005438976559411252,0.1199599834634213,0.3079708785670553,0.7619118501474916,0.1235757956391853,0.034970276349925666,0.04896291343555269,0.004521322274151182,0.0038072519485436995,0.026735600578711827,0.8286514061474102,0.07924515361908024,0.020373442402225383,0.029515430939590817,0.002496037761805514,0.0009148048703294664,0.027563695512401565,0.29135148535809946,0.43630933482082607,0.18198238603606298,0.18198238603606298,0.01385332531818581,0.07157159444247019,0.07714129750968848,17,0.6071428571428571
AFCE-LightGBM,0.8766011263281918,0.9518096239340149,0.8616778946348083,0.6194290880993801,0.19760570728884136,0.06973295836500648,0.06973295836500648,0.003677377781494011,0.06903020166640406,0.10106279454574124,0.7902539962828716,0.1068250835844623,0.01652144343233153,0.03373467828181165,0.00464414028000467,0.016873312415346176,0.01946203081040221,0.8366170373002463,0.07553932575637579,0.01754554534210817,0.02534340996706322,0.002932863335639052,0.006308184846109954,0.015207176405962364,0.29173767251643523,0.4365985964847986,0.18465455412959442,0.18465455412959442,0.013776617038250304,0.07041971743467901,0.06504607475723123,18,0.6428571428571429
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.6490983425129728,0.1784279098581546,0.04028121909736704,0.04028121909736704,0.005425412289892545,0.07889702069847648,0.1744153077403704,0.763119071801028,0.12304346623395823,0.03390124997728117,0.04956850873943318,0.005007639449063982,0.0041294705615266825,0.022195454119766644,0.8316517964358102,0.07792018755685914,0.017783780706793095,0.029470661461813277,0.002782199714429459,0.0014053415083032927,0.031891003849710886,0.292592976597641,0.43537544052048627,0.1851346241083225,0.1851346241083225,0.014359952988656624,0.07340538342430825,0.041080584040785295,19,0.6785714285714286
AFCE-XGBoost,0.8744230540572676,0.9504718868097903,0.859069928246062,0.6217204344245612,0.19654662113616989,0.05484715895018866,0.05484715895018866,0.005869967832945772,0.05702104905665828,0.19691281393170357,0.7896003646653601,0.1069533288426805,0.017231682751326582,0.03430578238858786,0.005194991707992883,0.01691870741427537,0.018486860146291972,0.8352539508111062,0.07601749008103409,0.017908092145901278,0.026476057387058854,0.0029726421858219457,0.005334523630085575,0.014208964341157482,0.2912939228518247,0.43590679510597086,0.1867127817809514,0.1867127817809514,0.014301949009999253,0.06928266581843334,0.01828750967979431,19,0.6785714285714286
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.658874469578611,0.17233754291527453,0.045743900112832137,0.045743900112832137,0.006595630177393723,0.09308555617699377,0.3057532237388357,0.7565062807587786,0.12685874565452404,0.039111986222432726,0.05407156669161875,0.005878501061496275,0.0021040955103475145,0.09372728089003313,0.8273767513850534,0.07984236403016998,0.02286074380806813,0.03024459824505453,0.003608071069799011,0.002317574524305255,0.08000389634089322,0.280056881482688,0.4455696797593964,0.20361403261456934,0.20361403261456934,0.017997687507278343,0.06562092276269382,0.09511473177939223,16,0.5714285714285714
Fair (Reweigh+Thr),0.8663052760152627,0.9461430865852215,0.8493125651037701,0.8008604256988523,0.09604028517524371,0.03991132563740507,0.050385691768747534,0.006256810369880086,0.16834052250345888,0.18384455442428588,0.7894982391423415,0.1060838535146218,0.02093376186971141,0.03284723392631758,0.005253375266291806,0.02078344611609706,0.03803822190140066,0.8943696851596853,0.047511313012089273,0.009588488866119182,0.009588488866119182,0.0023030251475165756,0.03577690357523189,0.039207734833826,0.46705230799239517,0.2952224243349058,0.049887832567270474,0.049887832567270474,0.012385032316963862,0.23520845058403117,0.25038259215388736,20,0.7142857142857143
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.6456278569494839,0.17653580529842644,0.06783184453087365,0.06783184453087365,0.004201510712124802,0.09710915365290018,0.17439541640392686,0.750786352602007,0.12912258835900908,0.044638762481170824,0.05580618947635631,0.0028258989195631135,0.0017159723019285478,0.044254947455794835,0.8188926877007198,0.08315040678120761,0.03161998636638852,0.03161998636638852,0.0017862234874464547,0.002914269572741768,0.03182819584946378,0.2618590047772287,0.45733498625666735,0.24369248397375076,0.24369248397375076,0.011685236100924576,0.06991272519140168,0.0899556666680823,18,0.6428571428571429
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.6424391182111624,0.1774450488010405,0.0729076748494224,0.0729076748494224,0.005195890918543784,0.09116190864569074,0.12015777471585978,0.7515160996425142,0.12891294799617137,0.04354690713291465,0.058163188290282164,0.0033053121037578126,0.001627109684215533,0.033557982329286085,0.8266932019113457,0.07953805801287978,0.028216099799165284,0.028316949521899087,0.0015092603425914466,0.007585031136375764,0.029197212576363096,0.26306259833270085,0.45691457302447314,0.2428116122759172,0.2428116122759172,0.01213812555729088,0.06776773757725085,0.0694935306132275,18,0.6428571428571429
Random Forest,0.856593127452358,0.9369992898372919,0.8383728863115832,0.6327925958812882,0.18256522854915447,0.08305933548652,0.08305933548652,0.0055805946879571924,0.08247394702561883,0.10507279403436443,0.749218067248665,0.13022712924252855,0.04617804168552542,0.060646293406846546,0.0030748221189970254,0.002046700537876478,0.04243136725207042,0.8171910576794189,0.08406228754737927,0.035772818304605325,0.035772818304605325,0.000792913864775785,0.005878962280276068,0.041452455829548596,0.2578756276625752,0.4606360213426246,0.25730294174523916,0.25730294174523916,0.012446230717664902,0.07415411244344117,0.08312293834152251,18,0.6428571428571429
CatBoost,0.8538799952439117,0.9350096533753305,0.834735194875055,0.6102828352648194,0.19283099641056817,0.08574273622817319,0.08574273622817319,0.00494898253382791,0.05949308007630183,0.16938097278344372,0.7429783914014086,0.13314153420824265,0.05114056480145579,0.06303295441939949,0.002289817300362061,0.00041364079341976723,0.03506514377159642,0.8202873167233634,0.08197638884876052,0.031616039299426246,0.032205372713722424,0.0013597680987789684,0.004981091261225368,0.02708743993395124,0.24928562103145996,0.4647937753955911,0.2768508921745637,0.2768508921745637,0.011598914251504347,0.06901430297310474,0.06038778130748934,18,0.6428571428571429
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.6464503372353458,0.1751338578169715,0.09589439686527057,0.09589439686527057,0.012973280071889887,0.0967741195575883,0.19815554559230802,0.7504023869605763,0.12860422014459627,0.04610326577494295,0.06496982414973826,0.005746119377222969,0.004529629173382843,0.04920857657843469,0.828718372181169,0.07795970899390658,0.030904588712329373,0.030904588712329373,0.00092389858161461,0.013258547074596061,0.059968631993484456,0.281264323986267,0.4356940713843717,0.23398067994310612,0.23398067994310612,0.018207203141755002,0.10377095142449777,0.0777289438072879,16,0.5714285714285714
DNN (PyTorch),0.8380768108265866,0.9212621743847413,0.816901752756252,0.6250158448158734,0.18369544599624804,0.13753883656796284,0.13753883656796284,0.005115384275320427,0.11744429188963657,0.28250743711695947,0.7406428578869846,0.13464952242664574,0.0528448617014694,0.07113242275164001,0.0026560163097141265,0.0006503974947309477,0.03559534644315798,0.8134774885287779,0.08528817916526427,0.039791130060796154,0.039791130060796154,0.0004313012500838029,0.007322258717704977,0.02087778805943319,0.2428537109629782,0.473130486790287,0.30384155023124426,0.30384155023124426,0.010310776630326542,0.0742600009537937,0.1108539623550222,15,0.5357142857142857
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.6343938420867148,0.17564439009978516,0.12647546628129147,0.12647546628129147,0.0035692089417712625,0.12106020188365652,0.18825533504318825,0.6981979543990751,0.15967001949776732,0.08154023638980445,0.09999517881601094,0.0032741065125940876,0.016244663135562498,0.19956339193161846,0.7841483526981422,0.09817529036913947,0.054833515161864965,0.054833515161864965,0.001238607349662177,0.005269219934572411,0.18406472107789595,0.19668799225888794,0.49728790328873224,0.3950109142959385,0.3950109142959385,0.0038654738505108817,0.0588368179289811,0.1941224592504756,12,0.42857142857142855
Logistic Regression,0.8020278231167511,0.8800758123081579,0.7774821402536813,0.5504904937727857,0.22478386516659887,0.1693096547465479,0.1693096547465479,0.006629933152151393,0.06972818483290388,0.21874659723855686,0.6838548444643825,0.1736228770412399,0.08678892950084782,0.13073222121670083,0.009588906396446037,0.025480292345473776,0.09205256422857272,0.7599969334403212,0.1128345964047841,0.06740693225393513,0.07251680603727571,0.00023613815171993902,0.015499525682472148,0.0778603048813373,0.1927224854264777,0.50932360999175,0.4005082855753817,0.4005082855753817,0.016241533117211424,0.06046441897880539,0.16870060026199785,11,0.39285714285714285
