Subset,N,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
1,10000,0.5912252082081223,0,0.20014292920800403,0,0.25,0,0.25,0,0.023203889651127935,1,0.07578229274803494,1,0.5502733721572044,0,0.7658237925950615,0,0.12163276325318506,0,0.021540092133250255,1,0.05518542397975022,1,0.006929020869527881,1,0.0034363790752556245,1,0.05744740290953265,0,0.8635407589390393,1,0.06278177087358627,1,0.0061975082593639375,1,0.03273981822268468,1,0.007120389211515699,1,0.01086558572366858,1,0.0465777270663692,1,0.2953430034538681,0,0.43119836394153205,0,0.15567185572852427,0,0.15567185572852427,0,0.01837902201667519,1,0.06381937317439013,1,0.2702287016161342,0
2,10000,0.5752715121136174,0,0.21372120396838745,0,0.12884124553343546,0,0.12884124553343546,0,0.025103755257351857,1,0.15384615384615385,0,0.2535763939572232,0,0.7431141046011058,0,0.13403350037406941,0,0.05555494253168736,1,0.05555494253168736,1,0.005320764810770297,1,0.001965580650044929,1,0.08150398895832267,0,0.8316981537375691,1,0.07711031522761136,1,0.005929741948899614,1,0.02781177064278055,1,0.005779331946014557,1,0.0028496616530108154,1,0.06817995087829054,0,0.29453713114686364,0,0.4256646257553699,0,0.18645225120020759,0,0.18645225120020759,0,0.018198053328769802,1,0.07278422701308274,1,0.23077782653481932,0
3,10000,0.6524231370505471,0,0.16823608542122082,0,0.09491767344650048,1,0.09491767344650048,1,0.013764378406599762,1,0.0643564356435643,1,0.46019875880086236,0,0.7825307776219418,0,0.11075924250361124,0,0.03578883673874489,1,0.03578883673874489,1,0.003949212582913621,1,0.01008542649496369,1,0.09476056135310296,0,0.8085531484625804,1,0.08870511505909656,1,0.018362271775530847,1,0.025160876012923036,1,0.0017039565789124245,1,0.009242691838515671,1,0.08696003327036606,0,0.2788952150834758,0,0.4457889718735102,0,0.1980248191665076,0,0.1980248191665076,0,0.013279205254413881,1,0.09269232444782194,1,0.20493680381689694,0
4,10000,0.5826705026231173,0,0.20733142761055995,0,0.06582914572864329,1,0.06582914572864329,1,0.022292326266910484,1,0.0821397252265419,1,0.6069295790867244,0,0.7788410437140229,0,0.11208437033328511,0,0.03398154464936587,1,0.05614920757061238,1,0.0060742923541971736,1,0.012946362702912717,1,0.0817884701277316,0,0.8248943976875961,1,0.08005304466331742,1,0.020648001004822003,1,0.021820062882419305,1,0.0005152750337456755,1,0.01432612879691908,1,0.0740353347256631,0,0.28615023908113973,0,0.432725422082773,0,0.18168015653233827,0,0.18168015653233827,0,0.017944016459810738,1,0.08210037713954155,1,0.1678927079528585,0
5,10000,0.5893025246041934,0,0.20174037329746092,0,0.17500000000000004,0,0.17500000000000004,0,0.010409306144581978,1,0.258985200845666,0,0.6930580340242749,0,0.7546265188263694,0,0.12777202684226657,0,0.047669177610090485,1,0.047669177610090485,1,0.003214312373522009,1,0.016212442806116334,1,0.11896804526256494,0,0.8444314354398081,1,0.07142469598585949,1,0.027808995766080535,1,0.0363027907282491,1,0.001243388579750565,1,0.014947341707905015,1,0.0917266263021217,0,0.28160787599247467,0,0.4453831892251925,0,0.2296276419066069,0,0.2296276419066069,0,0.012168302717357395,1,0.08369907383688835,1,0.1895854822545373,0
6,10000,0.3103362802610923,0,0.35089120564990756,0,0.2415113182423435,0,0.2415113182423435,0,0.0043647725167640025,1,0.07718472004186283,1,0.4298567187154003,0,0.7665320435784786,0,0.12217818760670723,0,0.0228358374247849,1,0.04724625647716764,1,0.006063980898734639,1,0.0021241067701299743,1,0.0518081566642935,0,0.8363109946010457,1,0.07639566157649075,1,0.03297430136870172,1,0.03297430136870172,1,0.0031175417996290866,1,0.004644660289691793,1,0.11000650601205353,0,0.28856911784749334,0,0.4427566115192181,0,0.19922279088582018,0,0.19922279088582018,0,0.016089025200229645,1,0.09276579499904558,1,0.24196489521425735,0
7,10000,0.6730820923606258,0,0.16372007035933517,0,0.12071633646229962,0,0.12071633646229962,0,0.016213044080808717,1,0.162907268170426,0,0.5667519127257541,0,0.7730782188640614,0,0.11790910880669148,0,0.03381291416242882,1,0.04984564384691342,1,0.005009995061357186,1,0.00020407807728584082,1,0.08872619859653813,0,0.8557502166268461,1,0.06668447897668484,1,0.006481388186744597,1,0.024158489115744572,1,0.005209861837083392,1,0.00371820849549076,1,0.05589333030571875,0,0.3140607573866001,0,0.42711235489220556,0,0.14291735277973816,0,0.14291735277973816,0,0.01680903530159778,1,0.08846153846153848,1,0.2706857975791443,0
8,10000,0.500719884818429,0,0.2624012106944678,0,0.08459595959595956,1,0.08459595959595956,1,0.012587573948985506,1,0.03543470730862486,1,0.6222463635371064,0,0.7531301368229671,0,0.1297884499499402,0,0.034428022259314406,1,0.058068325125236575,1,0.007239266351154787,1,0.003162959932379472,1,0.06081083377791485,0,0.8357788440353763,1,0.07616740058955285,1,0.01701645951882813,1,0.021733394498315323,1,0.004283213166961682,1,0.012372455931659587,1,0.05141159792401456,0,0.30544273967107904,0,0.4237976503701891,0,0.1575894492612041,0,0.1575894492612041,0,0.01790556987151079,1,0.05937467101800198,1,0.14497295118598674,0
9,10000,0.5575708502024291,0,0.22969564486295613,0,0.09693464430306531,1,0.09693464430306531,1,0.022987962483738907,1,0.04645354645354638,1,0.6351376515351626,0,0.7519344448541877,0,0.1297685889923429,0,0.04082648113008647,1,0.048671289318020186,1,0.006041615117358894,1,0.00923884640817385,1,0.04962849853948548,1,0.8355281515673082,1,0.07610871928575191,1,0.009852247091111321,1,0.03546315121534298,1,0.0036571939208357718,1,0.007691723998381139,1,0.090211376345807,0,0.2978287205293076,0,0.4267590477449074,0,0.19403381031288003,0,0.19403381031288003,0,0.012690766315855709,1,0.07107843137254899,1,0.11580756863334712,0
10,10000,0.6449729544088606,0,0.17382713973431985,0,0.07911046299671887,1,0.07911046299671887,1,0.012615318915787842,1,0.042686242523110374,1,0.6672595904208305,0,0.7465475557532611,0,0.1295563362650824,0,0.043527248599662616,1,0.050110522065940785,1,0.002856676790556366,1,0.004003612388576716,1,0.06911812196306832,0,0.8608771276349936,1,0.06204049811363854,1,0.004447249113892937,1,0.02158732176464423,1,0.005293687141086599,1,0.005664604041886068,1,0.06346999434412298,0,0.28182115344522723,0,0.43316319085453125,0,0.20497979854590287,0,0.20497979854590287,0,0.021986844328922034,1,0.09763708513708513,1,0.3138248090099003,0
