Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,Total_Fair
Standard,0.0,0.0,0.0,0.8776009858074001,0.9527086438132844,0.0,0.651643609221318,4,0.29088367231681644,2,0.7612648534660794,5,0.8302202897277289,7,18
Standard,0.0,0.0,0.4,0.8771740187865489,0.9527086438132844,0.042696702085121,0.6271858110547693,4,0.2675389122987475,2,0.7576854175749781,5,0.8255474773642766,7,18
Standard,0.0,0.0,0.8,0.8766605774323608,0.9527086438132844,0.09404083750392811,0.5950354562538768,4,0.24277852745974074,2,0.7527566201970174,5,0.8178876027971098,7,18
Standard,0.0,0.4,0.0,0.8765038427031877,0.9527086438132844,0.10971431042123836,0.6850358182589779,3,0.34444101060469356,1,0.7867422921026297,5,0.8441635617425352,7,16
Standard,0.0,0.4,0.4,0.8776442229740685,0.9527086438132844,-0.004323716666843058,0.6412429564114018,4,0.3147106157150882,2,0.7794739969355128,5,0.8386086712290136,7,18
Standard,0.0,0.4,0.8,0.8775901765157329,0.9527086438132844,0.0010809291667190912,0.6136633618655815,4,0.2883689759038837,2,0.7739331190380073,5,0.8320479655586944,7,18
Standard,0.0,0.8,0.0,0.8726557348696939,0.9527086438132844,0.4945250937706147,0.7207750059837299,3,0.4103196810348537,3,0.8143346517133172,7,0.8631151493670673,7,20
Standard,0.0,0.8,0.4,0.8757796201614908,0.9527086438132844,0.18213656459092897,0.6616445245527295,4,0.3723827403915032,3,0.8055273843513913,7,0.8533980018844052,7,21
Standard,0.0,0.8,0.8,0.8769686422448737,0.9527086438132844,0.0632343562526394,0.6155741133978202,4,0.34050836508136606,1,0.7988524742144094,5,0.8455946548993812,7,17
Standard,0.0,1.0,0.0,0.8687697945153654,0.9527086438132844,0.883119129203469,0.7436745440534293,3,0.45804669266405335,3,0.8351226963874621,7,0.8765705776139242,7,20
Standard,0.0,1.0,0.4,0.8729205625155384,0.9527086438132844,0.46804232918616906,0.7041961361437991,3,0.4081557313772928,3,0.819432472821726,7,0.8642960890855159,7,20
Standard,0.0,1.0,0.8,0.8756553133073189,0.9527086438132844,0.19456725000811526,0.6302923377797457,3,0.37052515522468865,3,0.8116351619301412,7,0.8541348507034631,7,20
Standard,0.3,0.0,0.0,0.8744716958697697,0.9527086438132844,0.31292899376303973,0.7043619063442944,3,0.36952785229650226,3,0.7917911364977431,5,0.8511622870555654,7,18
Standard,0.3,0.0,0.4,0.8757958340989915,0.9527086438132844,0.1805151708408559,0.6600430465271518,3,0.3383008870105821,1,0.7850400593850811,5,0.8439838118529611,7,16
Standard,0.3,0.0,0.8,0.8766876006615286,0.9527086438132844,0.09133851458714703,0.6297267660857814,4,0.30875213256686,2,0.779575427441388,5,0.8352428569131908,7,18
Standard,0.3,0.4,0.0,0.8681698788278404,0.9527086438132844,0.9431106979559734,0.7318415919427553,3,0.4474517676895931,3,0.8240120972525884,7,0.87253237587357,7,20
Standard,0.3,0.4,0.4,0.871958535557165,0.9527086438132844,0.5642450250235131,0.6847133047975744,3,0.4010562201191332,3,0.8134837055544614,7,0.8601804537578539,7,20
Standard,0.3,0.4,0.8,0.8740447288489185,0.9527086438132844,0.35562569584816073,0.6455354821630873,3,0.3656663993913258,1,0.8055464445686996,7,0.852116087685106,7,18
Standard,0.3,0.8,0.0,0.8558526909731605,0.9527086438132844,2.1748294834239568,0.8192228788236572,5,0.5722025851692772,3,0.8763067385867431,7,0.9048064935787579,7,22
Standard,0.3,0.8,0.4,0.8634678369526445,0.9527086438132844,1.4133148854755584,0.7622562021208897,3,0.49801799700121213,3,0.8535062623101886,7,0.8878518980352558,7,20
Standard,0.3,0.8,0.8,0.8685103715153546,0.9527086438132844,0.9090614292045496,0.6934048878590477,3,0.4407879750649438,3,0.837669334169648,7,0.8751615412846924,7,20
Standard,0.3,1.0,0.0,0.8433301265768054,0.9527086438132844,3.4270859230594697,0.8930304892501366,4,0.6897612277783932,1,0.9222078319546337,6,0.9364413852156376,7,18
Standard,0.3,1.0,0.4,0.8561445418481727,0.9527086438132844,2.145644395922741,0.8237806269604654,5,0.5663285562102294,3,0.8817365095107337,7,0.9060297284927907,7,22
Standard,0.3,1.0,0.8,0.8632678650568029,0.9527086438132844,1.4333120750597228,0.7413660406133254,3,0.493211587575215,3,0.8605083749622169,7,0.888332632927659,7,20
Standard,0.5,0.0,0.0,0.8672781122653033,0.9527086438132844,1.0322873542096822,0.7332166290507465,3,0.44105403976349633,3,0.8179641977922714,7,0.8709960121729073,7,20
Standard,0.5,0.0,0.4,0.870672229848778,0.9527086438132844,0.6928755958622079,0.6878483393555412,3,0.3978978205697729,3,0.8070421584759694,7,0.8606133710676689,7,20
Standard,0.5,0.0,0.8,0.8724341443905181,0.9527086438132844,0.5166841416881951,0.6634673122667234,3,0.36347360761337505,1,0.7994005599047902,6,0.85186591053089,7,17
Standard,0.5,0.4,0.0,0.8553987007231416,0.9527086438132844,2.2202285084258477,0.8133110290278288,5,0.5602746155883731,3,0.8652547323536306,7,0.9020747766816241,7,22
Standard,0.5,0.4,0.4,0.8623058380984294,0.9527086438132844,1.5295147708970669,0.751411455324176,3,0.4901776983435125,3,0.8456426695503846,7,0.887036526707273,7,20
