Metric,Attribute,Threshold,Mean,SD,VFR (%),Margin (σ),Verdict,% Subsets Fair
DI,Race,0.8,0.6036,0.1027,0.0,1.5,UNFAIR,0.0
DI,Sex,0.8,0.7586,0.0159,3.3,2.8,UNFAIR,3.3
DI,Ethnicity,0.8,0.8384,0.0236,6.7,1.5,FAIR,93.3
DI,Age Group,0.8,0.2917,0.0138,0.0,47.3,UNFAIR,0.0
SPD,Race,0.1,0.1996,0.0526,0.0,1.6,UNFAIR,0.0
SPD,Sex,0.1,0.126,0.0099,3.3,2.8,UNFAIR,3.3
SPD,Ethnicity,0.1,0.0747,0.0115,3.3,2.1,FAIR,96.7
SPD,Age Group,0.1,0.4362,0.0097,0.0,38.2,UNFAIR,0.0
EOPP,Race,0.1,0.1425,0.0855,46.7,0.5,UNFAIR,46.7
EOPP,Sex,0.1,0.0368,0.0092,0.0,6.8,FAIR,100.0
EOPP,Ethnicity,0.1,0.0197,0.0125,0.0,6.8,FAIR,100.0
EOPP,Age Group,0.1,0.1841,0.0255,0.0,4.3,UNFAIR,0.0
EOD,Race,0.1,0.1479,0.082,33.3,0.7,UNFAIR,33.3
EOD,Sex,0.1,0.0513,0.0071,0.0,6.8,FAIR,100.0
EOD,Ethnicity,0.1,0.0295,0.0101,0.0,10.1,FAIR,100.0
EOD,Age Group,0.1,0.1846,0.0245,0.0,4.3,UNFAIR,0.0
TI,Race,0.1,0.0247,0.0123,0.0,5.4,FAIR,100.0
TI,Sex,0.1,0.005,0.0022,0.0,42.2,FAIR,100.0
TI,Ethnicity,0.1,0.0035,0.0029,0.0,52.9,FAIR,100.0
TI,Age Group,0.1,0.0162,0.003,0.0,20.6,FAIR,100.0
PP,Race,0.1,0.1102,0.0662,43.3,0.3,UNFAIR,43.3
PP,Sex,0.1,0.0068,0.0052,0.0,11.9,FAIR,100.0
PP,Ethnicity,0.1,0.0097,0.0073,0.0,12.6,FAIR,100.0
PP,Age Group,0.1,0.0671,0.0264,26.7,0.6,FAIR,73.3
CAL,Race,0.05,0.5402,0.1336,0.0,3.3,UNFAIR,0.0
CAL,Sex,0.05,0.0671,0.0119,13.3,1.1,UNFAIR,13.3
CAL,Ethnicity,0.05,0.0791,0.0156,16.7,1.1,UNFAIR,16.7
CAL,Age Group,0.05,0.2323,0.0623,0.0,2.3,UNFAIR,0.0
