Model,Accuracy,AUC,F1,Precision,Recall,Train_Time_s
LGB-XGB Blend,0.8777793391199075,0.9526768681160463,0.8628357231239537,0.8724884080370943,0.8533942840688216,134.53554892539978
LightGBM,0.8773361581615556,0.9525226658270208,0.862371746670871,0.8718030455359114,0.8531423223670002,125.01594591140747
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.8695205102153236,0.852254457322487,9.51960301399231
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.8653183373603326,0.8464953327094281,27.666820764541626
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.8629236028537456,0.8359009430566554,494.63423109054565
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.857441337190614,0.8321335157056128,4.652746915817261
Random Forest,0.856593127452358,0.9369992898372915,0.8383728863115832,0.8514637103758878,0.8256784968684759,19.3484890460968
CatBoost,0.854096181077254,0.9350350227685926,0.8349696176840973,0.8511516027718231,0.8193914524992201,5.444356203079224
DNN (PyTorch),0.8362932777015122,0.9197905069098263,0.8178549093183239,0.8198071127185051,0.8159119813788304,215.09373116493225
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.8342615087522581,0.8034218798742591,3.5047905445098877
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.8195377620611265,0.7785736568041658,214.6633722782135
Logistic Regression,0.8020278231167511,0.8800758123081579,0.7774821402536813,0.7874123292727944,0.7677992945072349,0.36808300018310547
