Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
Logistic Regression,RACE,DI,0.262801,0.272077,0.8,0.5372,2.0,0.0,0.0,UNFAIR
Logistic Regression,RACE,SPD,0.448451,0.172095,0.1,0.3485,2.0,0.0,0.0,UNFAIR
Logistic Regression,RACE,EOPP,0.319443,0.10621,0.1,0.2194,2.1,0.0,0.0,UNFAIR
Logistic Regression,RACE,EOD,0.406871,0.17471,0.1,0.3069,1.8,0.0,0.0,UNFAIR
Logistic Regression,RACE,TI,0.035731,0.021561,0.1,0.0643,3.0,0.0333,96.7,FAIR
Logistic Regression,RACE,PP,0.393397,0.227223,0.1,0.2934,1.3,0.0,0.0,UNFAIR
Logistic Regression,RACE,CAL,0.45775,0.149732,0.05,0.4077,2.7,0.0,0.0,UNFAIR
Logistic Regression,SEX,DI,0.687676,0.057388,0.8,0.1123,2.0,0.0667,6.7,UNFAIR
Logistic Regression,SEX,SPD,0.176834,0.03878,0.1,0.0768,2.0,0.0667,6.7,UNFAIR
Logistic Regression,SEX,EOPP,0.097627,0.052371,0.1,0.0024,0.0,0.4667,53.3,FAIR
Logistic Regression,SEX,EOD,0.134418,0.030755,0.1,0.0344,1.1,0.1333,13.3,UNFAIR
Logistic Regression,SEX,TI,0.014052,0.010871,0.1,0.0859,7.9,0.0,100.0,FAIR
Logistic Regression,SEX,PP,0.043327,0.028823,0.1,0.0567,2.0,0.0333,96.7,FAIR
Logistic Regression,SEX,CAL,0.235286,0.05828,0.05,0.1853,3.2,0.0,0.0,UNFAIR
Logistic Regression,ETHNICITY,DI,0.752921,0.097663,0.8,0.0471,0.5,0.2667,26.7,UNFAIR
Logistic Regression,ETHNICITY,SPD,0.120231,0.048718,0.1,0.0202,0.4,0.3,30.0,UNFAIR
Logistic Regression,ETHNICITY,EOPP,0.080898,0.079187,0.1,0.0191,0.2,0.3333,66.7,FAIR
Logistic Regression,ETHNICITY,EOD,0.111971,0.065306,0.1,0.012,0.2,0.4667,46.7,UNFAIR
Logistic Regression,ETHNICITY,TI,0.01365,0.012029,0.1,0.0864,7.2,0.0,100.0,FAIR
Logistic Regression,ETHNICITY,PP,0.055752,0.035721,0.1,0.0442,1.2,0.1333,86.7,FAIR
Logistic Regression,ETHNICITY,CAL,0.298119,0.086446,0.05,0.2481,2.9,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,DI,0.470208,0.045004,0.8,0.3298,7.3,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,SPD,0.341965,0.03981,0.1,0.242,6.1,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,EOPP,0.178501,0.046821,0.1,0.0785,1.7,0.0333,3.3,UNFAIR
Logistic Regression,AGE_GROUP,EOD,0.222636,0.045446,0.1,0.1226,2.7,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,TI,0.013982,0.010937,0.1,0.086,7.9,0.0,100.0,FAIR
Logistic Regression,AGE_GROUP,PP,0.068913,0.054256,0.1,0.0311,0.6,0.3,70.0,FAIR
Logistic Regression,AGE_GROUP,CAL,0.225932,0.062946,0.05,0.1759,2.8,0.0,0.0,UNFAIR
Random Forest,RACE,DI,0.266279,0.293971,0.8,0.5337,1.8,0.0333,3.3,UNFAIR
Random Forest,RACE,SPD,0.432285,0.183796,0.1,0.3323,1.8,0.0,0.0,UNFAIR
Random Forest,RACE,EOPP,0.267027,0.142595,0.1,0.167,1.2,0.1,10.0,UNFAIR
Random Forest,RACE,EOD,0.349824,0.222896,0.1,0.2498,1.1,0.0,0.0,UNFAIR
Random Forest,RACE,TI,0.025799,0.016532,0.1,0.0742,4.5,0.0,100.0,FAIR
Random Forest,RACE,PP,0.352061,0.275475,0.1,0.2521,0.9,0.0333,3.3,UNFAIR
Random Forest,RACE,CAL,0.522715,0.136949,0.05,0.4727,3.5,0.0,0.0,UNFAIR
Random Forest,SEX,DI,0.754095,0.07398,0.8,0.0459,0.6,0.2667,26.7,UNFAIR
Random Forest,SEX,SPD,0.132361,0.045259,0.1,0.0324,0.7,0.2667,26.7,UNFAIR
Random Forest,SEX,EOPP,0.043106,0.02627,0.1,0.0569,2.2,0.0,100.0,FAIR
Random Forest,SEX,EOD,0.071217,0.030447,0.1,0.0288,0.9,0.2,80.0,FAIR
Random Forest,SEX,TI,0.008942,0.006218,0.1,0.0911,14.6,0.0,100.0,FAIR
Random Forest,SEX,PP,0.038554,0.025075,0.1,0.0614,2.5,0.0333,96.7,FAIR
Random Forest,SEX,CAL,0.255266,0.063689,0.05,0.2053,3.2,0.0,0.0,UNFAIR
Random Forest,ETHNICITY,DI,0.810571,0.108905,0.8,0.0106,0.1,0.3667,63.3,FAIR
Random Forest,ETHNICITY,SPD,0.089974,0.052028,0.1,0.01,0.2,0.3667,63.3,FAIR
Random Forest,ETHNICITY,EOPP,0.060456,0.061509,0.1,0.0395,0.6,0.2,80.0,FAIR
