Metric,Attribute,Mean,SD,Min,Max,Range,CV%
DI,RACE,0.6503853044140852,0.03540903477952927,0.5985668231466946,0.7349620215669543,0.1363951984202597,5.444316551928911
DI,ETHNICITY,0.8286638611577448,0.004524642544056887,0.817905304461127,0.8361681002444613,0.01826279578333434,0.5460166366776762
DI,SEX,0.7625988358276437,0.003897993311918913,0.7539486899190461,0.7686803672830176,0.014731677363971518,0.5111459824992319
DI,AGE_GROUP,0.2534626068163762,0.0029510079859072997,0.24677368137066524,0.25835665789109047,0.011582976520425226,1.164277454167111
WTPR,RACE,0.8261550105779971,0.020191685184127162,0.7768595041322314,0.8437334743521946,0.06687397021996322,2.4440552832815956
WTPR,ETHNICITY,0.8385698113881401,0.001765052257934499,0.8353373745403955,0.8411384739604361,0.00580109942004059,0.21048363940179188
WTPR,SEX,0.8413240890552947,0.0013917021212084323,0.8387056575558695,0.8434209435370201,0.004715285981150674,0.16541807602004427
WTPR,AGE_GROUP,0.7303698852730255,0.004625935147065276,0.720559930008749,0.7374075378654456,0.01684760785669659,0.6333688231595169
SPD,RACE,0.17787986851717263,0.017967055353803867,0.13443026576882955,0.20606786872599986,0.07163760295717031,10.100668222648993
SPD,ETHNICITY,0.07925389894900545,0.0021757348285461916,0.07561489344471722,0.08446352947307328,0.00884863602835606,2.7452716615823918
SPD,SEX,0.12319077323096432,0.002332151706058474,0.11965018663580551,0.1285395620069184,0.008889375371112895,1.8931220617359368
SPD,AGE_GROUP,0.5791631519219471,0.007588251811193639,0.5623182014020507,0.5930702125256583,0.030752011123607592,1.3102097027430184
EOD,RACE,0.04172064289362122,0.021535915554245805,0.01411776531722686,0.09629683805065947,0.08217907273343261,51.61932813249742
EOD,ETHNICITY,0.021615720776189878,0.0019006137143999025,0.019231776527949718,0.02569778791906918,0.006466011391119464,8.792738091312986
EOD,SEX,0.03220331746358019,0.0021941274779972934,0.028466734769925894,0.03620994225766572,0.007743207487739823,6.813358532016789
EOD,AGE_GROUP,0.2060991404338231,0.0059302127830027146,0.19399049686579029,0.2148034478255192,0.020812950959728904,2.877359299277069
PPV_Ratio,RACE,0.9184326988493441,0.03164899713207175,0.8626120578101371,0.9667793256945016,0.10416726788436459,3.445978912959339
PPV_Ratio,ETHNICITY,0.9968613370402707,0.002116216518447473,0.9929550014411291,0.999928953759826,0.006973952318696908,0.2122879521770422
PPV_Ratio,SEX,0.9962315978388278,0.0019786779384060225,0.9925110623938539,0.9998919880103558,0.007380925616501943,0.19861625978321323
PPV_Ratio,AGE_GROUP,0.9229457673258921,0.0061481456683339115,0.9066679135883289,0.9347820895522387,0.02811417596390986,0.6661437633705515
