Model,Accuracy,AUC,F1,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP,Fair_Verdicts,CFS
LGB-XGB Blend,0.8777793391199075,0.9526768681160463,0.8628357231239537,0.6573576201005565,0.17350329568933437,0.048774115892088354,0.048774115892088354,0.005200515491354717,0.09769580246487186,0.2324569186085581,0.7626645811281552,0.12306617802583508,0.0345808866837477,0.048198657381778365,0.004642323818353139,0.0042686119966598435,0.026019860748977552,0.83066165438219,0.07823857081308755,0.019288135417798613,0.02848049631253026,0.00247623987758519,0.0019012485025535764,0.03241924839011612,0.504446280811501,0.3046022860757074,0.10456830841918474,0.10926915904161642,0.004857124282877517,0.03394865198376107,0.015575425284410027,19,0.6785714285714286
LightGBM,0.8773361581615556,0.9525226658270208,0.862371746670871,0.6699374590725873,0.1667627414158535,0.05530068636864749,0.05530068636864749,0.005390741856722073,0.11545247788972479,0.26916697882263485,0.7622935648903884,0.12335314999549812,0.03472251622572409,0.04880537868236154,0.004533406039590536,0.003995127495716955,0.02711785326991123,0.8297344284675453,0.07872653603346147,0.020458645417427035,0.028587532201523103,0.002430873451807203,0.002142422854287007,0.024604465375319018,0.5036214192295688,0.30545988942779334,0.10452518309432901,0.11159600750960923,0.004852507153587711,0.032493205512562295,0.018133553996855567,18,0.6428571428571429
AFCE-LightGBM,0.8761957778906748,0.9517169743070808,0.8612109131227697,0.6163653884402164,0.19931243387154596,0.06898995498021332,0.06898995498021332,0.003965477543085599,0.06420720212398368,0.11947944351513062,0.791390646291356,0.10613857483211525,0.01642461891806546,0.03266831145184591,0.004684465096960473,0.01803175628335918,0.0217448332537995,0.8366506175762078,0.07550921010055384,0.016767606200329466,0.025952166851111166,0.003061760377456299,0.005552440541478965,0.022507390564380336,0.5037073126618957,0.3059140413211983,0.10537109639356745,0.11298570717523156,0.004669348630242411,0.03349779385247842,0.019829466410699714,19,0.6785714285714286
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.6490983425129728,0.1784279098581546,0.04028121909736704,0.04028121909736704,0.005425412289892545,0.07889702069847648,0.1744153077403704,0.763119071801028,0.12304346623395823,0.03390124997728117,0.04956850873943318,0.005007639449063982,0.0041294705615266825,0.022195454119766644,0.8316517964358102,0.07792018755685914,0.017783780706793095,0.029470661461813277,0.002782199714429459,0.0014053415083032927,0.031891003849710886,0.5054495728643453,0.3043723103542235,0.10534719765805989,0.11019717844473732,0.005146158884035364,0.03649820672333215,0.015963175198593083,19,0.6785714285714286
AFCE-XGBoost,0.8744230540572676,0.9504718868097903,0.859069928246062,0.6217204344245612,0.19654662113616989,0.05484715895018866,0.05484715895018866,0.005869967832945772,0.05702104905665828,0.19691281393170357,0.7896003646653601,0.1069533288426805,0.017231682751326582,0.03430578238858786,0.005194991707992883,0.01691870741427537,0.018486860146291972,0.8352539508111062,0.07601749008103409,0.017908092145901278,0.026476057387058854,0.0029726421858219457,0.005334523630085575,0.014208964341157482,0.5036386254486588,0.30529905552063125,0.10668038040670669,0.11263006916626869,0.005198188554303991,0.03508411352817842,0.015367329830919707,19,0.6785714285714286
Fair (Reweigh+Thr),0.8722666003696777,0.9499033741481837,0.852709120143589,0.7242685665046235,0.1299310420607288,0.003574983107039742,0.03552087201225915,0.01407802338052884,0.1313297904831715,0.2614730545452663,0.7587529539890914,0.11867336597869083,0.03645752191131746,0.041315642892674795,0.005364582540823212,0.003211939655683671,0.026453972006104665,0.8410737948142407,0.06924868239981197,0.014329000968654415,0.01849724008062993,0.0025130991571260045,0.00835306208664044,0.0301575892484941,0.48786939305397076,0.3017506503468072,0.11972735563662995,0.11972735563662995,0.004888927223890192,0.02616161574298248,0.01780922675985297,18,0.6428571428571429
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.658874469578611,0.17233754291527453,0.045743900112832137,0.045743900112832137,0.006595630177393688,0.09308555617699377,0.30575322373883534,0.7565062807587786,0.12685874565452404,0.039111986222432726,0.05407156669161875,0.005878501061496275,0.0021040955103475145,0.0937272808900333,0.8273767513850534,0.07984236403016998,0.02286074380806813,0.03024459824505453,0.003608071069799164,0.002317574524305255,0.0800038963408933,0.4960514649463122,0.31189156699146803,0.11331694103774204,0.12357953831722608,0.006946884945610472,0.029224148501472702,0.08315713095520627,16,0.5714285714285714
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.6456278569494839,0.17653580529842644,0.06783184453087365,0.06783184453087365,0.004201510712124802,0.09710915365290018,0.17439541640392686,0.750786352602007,0.12912258835900908,0.044638762481170824,0.05580618947635631,0.0028258989195631135,0.0017159723019285478,0.044254947455794835,0.8188926877007198,0.08315040678120761,0.03161998636638852,0.03161998636638852,0.0017862234874464547,0.002914269572741768,0.03182819584946378,0.4825163599673628,0.3206208230325308,0.13061095729839634,0.13216715917832902,0.004434119466804477,0.025157200810134395,0.03497316337499867,19,0.6785714285714286
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.6424391182111624,0.1774450488010405,0.0729076748494224,0.0729076748494224,0.005195890918543784,0.09116190864569074,0.12015777471585978,0.7515160996425142,0.12891294799617137,0.04354690713291465,0.058163188290282164,0.0033053121037578126,0.001627109684215533,0.033557982329286085,0.8266932019113457,0.07953805801287978,0.028216099799165284,0.028316949521899087,0.0015092603425914466,0.007585031136375764,0.029197212576363096,0.48392695943229874,0.3199746578840202,0.13003402865628277,0.13613371344901515,0.004732744768210687,0.027496199532336063,0.034377660550973466,19,0.6785714285714286
Random Forest,0.856593127452358,0.9369992898372915,0.8383728863115832,0.6327925958812882,0.18256522854915447,0.08305933548652,0.08305933548652,0.005580594687957199,0.08247394702561883,0.10507279403436443,0.749218067248665,0.13022712924252855,0.04617804168552542,0.060646293406846546,0.003074822118997178,0.002046700537876478,0.04243136725207042,0.8171910576794189,0.08406228754737927,0.035772818304605325,0.035772818304605325,0.000792913864775778,0.005878962280276068,0.041452455829548596,0.48159805387009624,0.32177168520882204,0.1367983016946922,0.13991217461505762,0.0042017835947511795,0.031437348754411176,0.04493318445630767,19,0.6785714285714286
