Fold,N_val,N_hospitals,Acc,AUC,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP
1,46255,21,0.827153821208518,0.9254579511700033,0.4921544209215442,0,0.3175023357209592,0,0.203307392996109,0,0.203307392996109,0,0.054129379640273714,1,0.06793275217932748,1,0.633950165076457,0,0.76486689794329,0,0.1465372036202589,0,0.03665632789250728,1,0.10662986650038003,0,0.008518752715684932,1,0.009295932303857612,1,0.19344931397551507,0,0.8270750281989179,1,0.09711677368511534,1,0.011459970131461605,1,0.0523117635504253,1,0.006070566757308396,1,0.027540635818158576,1,0.20701905710012158,0,0.5669690418581629,0,0.30199667100565103,0,0.06297613825953408,1,0.18558688946771026,0,0.012913443156779517,1,0.0847474111198534,1,0.20932352857781455,0
2,46257,21,0.8397647923557515,0.9270445977910005,0.5339715716697635,0,0.27892293952740577,0,0.09061293976844353,1,0.12069514237855945,0,0.030450060038526204,1,0.09363799283154117,1,0.6144417952846476,0,0.7909140179847044,0,0.12352365973607016,0,0.03945222698327544,1,0.08382457209393504,1,0.00484503146131493,1,0.002356214312631555,1,0.11997507109320216,0,0.8456942296173922,1,0.08185216123009564,1,0.03004446045799225,1,0.05233029171780246,1,0.0016573282349546664,1,0.006299221224541185,1,0.10561840912783282,0,0.571420223445875,0,0.28944681377127485,0,0.08742939981330855,1,0.16774406975598113,0,0.00861639054758715,1,0.045387070903298854,1,0.10793615808865575,0
3,46258,22,0.8239223485667344,0.9090197771021626,0.7323750174361034,0,0.18405286954554423,0,0.10069008664714363,0,0.25039059846477824,0,0.05718550243200879,1,0.11588834954208893,0,0.6810986729949626,0,0.8503053255808921,1,0.08714486565048035,1,0.028041697184270298,1,0.07072978226729315,1,0.006380665583441469,1,0.010364323964023092,1,0.10972996392634371,0,0.9923693216607579,1,0.004071563416059409,1,0.0020030935128508842,1,0.02809873777098154,1,0.016271424435128537,1,0.029664282112731533,1,0.14091660041270782,0,0.6580867192829963,0,0.22101294292892715,0,0.06721051346256579,1,0.11054363383130505,0,0.0019282574565712418,1,0.06283016056550872,1,0.11072975792949669,0
4,46255,22,0.8205815587504054,0.911651811994292,0.6162218733647304,0,0.23073616988601464,0,0.14621754688696997,0,0.19221315006738054,0,0.022005245383488317,1,0.16628510991512035,0,0.3644828655310689,0,0.7874275690428589,0,0.11371611050682101,0,0.05647862650518365,1,0.060307256568742446,1,0.0001434049400868137,1,0.016583108542948977,1,0.14860535543914632,0,0.7467406252016837,0,0.12508247610086876,0,0.048590616482353854,1,0.08869644544438682,1,0.009325137178103085,1,0.02849647776509856,1,0.16111687557289078,0,0.544623511049039,0,0.28418962273602455,0,0.10871257278191204,0,0.12391467334321926,0,0.0029089840041318926,1,0.10985380934332711,0,0.1845300781508613,0
5,46255,23,0.8372500270241054,0.9277970364059693,0.578805035831312,0,0.31398170056211283,0,0.03486476472767697,1,0.504994650599696,0,0.10669460294363367,0,0.41911599931875837,0,0.716038034361085,0,0.7779548765866803,0,0.13045978703527367,0,0.033941357598921806,1,0.05578884220399702,1,0.000107354485824801,1,0.04378827266528229,1,0.1799207671133196,0,0.9565073575327196,1,0.022604415019987667,1,0.03262841344834222,1,0.09586449104088043,1,0.019804160146415964,1,0.1237093134655467,0,0.3317504075199428,0,0.4980019062704873,0,0.34610627528741256,0,0.11601613604984828,0,0.15216360958629,0,0.0035321283666708697,1,0.13636595750904845,0,0.20437120390706276,0
6,46259,21,0.8399014245876478,0.9293070780789436,0.6789480444507424,0,0.1446011928049486,0,0.2680454176804542,0,0.2680454176804542,0,0.06491451820464118,1,0.10492116579073096,0,0.8532370331457207,0,0.5752467828343951,0,0.21292880985316853,0,0.09136659120457502,1,0.09136659120457502,1,0.004420631742653225,1,0.0032637349813351424,1,0.1457612394679778,0,0.6401605948456245,0,0.1499284356721673,0,0.08830934732182083,1,0.08830934732182083,1,0.004330858619147657,1,0.009764213591409554,1,0.1448347361398129,0,0.42481542546454615,0,0.3349411545926969,0,0.16732359318682433,0,0.16732359318682433,0,0.004247448764833933,1,0.030289781932147708,1,0.14409259761742121,0
7,46259,21,0.840160833567522,0.9204807584510182,0.7286063569682152,0,0.1356968215158924,0,0.25,0,0.25,0,0.021141267759020893,1,0.13134270101483214,0,0.6090355425612652,0,0.7584700617941614,0,0.11991378056360008,0,0.030118866231561348,1,0.0602089385599648,1,0.008734078102164547,1,0.007894532558690548,1,0.07825998158917202,0,0.8365762348614072,1,0.0730713592536707,1,0.05001650809258029,1,0.05001650809258029,1,0.008009549145393993,1,0.07758782304377221,1,0.1755010900019699,0,0.47725542877348226,0,0.30597195825237883,0,0.13547425318663375,0,0.13547425318663375,0,0.009464615905112966,1,0.06957928133459546,1,0.07909585905405214,0
8,46256,22,0.826725181598063,0.9148060328519443,0.14138119650618064,0,0.5108195076557562,0,0.3112415031422342,0,0.3112415031422342,0,0.05403288546576493,1,0.12587412587412583,0,0.45581898863416526,0,0.9249438961379175,1,0.038070696475677734,1,0.015371486832468473,1,0.02013161144835776,1,0.0013231618734242945,1,0.0017540664941820827,1,0.09973705319878046,0,0.7957472909425476,0,0.11671583374711564,0,0.06489448560035083,1,0.11360743058687092,0,0.010162314346911838,1,0.0532525389955113,1,0.12793381902138734,0,0.5205176880367498,0,0.2993034540085802,0,0.13516452164062398,0,0.1431749271334563,0,0.002861787666591731,1,0.04220111799208226,1,0.10402149552539489,0
9,46255,23,0.8340503729326559,0.9210765305110048,0.686788990825688,0,0.2060598744567842,0,0.10857142857142854,0,0.3544061302681992,0,0.035758966370401234,1,0.17341779441405125,0,0.615018700327921,0,0.8269710618974911,1,0.09058622314022502,1,0.04580938200707951,1,0.059598760590298616,1,0.0034729425686802623,1,0.009038127059106893,1,0.1461710463157796,0,0.7783135571618597,0,0.10959432714518719,0,0.08683221836094313,1,0.08683221836094313,1,0.001394864294383777,1,0.041576021309171485,1,0.1337102890579016,0,0.6222366296865763,0,0.22355262598638054,0,0.09389580288562938,1,0.09392645243881126,1,0.004999284693096059,1,0.06674090330321436,1,0.1276051041097669,0
10,46258,22,0.8432919711185092,0.929110302200398,0.7868357999569633,0,0.11288335866460147,0,0.20174909529553675,0,0.20174909529553675,0,0.015419161161236969,1,0.19495133819951338,0,0.18151529478367515,0,0.7996484740719039,0,0.10989851274186974,0,0.019265574782690864,1,0.053388696850831474,1,0.005849159622532178,1,0.01998564899892219,1,0.09419627541292985,0,0.7096209716409905,0,0.14377612417395125,0,0.006544729980570985,1,0.04414940227890654,1,0.007698383168025763,1,0.06314727501409623,1,0.16178724986634835,0,0.5158823507002359,0,0.3122754723737531,0,0.1001307696928444,0,0.14396166029705254,0,0.007813369964676561,1,0.07501559844090544,1,0.11048174715931935,0
