Subset,N,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
1,500,0.125,0,0.5833333333333333,0,0.6666666666666667,0,0.6666666666666667,0,0.06210348933307702,1,0.1589403973509934,0,0.5679410248094818,0,0.7423251759138177,0,0.14299536941046376,0,0.10765336509827284,0,0.11279069767441861,0,0.003923333899129869,1,0.06371400498828517,1,0.3239928184192117,0,0.9463725226437091,1,0.025934599705091488,1,0.040823970037453194,1,0.040823970037453194,1,0.015277125760886884,1,0.03164494954443031,1,0.3498563093278809,0,0.574018771331058,0,0.2634086824619544,0,0.055885681946802546,1,0.18597294204751968,0,0.031133699563030005,1,0.04867788461538458,1,0.3727909676487937,0
2,500,0.4166666666666667,0,0.35,0,0.11131386861313863,0,0.25,0,0.016223321210974403,1,1.0,0,0.5145409959660155,0,0.7450660133387778,0,0.128852504127683,0,0.00439560439560438,1,0.12365591397849462,0,0.025829127314039302,1,0.09035872413481516,1,0.2522384943650038,0,0.8357142857142857,1,0.07301587301587298,1,0.10357070399675394,0,0.10357070399675394,0,0.02390247808645029,1,0.0475961538461539,1,0.2903001899870359,0,0.4781045751633987,0,0.30901702786377705,0,0.12197632527020075,0,0.12197632527020075,0,0.010648346564207385,1,0.01693121693121702,1,0.14531664508205244,0
3,500,0.35714285714285715,0,0.6428571428571428,0,0.1333333333333333,0,0.9615384615384616,0,0.02070396185759389,1,0.9333333333333333,0,0.6929040262605829,0,0.6625335430739335,0,0.19041403435493137,0,0.023735810113519107,1,0.02842085450781101,1,0.010209920695126842,1,0.07599009900990106,1,0.3662153948925819,0,0.7301036522977001,0,0.12807413818580987,0,0.012787723785166238,1,0.08362221005899168,1,0.012015817235190226,1,0.06163328197226503,1,0.6929040262605829,0,0.5793684210526315,0,0.24455324357405145,0,0.07614607614607616,1,0.11378099626947555,0,0.0018092765574939246,1,0.008583333333333387,1,0.2827904840567623,0
4,500,0.0,0,0.5740740740740741,0,0.20430107526881724,0,0.20430107526881724,0,0.02088340061184319,1,0.16279069767441856,0,0.7125254027555137,0,0.788659793814433,0,0.11388888888888887,0,0.012151339409003037,1,0.03990204552002305,1,0.00670742382229169,1,0.018950879320800418,1,0.2629153546009423,0,0.7882625482625483,0,0.105267199017199,0,0.03970223325062039,1,0.03970223325062039,1,0.004753021278709031,1,0.01793103448275868,1,0.5180557202644546,0,0.4842464230113425,0,0.3414143396967169,0,0.17719442165709598,0,0.17719442165709598,0,0.0038268357749614984,1,0.04579093432007397,1,0.22731037551649885,0
5,500,0.6678614097968937,0,0.198005698005698,0,0.15822784810126578,0,0.18181818181818182,0,0.02161848716686468,1,0.12903225806451613,0,0.5505799932557034,0,0.6882134871130987,0,0.1747209444197128,0,0.027432460587540786,1,0.053194333066025126,1,0.010183054009087339,1,0.020216661580714,1,0.25731161104365263,0,0.7945820433436532,0,0.1003478523895947,0,0.035511363636363646,1,0.0364693446088795,1,0.005867612219604884,1,0.004187437686939188,1,0.2416159749383855,0,0.5968308892184325,0,0.24075501402122035,0,0.08838383838383834,1,0.08838383838383834,1,0.00523936847420424,1,0.09184774233317927,1,0.5475496570287959,0
6,500,0.0,0,0.5454545454545454,0,0.1071428571428571,0,0.12429378531073447,0,0.03171716900551497,1,0.15827338129496404,0,0.632887431785949,0,0.7106493506493506,0,0.15070346320346323,0,0.08185857955874332,1,0.08185857955874332,1,0.008341267972277744,1,0.0015789473684210131,1,0.3566150123830857,0,0.8765287769784174,1,0.0547240877657984,1,0.054817275747508276,1,0.054817275747508276,1,0.01640342055087521,1,0.026388888888888795,1,0.5406647105546968,0,0.5107705973795248,0,0.30310952118877266,0,0.09421182266009842,1,0.1372549019607843,0,0.007279359998679902,1,0.017192982456140316,1,0.29014837345873473,0
7,500,0.52,0,0.24,0,0.2222222222222222,0,0.2222222222222222,0,0.025874223834006664,1,0.15384615384615385,0,0.477324140545619,0,0.6957441184245308,0,0.15698308783415166,0,0.03768481788676514,1,0.08159684141259049,1,0.01665156931457238,1,0.0358063328424153,1,0.40792217257956287,0,0.7649667405764966,0,0.10474308300395258,0,0.06974789915966395,1,0.06974789915966395,1,0.01252739408046738,1,0.023577235772357708,1,0.4626094951873132,0,0.46404607318464586,0,0.32059344480735796,0,0.0564393939393939,1,0.09469891919711787,1,0.0010037508335178982,1,0.04178899980426698,1,0.298345860216634,0
8,500,0.36666666666666664,0,0.6333333333333333,0,0.19875776397515532,0,0.19875776397515532,0,0.028147390175471812,1,0.16000000000000003,0,0.4857626438467444,0,0.7278481012658229,0,0.1419922949917446,0,0.05901116427432218,1,0.0592092574734812,1,0.009140236275474369,1,0.0,1,0.2881537504398194,0,0.8303571428571429,1,0.07661290322580644,1,0.038149350649350655,1,0.06179138321995466,1,0.0025604584446173723,1,0.05357142857142849,1,0.5712040937530236,0,0.4606161224866261,0,0.3302835197108325,0,0.17377398720682302,0,0.1750537634408602,0,0.003060293413947507,1,0.05297580117723999,1,0.4477629412232011,0
9,500,0.25,0,0.75,0,0.5,0,0.5,0,0.0067993291563231625,1,0.12587412587412583,0,0.4416934469316286,0,0.8264597795018375,1,0.0877132636213539,1,0.07246376811594202,1,0.07246376811594202,1,0.007103423933144656,1,0.024437927663734094,1,0.4286855915002569,0,0.6950492689129052,0,0.1503398562222092,0,0.008763281849052396,1,0.05801172447484123,1,0.00882027853712982,1,0.011595547309833032,1,0.2947882123062885,0,0.4988344988344988,0,0.31615580681001243,0,0.10284749405173066,0,0.15675675675675677,0,0.011389689313007337,1,0.03703703703703698,1,0.156767916356508,0
10,500,0.0,0,0.45454545454545453,0,0.15322580645161288,0,0.15322580645161288,0,0.030747584989019725,1,0.15000000000000002,0,0.7246948290200772,0,0.7254772876892692,0,0.1415959252971138,0,0.042043771597827795,1,0.042043771597827795,1,0.0045769110793736426,1,0.07195636875439837,1,0.27837514989154144,0,0.9049554781262098,1,0.04167727697139462,1,0.015049415992812176,1,0.02460433568293656,1,0.0010812021313594614,1,0.014146341463414647,1,0.39073258449845605,0,0.41712658002492436,0,0.37489980533608147,0,0.14048234280792415,0,0.14542671259089168,0,0.003716190253053711,1,0.039055834676272716,1,0.23966644930741626,0
