Model,Attribute,Subgroup,N,TPR,FPR,PPV,ECE,TPR_CI_Width,TPR_CV
Logistic Regression,RACE,0,712,0.7445887445887446,0.2515592515592516,0.5870307167235495,0.19488771970512261,0.1120917824865193,0.03403445874035771
Logistic Regression,RACE,1,3291,0.8050784167289021,0.21567622950819673,0.7191460973982655,0.11877579050187315,0.04268946987191824,0.013092526869190399
Logistic Regression,RACE,2,23161,0.6697762734252456,0.17840333091962346,0.8045418484728283,0.07435749078097874,0.017400389603343336,0.005471293105613852
Logistic Regression,RACE,3,120761,0.6830031855296401,0.23842211100863334,0.7028977315547517,0.04785930808286228,0.007724288940627377,0.002629086085614456
Logistic Regression,RACE,4,37101,0.6189083172661393,0.14120580235720762,0.749275595621378,0.0575928398343398,0.0144449394440187,0.006381275155901849
Logistic Regression,ETHNICITY,0,50674,0.6168548227371756,0.13370299888444123,0.7535232565172685,0.06609150280867253,0.012773194033089186,0.005016487810398144
Logistic Regression,ETHNICITY,1,134352,0.6891686460807601,0.24327968315496756,0.7153000345150634,0.04321974287506964,0.006821207029138909,0.002293297837605829
Logistic Regression,SEX,0,67853,0.7078049195676228,0.33720787585107037,0.694098990067607,0.04318920728756431,0.008969759584814163,0.0032837811177661843
Logistic Regression,SEX,1,117173,0.6451485477868563,0.15059211859744623,0.7489440783916202,0.06114187158592569,0.008840404010158842,0.0030812207289886615
Logistic Regression,AGE_GROUP,Adult (19-40),22527,0.9700537496800614,0.7424264386142919,0.7474608026821813,0.061994034976051465,0.005159650159535789,0.0014556840307434126
Logistic Regression,AGE_GROUP,Pediatric (0-18),162499,0.6027791724504563,0.17171162996803158,0.7149437769292746,0.0586954139584337,0.007235658622234853,0.0027687459066655876
Random Forest,RACE,0,712,0.70995670995671,0.1704781704781705,0.6666666666666666,0.061315078496079436,0.1120917824865193,0.03403445874035771
Random Forest,RACE,1,3291,0.8252427184466019,0.20440573770491804,0.7347074468085106,0.052016698092359585,0.04268946987191824,0.013092526869190399
Random Forest,RACE,2,23161,0.8342276892594733,0.2986060825488776,0.7538794389734408,0.0212067563773758,0.017400389603343336,0.005471293105613852
Random Forest,RACE,3,120761,0.7899381201713596,0.3092275359470207,0.6784276729559748,0.03469391391534631,0.007724288940627377,0.002629086085614456
Random Forest,RACE,4,37101,0.7791370254637324,0.2343155031731641,0.6939246802463288,0.033106137730506385,0.0144449394440187,0.006381275155901849
Random Forest,ETHNICITY,0,50674,0.7695583283818578,0.20726425618478903,0.7110114826844778,0.027094380129904696,0.012773194033089186,0.005016487810398144
Random Forest,ETHNICITY,1,134352,0.8028345209817894,0.3242043762815651,0.687136603282599,0.03533298790873103,0.006821207029138909,0.002293297837605829
Random Forest,SEX,0,67853,0.8228218004369167,0.4362080598662823,0.6709543088490457,0.03914274382617877,0.008969759584814163,0.0032837811177661843
Random Forest,SEX,1,117173,0.7742156801596707,0.2197353562845644,0.710437453497911,0.029563855268525303,0.008840404010158842,0.0030812207289886615
Random Forest,AGE_GROUP,Adult (19-40),22527,0.9313411824929614,0.5874764458617191,0.7821904557179707,0.027380404385951983,0.005159650159535789,0.0014556840307434126
Random Forest,AGE_GROUP,Pediatric (0-18),162499,0.7632534924244662,0.267437566600901,0.6709504893942935,0.03415992101837761,0.007235658622234853,0.0027687459066655876
Gradient Boosting,RACE,0,712,0.6666666666666666,0.1392931392931393,0.6968325791855203,0.0284627282734956,0.1120917824865193,0.03403445874035771
Gradient Boosting,RACE,1,3291,0.7819268110530246,0.16700819672131148,0.7625637290604516,0.030443682393329223,0.04268946987191824,0.013092526869190399
Gradient Boosting,RACE,2,23161,0.8092957979030794,0.2668356263577118,0.7688024468669123,0.007152571127646022,0.017400389603343336,0.005471293105613852
