Attribute,Subgroup,Metric,Mean,Std,CV,Min,Max,Range
RACE,0,DEMOGRAPHIC_PARITY,0.4218,0.0189,4.49%,0.3713,0.4570,0.0858
RACE,0,TPR,0.7518,0.0256,3.40%,0.6804,0.8089,0.1286
RACE,0,FPR,0.2559,0.0177,6.90%,0.1904,0.2894,0.0990
RACE,0,PPV,0.5959,0.0298,5.00%,0.5288,0.6628,0.1339
RACE,0,ECE,0.1864,0.0147,7.90%,0.1574,0.2192,0.0618
RACE,1,DEMOGRAPHIC_PARITY,0.4520,0.0079,1.76%,0.4276,0.4657,0.0381
RACE,1,TPR,0.7839,0.0103,1.31%,0.7615,0.8060,0.0445
RACE,1,FPR,0.2207,0.0083,3.77%,0.2026,0.2421,0.0395
RACE,1,PPV,0.7122,0.0106,1.49%,0.6847,0.7359,0.0512
RACE,1,ECE,0.1131,0.0063,5.57%,0.0956,0.1283,0.0326
RACE,2,DEMOGRAPHIC_PARITY,0.4383,0.0030,0.67%,0.4321,0.4475,0.0153
RACE,2,TPR,0.6708,0.0037,0.55%,0.6649,0.6837,0.0187
RACE,2,FPR,0.1835,0.0033,1.82%,0.1741,0.1899,0.0158
RACE,2,PPV,0.8003,0.0034,0.42%,0.7944,0.8084,0.0141
RACE,2,ECE,0.0709,0.0024,3.43%,0.0663,0.0758,0.0095
RACE,3,DEMOGRAPHIC_PARITY,0.4405,0.0012,0.28%,0.4370,0.4428,0.0058
RACE,3,TPR,0.6831,0.0018,0.26%,0.6790,0.6868,0.0078
RACE,3,FPR,0.2398,0.0016,0.65%,0.2367,0.2436,0.0070
RACE,3,PPV,0.7021,0.0016,0.23%,0.6982,0.7054,0.0071
RACE,3,ECE,0.0491,0.0008,1.66%,0.0477,0.0510,0.0033
RACE,4,DEMOGRAPHIC_PARITY,0.3303,0.0022,0.68%,0.3250,0.3361,0.0111
RACE,4,TPR,0.6173,0.0039,0.64%,0.6064,0.6248,0.0184
RACE,4,FPR,0.1358,0.0023,1.67%,0.1306,0.1412,0.0106
RACE,4,PPV,0.7549,0.0033,0.43%,0.7479,0.7616,0.0137
RACE,4,ECE,0.0596,0.0019,3.14%,0.0557,0.0627,0.0071
ETHNICITY,0,DEMOGRAPHIC_PARITY,0.3227,0.0017,0.54%,0.3185,0.3269,0.0084
ETHNICITY,0,TPR,0.6155,0.0031,0.50%,0.6099,0.6215,0.0116
ETHNICITY,0,FPR,0.1304,0.0017,1.28%,0.1271,0.1343,0.0072
ETHNICITY,0,PPV,0.7562,0.0026,0.35%,0.7514,0.7617,0.0103
ETHNICITY,0,ECE,0.0662,0.0017,2.57%,0.0629,0.0700,0.0071
ETHNICITY,1,DEMOGRAPHIC_PARITY,0.4544,0.0011,0.24%,0.4508,0.4564,0.0055
ETHNICITY,1,TPR,0.6891,0.0016,0.23%,0.6860,0.6929,0.0069
ETHNICITY,1,FPR,0.2454,0.0014,0.58%,0.2419,0.2487,0.0069
ETHNICITY,1,PPV,0.7142,0.0015,0.20%,0.7099,0.7170,0.0071
ETHNICITY,1,ECE,0.0439,0.0009,2.14%,0.0422,0.0461,0.0039
SEX,0,DEMOGRAPHIC_PARITY,0.5267,0.0019,0.37%,0.5231,0.5319,0.0088
SEX,0,TPR,0.7035,0.0023,0.33%,0.6995,0.7094,0.0099
SEX,0,FPR,0.3362,0.0025,0.75%,0.3316,0.3431,0.0114
SEX,0,PPV,0.6926,0.0019,0.28%,0.6890,0.6974,0.0084
SEX,0,ECE,0.0444,0.0016,3.66%,0.0412,0.0481,0.0069
SEX,1,DEMOGRAPHIC_PARITY,0.3554,0.0011,0.32%,0.3529,0.3576,0.0047
SEX,1,TPR,0.6477,0.0020,0.31%,0.6432,0.6530,0.0098
SEX,1,FPR,0.1513,0.0014,0.91%,0.1484,0.1544,0.0060
SEX,1,PPV,0.7493,0.0020,0.27%,0.7445,0.7532,0.0087
SEX,1,ECE,0.0612,0.0010,1.69%,0.0592,0.0633,0.0041
AGE_GROUP,Adult (19-40),DEMOGRAPHIC_PARITY,0.9021,0.0021,0.24%,0.8974,0.9065,0.0091
AGE_GROUP,Adult (19-40),TPR,0.9705,0.0014,0.15%,0.9657,0.9735,0.0078
AGE_GROUP,Adult (19-40),FPR,0.7490,0.0059,0.79%,0.7309,0.7606,0.0298
AGE_GROUP,Adult (19-40),PPV,0.7437,0.0036,0.48%,0.7353,0.7534,0.0180
AGE_GROUP,Adult (19-40),ECE,0.0600,0.0022,3.71%,0.0561,0.0653,0.0092
AGE_GROUP,Pediatric (0-18),DEMOGRAPHIC_PARITY,0.3512,0.0009,0.26%,0.3488,0.3537,0.0049
AGE_GROUP,Pediatric (0-18),TPR,0.6027,0.0017,0.28%,0.5987,0.6067,0.0080
AGE_GROUP,Pediatric (0-18),FPR,0.1712,0.0010,0.57%,0.1689,0.1736,0.0047
AGE_GROUP,Pediatric (0-18),PPV,0.7158,0.0013,0.19%,0.7127,0.7196,0.0069
AGE_GROUP,Pediatric (0-18),ECE,0.0595,0.0008,1.36%,0.0577,0.0614,0.0037
