Attribute,Subgroup,Bootstrap_CI_Width,Seed_CV,Combined_Instability,Stability_Rank
AGE_GROUP,Adult (19-40),0.005159650159535789,0.0014556840307434126,0.006615334190279202,1
ETHNICITY,1,0.006821207029138909,0.002293297837605829,0.009114504866744737,2
AGE_GROUP,Pediatric (0-18),0.007235658622234853,0.0027687459066655876,0.01000440452890044,3
RACE,3,0.007724288940627377,0.002629086085614456,0.010353375026241833,4
SEX,1,0.008840404010158842,0.0030812207289886615,0.011921624739147504,5
SEX,0,0.008969759584814163,0.0032837811177661843,0.012253540702580348,6
ETHNICITY,0,0.012773194033089186,0.005016487810398144,0.01778968184348733,7
RACE,4,0.0144449394440187,0.006381275155901849,0.02082621459992055,8
RACE,2,0.017400389603343336,0.005471293105613852,0.02287168270895719,9
RACE,1,0.04268946987191824,0.013092526869190399,0.05578199674110864,10
RACE,0,0.1120917824865193,0.03403445874035771,0.146126241226877,11
