seed,procedure,FDP,power,n_rejected
0,Step-wise BH,0.0,1.0,6
0,e-BH,0.0,1.0,6
0,Bonferroni,0.0,1.0,6
1,Step-wise BH,0.0,1.0,6
1,e-BH,0.0,1.0,6
1,Bonferroni,0.0,1.0,6
2,Step-wise BH,0.0,1.0,6
2,e-BH,0.0,1.0,6
2,Bonferroni,0.0,1.0,6
3,Step-wise BH,0.0,1.0,6
3,e-BH,0.0,1.0,6
3,Bonferroni,0.0,1.0,6
4,Step-wise BH,0.0,1.0,6
4,e-BH,0.0,1.0,6
4,Bonferroni,0.0,1.0,6
5,Step-wise BH,0.0,1.0,6
5,e-BH,0.0,1.0,6
5,Bonferroni,0.0,1.0,6
6,Step-wise BH,0.0,1.0,6
6,e-BH,0.0,1.0,6
6,Bonferroni,0.0,1.0,6
7,Step-wise BH,0.0,1.0,6
7,e-BH,0.0,1.0,6
7,Bonferroni,0.0,1.0,6
8,Step-wise BH,0.0,1.0,6
8,e-BH,0.0,1.0,6
8,Bonferroni,0.0,1.0,6
9,Step-wise BH,0.0,1.0,6
9,e-BH,0.0,1.0,6
9,Bonferroni,0.0,1.0,6
10,Step-wise BH,0.0,1.0,6
10,e-BH,0.0,1.0,6
10,Bonferroni,0.0,1.0,6
11,Step-wise BH,0.0,1.0,6
11,e-BH,0.0,1.0,6
11,Bonferroni,0.0,1.0,6
12,Step-wise BH,0.0,1.0,6
12,e-BH,0.0,1.0,6
12,Bonferroni,0.0,1.0,6
13,Step-wise BH,0.0,1.0,6
13,e-BH,0.0,1.0,6
13,Bonferroni,0.0,1.0,6
14,Step-wise BH,0.0,1.0,6
14,e-BH,0.0,1.0,6
14,Bonferroni,0.0,1.0,6
15,Step-wise BH,0.0,1.0,6
15,e-BH,0.0,1.0,6
15,Bonferroni,0.0,1.0,6
16,Step-wise BH,0.0,1.0,6
16,e-BH,0.0,1.0,6
16,Bonferroni,0.0,1.0,6
17,Step-wise BH,0.0,1.0,6
17,e-BH,0.0,1.0,6
17,Bonferroni,0.0,1.0,6
18,Step-wise BH,0.0,1.0,6
18,e-BH,0.0,1.0,6
18,Bonferroni,0.0,1.0,6
19,Step-wise BH,0.0,1.0,6
19,e-BH,0.0,1.0,6
19,Bonferroni,0.0,1.0,6
20,Step-wise BH,0.0,1.0,6
20,e-BH,0.0,1.0,6
20,Bonferroni,0.0,1.0,6
21,Step-wise BH,0.0,1.0,6
21,e-BH,0.0,1.0,6
21,Bonferroni,0.0,1.0,6
22,Step-wise BH,0.0,1.0,6
22,e-BH,0.0,1.0,6
22,Bonferroni,0.0,1.0,6
23,Step-wise BH,0.0,1.0,6
23,e-BH,0.0,1.0,6
23,Bonferroni,0.0,1.0,6
24,Step-wise BH,0.0,1.0,6
24,e-BH,0.0,1.0,6
