hospital,n,minority_share,flip_rate,role
5,978,0.209,0.1022,baseline
2,997,0.217,0.1254,baseline
15,990,0.233,0.1081,baseline
13,997,0.236,0.1214,baseline
11,979,0.263,0.1052,baseline
27,1006,0.274,0.1282,baseline
16,995,0.289,0.1095,baseline
3,995,0.293,0.1327,baseline
6,983,0.294,0.0936,baseline
18,980,0.296,0.1112,baseline
17,1033,0.302,0.1171,replay
10,1041,0.311,0.1499,replay
22,982,0.335,0.1293,replay
21,1012,0.369,0.1383,replay
24,973,0.452,0.1264,replay
29,998,0.474,0.1453,replay
25,1003,0.495,0.1286,replay
9,1005,0.537,0.1303,replay
20,1072,0.538,0.1446,replay
1,1026,0.564,0.1316,replay
26,982,0.566,0.1415,replay
0,964,0.572,0.1452,replay
4,962,0.582,0.131,replay
8,993,0.583,0.147,replay
23,1032,0.591,0.1444,replay
12,1012,0.599,0.1403,replay
7,926,0.612,0.1836,replay
28,992,0.627,0.1542,replay
14,1037,0.635,0.162,replay
19,1055,0.65,0.1374,replay
