model,attribute,metric,value,verdict,test_AUC
LR,RACE,DI,0.5874,unfair,0.896
LR,RACE,WTPR,0.6667,unfair,0.896
LR,RACE,SPD,0.218,unfair,0.896
LR,RACE,EOD,0.175,unfair,0.896
LR,RACE,PPV_Ratio,0.8548,fair,0.896
LR,RACE,Eq_Odds,0.2405,unfair,0.896
LR,ETHNICITY,DI,0.7821,unfair,0.896
LR,ETHNICITY,WTPR,0.7746,unfair,0.896
LR,ETHNICITY,SPD,0.1091,unfair,0.896
LR,ETHNICITY,EOD,0.0533,fair,0.896
LR,ETHNICITY,PPV_Ratio,0.9859,fair,0.896
LR,ETHNICITY,Eq_Odds,0.126,unfair,0.896
LR,SEX,DI,0.6947,unfair,0.896
LR,SEX,WTPR,0.7819,unfair,0.896
LR,SEX,SPD,0.1782,unfair,0.896
LR,SEX,EOD,0.0782,fair,0.896
LR,SEX,PPV_Ratio,0.9671,fair,0.896
LR,SEX,Eq_Odds,0.2198,unfair,0.896
LR,AGE_GROUP,DI,0.2159,unfair,0.896
LR,AGE_GROUP,WTPR,0.5471,unfair,0.896
LR,AGE_GROUP,SPD,0.6097,unfair,0.896
LR,AGE_GROUP,EOD,0.3558,unfair,0.896
LR,AGE_GROUP,PPV_Ratio,0.8416,fair,0.896
LR,AGE_GROUP,Eq_Odds,0.7081,unfair,0.896
RF,RACE,DI,0.6197,unfair,0.9405
RF,RACE,WTPR,0.7922,unfair,0.9405
RF,RACE,SPD,0.1965,unfair,0.9405
RF,RACE,EOD,0.0876,fair,0.9405
RF,RACE,PPV_Ratio,0.9241,fair,0.9405
RF,RACE,Eq_Odds,0.1364,unfair,0.9405
RF,ETHNICITY,DI,0.8201,fair,0.9405
RF,ETHNICITY,WTPR,0.8272,fair,0.9405
RF,ETHNICITY,SPD,0.086,fair,0.9405
RF,ETHNICITY,EOD,0.0316,fair,0.9405
RF,ETHNICITY,PPV_Ratio,0.9959,fair,0.9405
RF,ETHNICITY,Eq_Odds,0.0683,fair,0.9405
RF,SEX,DI,0.7576,unfair,0.9405
RF,SEX,WTPR,0.8349,fair,0.9405
RF,SEX,SPD,0.1302,unfair,0.9405
RF,SEX,EOD,0.0384,fair,0.9405
RF,SEX,PPV_Ratio,0.9973,fair,0.9405
RF,SEX,Eq_Odds,0.1033,unfair,0.9405
RF,AGE_GROUP,DI,0.2459,unfair,0.9405
RF,AGE_GROUP,WTPR,0.6956,unfair,0.9405
RF,AGE_GROUP,SPD,0.5977,unfair,0.9405
RF,AGE_GROUP,EOD,0.2375,unfair,0.9405
RF,AGE_GROUP,PPV_Ratio,0.9093,fair,0.9405
RF,AGE_GROUP,Eq_Odds,0.568,unfair,0.9405
GB,RACE,DI,0.6078,unfair,0.9454
GB,RACE,WTPR,0.7792,unfair,0.9454
GB,RACE,SPD,0.1967,unfair,0.9454
GB,RACE,EOD,0.0704,fair,0.9454
GB,RACE,PPV_Ratio,0.936,fair,0.9454
GB,RACE,Eq_Odds,0.1132,unfair,0.9454
GB,ETHNICITY,DI,0.8252,fair,0.9454
GB,ETHNICITY,WTPR,0.8169,fair,0.9454
GB,ETHNICITY,SPD,0.0801,fair,0.9454
GB,ETHNICITY,EOD,0.0257,fair,0.9454
GB,ETHNICITY,PPV_Ratio,0.9962,fair,0.9454
GB,ETHNICITY,Eq_Odds,0.0557,fair,0.9454
GB,SEX,DI,0.7532,unfair,0.9454
GB,SEX,WTPR,0.8184,fair,0.9454
GB,SEX,SPD,0.1276,unfair,0.9454
GB,SEX,EOD,0.0425,fair,0.9454
GB,SEX,PPV_Ratio,0.9974,fair,0.9454
GB,SEX,Eq_Odds,0.0971,fair,0.9454
GB,AGE_GROUP,DI,0.2328,unfair,0.9454
GB,AGE_GROUP,WTPR,0.6731,unfair,0.9454
GB,AGE_GROUP,SPD,0.5987,unfair,0.9454
GB,AGE_GROUP,EOD,0.2582,unfair,0.9454
GB,AGE_GROUP,PPV_Ratio,0.93,fair,0.9454
GB,AGE_GROUP,Eq_Odds,0.5567,unfair,0.9454
XGBoost,RACE,DI,0.6366,unfair,0.953
XGBoost,RACE,WTPR,0.8225,fair,0.953
XGBoost,RACE,SPD,0.1844,unfair,0.953
XGBoost,RACE,EOD,0.0423,fair,0.953
XGBoost,RACE,PPV_Ratio,0.9268,fair,0.953
XGBoost,RACE,Eq_Odds,0.0749,fair,0.953
XGBoost,ETHNICITY,DI,0.8289,fair,0.953
XGBoost,ETHNICITY,WTPR,0.8377,fair,0.953
XGBoost,ETHNICITY,SPD,0.079,fair,0.953
XGBoost,ETHNICITY,EOD,0.0207,fair,0.953
XGBoost,ETHNICITY,PPV_Ratio,0.9983,fair,0.953
XGBoost,ETHNICITY,Eq_Odds,0.0495,fair,0.953
XGBoost,SEX,DI,0.762,unfair,0.953
XGBoost,SEX,WTPR,0.8397,fair,0.953
XGBoost,SEX,SPD,0.1234,unfair,0.953
XGBoost,SEX,EOD,0.0325,fair,0.953
XGBoost,SEX,PPV_Ratio,0.9985,fair,0.953
XGBoost,SEX,Eq_Odds,0.0831,fair,0.953
XGBoost,AGE_GROUP,DI,0.2534,unfair,0.953
XGBoost,AGE_GROUP,WTPR,0.7273,unfair,0.953
XGBoost,AGE_GROUP,SPD,0.5763,unfair,0.953
XGBoost,AGE_GROUP,EOD,0.2084,unfair,0.953
XGBoost,AGE_GROUP,PPV_Ratio,0.92,fair,0.953
XGBoost,AGE_GROUP,Eq_Odds,0.4587,unfair,0.953
LightGBM,RACE,DI,0.6422,unfair,0.9536
LightGBM,RACE,WTPR,0.8268,fair,0.9536
LightGBM,RACE,SPD,0.1816,unfair,0.9536
LightGBM,RACE,EOD,0.0382,fair,0.9536
LightGBM,RACE,PPV_Ratio,0.9234,fair,0.9536
LightGBM,RACE,Eq_Odds,0.0711,fair,0.9536
LightGBM,ETHNICITY,DI,0.8271,fair,0.9536
LightGBM,ETHNICITY,WTPR,0.8376,fair,0.9536
LightGBM,ETHNICITY,SPD,0.08,fair,0.9536
LightGBM,ETHNICITY,EOD,0.022,fair,0.9536
LightGBM,ETHNICITY,PPV_Ratio,0.9989,fair,0.9536
LightGBM,ETHNICITY,Eq_Odds,0.0513,fair,0.9536
LightGBM,SEX,DI,0.7619,unfair,0.9536
LightGBM,SEX,WTPR,0.8401,fair,0.9536
LightGBM,SEX,SPD,0.1235,unfair,0.9536
LightGBM,SEX,EOD,0.0336,fair,0.9536
LightGBM,SEX,PPV_Ratio,0.9973,fair,0.9536
LightGBM,SEX,Eq_Odds,0.0832,fair,0.9536
LightGBM,AGE_GROUP,DI,0.2516,unfair,0.9536
LightGBM,AGE_GROUP,WTPR,0.7247,unfair,0.9536
LightGBM,AGE_GROUP,SPD,0.5806,unfair,0.9536
LightGBM,AGE_GROUP,EOD,0.2116,unfair,0.9536
LightGBM,AGE_GROUP,PPV_Ratio,0.9226,fair,0.9536
LightGBM,AGE_GROUP,Eq_Odds,0.4745,unfair,0.9536
DNN,RACE,DI,0.6048,unfair,0.9342
DNN,RACE,WTPR,0.7662,unfair,0.9342
DNN,RACE,SPD,0.2056,unfair,0.9342
DNN,RACE,EOD,0.0919,fair,0.9342
DNN,RACE,PPV_Ratio,0.9193,fair,0.9342
DNN,RACE,Eq_Odds,0.1473,unfair,0.9342
DNN,ETHNICITY,DI,0.8128,fair,0.9342
DNN,ETHNICITY,WTPR,0.8119,fair,0.9342
DNN,ETHNICITY,SPD,0.0896,fair,0.9342
DNN,ETHNICITY,EOD,0.0385,fair,0.9342
DNN,ETHNICITY,PPV_Ratio,0.9959,fair,0.9342
DNN,ETHNICITY,Eq_Odds,0.0787,fair,0.9342
DNN,SEX,DI,0.7535,unfair,0.9342
DNN,SEX,WTPR,0.8225,fair,0.9342
DNN,SEX,SPD,0.1327,unfair,0.9342
DNN,SEX,EOD,0.0438,fair,0.9342
DNN,SEX,PPV_Ratio,0.9957,fair,0.9342
DNN,SEX,Eq_Odds,0.1123,unfair,0.9342
DNN,AGE_GROUP,DI,0.2375,unfair,0.9342
DNN,AGE_GROUP,WTPR,0.6725,unfair,0.9342
DNN,AGE_GROUP,SPD,0.6165,unfair,0.9342
DNN,AGE_GROUP,EOD,0.2722,unfair,0.9342
DNN,AGE_GROUP,PPV_Ratio,0.899,fair,0.9342
DNN,AGE_GROUP,Eq_Odds,0.6285,unfair,0.9342
