model,attribute,DI,WTPR,SPD,EOD,PPV_Ratio,Eq_Odds
LR,RACE,U,U,U,U,F,U
LR,ETHNICITY,U,U,U,F,F,U
LR,SEX,U,U,U,F,F,U
LR,AGE_GROUP,U,U,U,U,F,U
RF,RACE,U,U,U,F,F,U
RF,ETHNICITY,F,F,F,F,F,F
RF,SEX,U,F,U,F,F,U
RF,AGE_GROUP,U,U,U,U,F,U
GB,RACE,U,U,U,F,F,U
GB,ETHNICITY,F,F,F,F,F,F
GB,SEX,U,F,U,F,F,F
GB,AGE_GROUP,U,U,U,U,F,U
XGBoost,RACE,U,F,U,F,F,F
XGBoost,ETHNICITY,F,F,F,F,F,F
XGBoost,SEX,U,F,U,F,F,F
XGBoost,AGE_GROUP,U,U,U,U,F,U
LightGBM,RACE,U,F,U,F,F,F
LightGBM,ETHNICITY,F,F,F,F,F,F
LightGBM,SEX,U,F,U,F,F,F
LightGBM,AGE_GROUP,U,U,U,U,F,U
DNN,RACE,U,U,U,F,F,U
DNN,ETHNICITY,F,F,F,F,F,F
DNN,SEX,U,F,U,F,F,U
DNN,AGE_GROUP,U,U,U,U,F,U
