group_a,group_aprime,n,mean_rank_shift,abs_mean_rank_shift,rcap_W1
Asian/PI,Black,552,0.007682230793205547,0.008360414083514576,0.008360414083514576
Asian/PI,Hispanic,552,-0.006823936714047587,0.011796833681545252,0.011796833681545252
Asian/PI,Other,552,-0.005196988179257062,0.014616109976727243,0.014616109976727243
Asian/PI,White,552,-0.003813751426108879,0.014172251424917523,0.014172251424917523
Black,Asian/PI,1488,0.00778084580021817,0.00945376633136779,0.00945376633136779
Black,Hispanic,1488,-0.013858788691820223,0.014966842712304411,0.014966842712304411
Black,Other,1488,0.0019427295451117307,0.013052039157514938,0.013052039157514938
Black,White,1488,-0.011001036826755677,0.016285270514445963,0.016285270514445963
Hispanic,Asian/PI,3643,0.021993240958439256,0.02315466902355357,0.02315466902355357
Hispanic,Black,3643,0.014332059716823251,0.0152765078243715,0.0152765078243715
Hispanic,Other,3643,0.016774146701308192,0.017581842876548313,0.017581842876548313
Hispanic,White,3643,0.0032253401207286213,0.0066052385947719975,0.0066052385947719975
Other,Asian/PI,499,0.007104789288722372,0.015112760154795957,0.015112760154795957
Other,Black,499,0.01383411985260844,0.018739307001962635,0.018739307001962635
Other,Hispanic,499,-0.001107347827689417,0.008013649774804815,0.008013649774804815
Other,White,499,0.0020501642680341736,0.004904262955567974,0.004904262955567974
White,Asian/PI,5818,0.004805488713188953,0.01419402380218556,0.01419402380218556
White,Black,5818,0.01142299851776282,0.016446745686528992,0.016446745686528992
White,Hispanic,5818,-0.003002150415471139,0.006578420811518309,0.006578420811518309
White,Other,5818,-0.0009622200743873426,0.00474798663554051,0.00474798663554051
