seed,mode,delay
0,full,757.0
0,no_grow,612.0
1,full,710.0
1,no_grow,564.0
2,full,997.0
2,no_grow,874.0
3,full,439.0
3,no_grow,243.0
4,full,684.0
4,no_grow,509.0
5,full,529.0
5,no_grow,419.0
6,full,707.0
6,no_grow,553.0
7,full,794.0
7,no_grow,652.0
8,full,1177.0
8,no_grow,1110.0
9,full,1002.0
9,no_grow,881.0
10,full,1313.0
10,no_grow,1216.0
11,full,890.0
11,no_grow,749.0
12,full,440.0
12,no_grow,332.0
13,full,905.0
13,no_grow,790.0
14,full,1020.0
14,no_grow,924.0
15,full,964.0
15,no_grow,860.0
16,full,1054.0
16,no_grow,901.0
17,full,843.0
17,no_grow,727.0
18,full,1038.0
18,no_grow,876.0
19,full,614.0
19,no_grow,470.0
20,full,826.0
20,no_grow,707.0
21,full,854.0
21,no_grow,
22,full,521.0
22,no_grow,392.0
23,full,1097.0
23,no_grow,996.0
24,full,582.0
24,no_grow,466.0
25,full,778.0
25,no_grow,697.0
26,full,689.0
26,no_grow,563.0
27,full,758.0
27,no_grow,650.0
28,full,813.0
28,no_grow,719.0
29,full,715.0
29,no_grow,584.0
30,full,1096.0
30,no_grow,961.0
31,full,869.0
31,no_grow,775.0
32,full,830.0
32,no_grow,667.0
33,full,509.0
33,no_grow,
34,full,713.0
34,no_grow,614.0
35,full,1029.0
35,no_grow,856.0
36,full,677.0
36,no_grow,592.0
37,full,1233.0
37,no_grow,1020.0
38,full,1002.0
38,no_grow,833.0
39,full,823.0
39,no_grow,713.0
