rho1,seed,delay,detected
0.06,0,,False
0.06,1,,False
0.06,2,,False
0.06,3,2746.0,True
0.06,4,,False
0.06,5,,False
0.06,6,,False
0.06,7,,False
0.06,8,,False
0.06,9,,False
0.06,10,,False
0.06,11,,False
0.06,12,,False
0.06,13,,False
0.06,14,,False
0.06,15,,False
0.06,16,,False
0.06,17,,False
0.06,18,,False
0.06,19,4923.0,True
0.06,20,,False
0.06,21,,False
0.06,22,,False
0.06,23,,False
0.06,24,,False
0.06,25,,False
0.06,26,,False
0.06,27,,False
0.06,28,,False
0.06,29,,False
0.08,0,2837.0,True
0.08,1,3673.0,True
0.08,2,3349.0,True
0.08,3,1392.0,True
0.08,4,2984.0,True
0.08,5,2595.0,True
0.08,6,4349.0,True
0.08,7,4356.0,True
0.08,8,5709.0,True
0.08,9,3807.0,True
0.08,10,4720.0,True
0.08,11,2887.0,True
0.08,12,2674.0,True
0.08,13,2421.0,True
0.08,14,3496.0,True
0.08,15,2746.0,True
0.08,16,3704.0,True
0.08,17,3366.0,True
0.08,18,4025.0,True
0.08,19,1868.0,True
0.08,20,3636.0,True
0.08,21,3869.0,True
0.08,22,2036.0,True
0.08,23,5284.0,True
0.08,24,1839.0,True
0.08,25,2723.0,True
0.08,26,3377.0,True
0.08,27,1714.0,True
0.08,28,3885.0,True
0.08,29,3305.0,True
0.1,0,1543.0,True
0.1,1,1914.0,True
0.1,2,2154.0,True
0.1,3,797.0,True
0.1,4,1616.0,True
0.1,5,1720.0,True
0.1,6,1967.0,True
0.1,7,2278.0,True
0.1,8,3399.0,True
0.1,9,2208.0,True
0.1,10,2704.0,True
0.1,11,1865.0,True
0.1,12,1349.0,True
0.1,13,1632.0,True
0.1,14,1922.0,True
0.1,15,1475.0,True
0.1,16,2337.0,True
0.1,17,1951.0,True
0.1,18,2428.0,True
0.1,19,1168.0,True
0.1,20,2093.0,True
0.1,21,2250.0,True
0.1,22,1010.0,True
0.1,23,2740.0,True
0.1,24,1165.0,True
0.1,25,1601.0,True
0.1,26,2058.0,True
0.1,27,1203.0,True
0.1,28,2448.0,True
0.1,29,2186.0,True
0.12,0,1006.0,True
0.12,1,1532.0,True
0.12,2,1575.0,True
0.12,3,484.0,True
0.12,4,1160.0,True
0.12,5,948.0,True
0.12,6,1322.0,True
0.12,7,1714.0,True
0.12,8,2229.0,True
0.12,9,1356.0,True
0.12,10,2010.0,True
0.12,11,1319.0,True
0.12,12,802.0,True
0.12,13,1112.0,True
0.12,14,1287.0,True
0.12,15,1095.0,True
0.12,16,1556.0,True
0.12,17,1246.0,True
0.12,18,1937.0,True
0.12,19,928.0,True
0.12,20,1566.0,True
0.12,21,1613.0,True
0.12,22,585.0,True
0.12,23,2175.0,True
0.12,24,1060.0,True
0.12,25,1234.0,True
0.12,26,1515.0,True
0.12,27,929.0,True
0.12,28,1461.0,True
0.12,29,1617.0,True
0.15,0,618.0,True
0.15,1,1027.0,True
0.15,2,1094.0,True
0.15,3,401.0,True
0.15,4,867.0,True
0.15,5,683.0,True
0.15,6,674.0,True
0.15,7,1271.0,True
0.15,8,1503.0,True
0.15,9,955.0,True
0.15,10,1372.0,True
0.15,11,1005.0,True
0.15,12,490.0,True
0.15,13,853.0,True
0.15,14,1034.0,True
0.15,15,737.0,True
0.15,16,1022.0,True
0.15,17,833.0,True
0.15,18,1205.0,True
0.15,19,613.0,True
0.15,20,997.0,True
0.15,21,1219.0,True
0.15,22,479.0,True
0.15,23,1401.0,True
0.15,24,591.0,True
0.15,25,846.0,True
0.15,26,991.0,True
0.15,27,719.0,True
0.15,28,942.0,True
0.15,29,974.0,True
0.2,0,439.0,True
0.2,1,740.0,True
0.2,2,732.0,True
0.2,3,286.0,True
0.2,4,476.0,True
0.2,5,455.0,True
0.2,6,494.0,True
0.2,7,881.0,True
0.2,8,1014.0,True
0.2,9,715.0,True
0.2,10,876.0,True
0.2,11,728.0,True
0.2,12,372.0,True
0.2,13,536.0,True
0.2,14,775.0,True
0.2,15,603.0,True
0.2,16,694.0,True
0.2,17,555.0,True
0.2,18,810.0,True
0.2,19,397.0,True
0.2,20,683.0,True
0.2,21,620.0,True
0.2,22,315.0,True
0.2,23,747.0,True
0.2,24,417.0,True
0.2,25,572.0,True
0.2,26,679.0,True
0.2,27,450.0,True
0.2,28,670.0,True
0.2,29,608.0,True
