attribute,group,reference,n,flip_rate,logrank_chi2,logrank_p
race,White,White,7214,0.07804269476018852,0.0,1.0
race,Black,White,1946,0.19013360739979446,1675.4920720718194,0.0
race,Hispanic,White,4518,0.20053120849933598,1248.2116018218944,0.0
race,Asian/PI,White,734,0.0653950953678474,456.3345782408148,0.0
race,Other,White,588,0.0663265306122449,455.7511648147634,0.0
ethnicity,Non-Hispanic,Non-Hispanic,9722,0.12991154083521908,0.0,1.0
ethnicity,Hispanic,Non-Hispanic,5278,0.12561576354679804,472.6824456944453,0.0
sex,Female,Female,8199,0.12769849981705086,0.0,1.0
sex,Male,Female,6801,0.12924569916188797,114.58189935367922,0.0
age_group,Pediatric,Middle-aged,786,0.11450381679389313,613.7695824375385,0.0
age_group,Young Adult,Middle-aged,2947,0.10654903291482865,218.69026126027723,0.0
age_group,Middle-aged,Middle-aged,6019,0.13374314670211,0.0,1.0
age_group,Elderly,Middle-aged,5248,0.1366234756097561,65.8969501597734,4.440892098500626e-16
