Category,Attribute,Metric,Mean,Std,CI_Low,CI_High
Overall,-,accuracy,0.8432757612443657,0.0008366554711926047,0.84163820219861,0.8448870699253077
Overall,-,auc,0.9261500892470933,0.0005809002789282239,0.9250273911773075,0.927277074091357
Overall,-,f1,0.8278094141989067,0.0009806364807246268,0.8259404825046254,0.8297138716384256
Fairness,RACE,DI,0.5958303146325599,0.0325408626514967,0.5344533315573392,0.6619132777464112
Fairness,RACE,WTPR,0.7442725548924641,0.028076544128815595,0.6892416819209648,0.7982465552292749
Fairness,RACE,SPD,0.21353433274383105,0.017359092123266133,0.17835483629697899,0.24682898462403433
Fairness,RACE,EOD,0.1183331323776247,0.02913587505535142,0.06184518023018357,0.17695431032623726
Fairness,RACE,PPV_ratio,0.9078053023306627,0.03027904085361891,0.8429872470634678,0.9601064650929682
Fairness,ETHNICITY,DI,0.8107961775537418,0.0051021294079586915,0.8001564621730785,0.8205824834203925
Fairness,ETHNICITY,WTPR,0.8099906206223497,0.002775451220301138,0.804601521448215,0.8154580762765478
Fairness,ETHNICITY,SPD,0.09173095484083969,0.002614223442302463,0.08679121086093071,0.09704754304308384
Fairness,ETHNICITY,EOD,0.034653042407624686,0.003158444022919586,0.02823395105592345,0.040464435719309445
Fairness,ETHNICITY,PPV_ratio,0.9961714202657733,0.002766511830793125,0.9893545587162661,0.9998936859002086
Fairness,SEX,DI,0.7832716444217801,0.003939328661052618,0.7758528194365061,0.791024400087004
Fairness,SEX,WTPR,0.8243542576913699,0.0017358327408918143,0.82089718925606,0.8275960087739905
Fairness,SEX,SPD,0.11548162905711595,0.0024254238904409565,0.11043167349623872,0.12016446769010973
Fairness,SEX,EOD,0.028120288064354123,0.0025796047306215404,0.023037554605833198,0.03303470180900292
Fairness,SEX,PPV_ratio,0.9756556574924755,0.0031040955096338996,0.9691726007117231,0.981435921069635
Fairness,AGE_GROUP,DI,0.5176801444526886,0.0031577238997354666,0.5116079245466566,0.5241890482914411
Fairness,AGE_GROUP,WTPR,0.8033674653419239,0.0016727999127661127,0.8000597572075566,0.806692200826866
Fairness,AGE_GROUP,SPD,0.3693784039508787,0.004219787032245675,0.36100970466380333,0.37745471973324146
Fairness,AGE_GROUP,EOD,0.12151372751806014,0.003051244691875712,0.11555515072923433,0.12754478335284952
Fairness,AGE_GROUP,PPV_ratio,0.9263847281013746,0.004366249629218068,0.9179517460848409,0.9347204204677004
