Intersection,Group,N,Selection_Rate,TPR,PPV,True_Positive_Rate_Label
RACE x SEX,Asian/PI x Female,46860,0.5134656423388818,0.8458689822500319,0.8259008353767507,0.5013444302176696
RACE x SEX,Asian/PI x Male,73901,0.4340942612413905,0.8291946416524784,0.8046134663341646,0.4212256938336423
RACE x SEX,Black x Female,998,0.5821643286573146,0.8977272727272727,0.8158347676419966,0.5290581162324649
RACE x SEX,Black x Male,2293,0.36720453554295684,0.8384710234278668,0.8076009501187649,0.3536851286524204
RACE x SEX,Hispanic x Female,7641,0.615102735244078,0.8765836609873308,0.8538297872340426,0.5991362387122104
RACE x SEX,Hispanic x Male,15520,0.48524484536082474,0.8396814863968148,0.8401274731111407,0.4855025773195876
RACE x SEX,Other x Female,12086,0.5541949362899222,0.8569680281474683,0.8363690653926545,0.5408737382094986
RACE x SEX,Other x Male,25015,0.33288027183689783,0.793038570084666,0.8098955205956527,0.3399560263841695
RACE x SEX,White x Female,268,0.4216417910447761,0.7747747747747747,0.7610619469026548,0.4141791044776119
RACE x SEX,White x Male,444,0.25,0.7166666666666667,0.7747747747747747,0.2702702702702703
RACE x SEX [SUMMARY],ALL,185026,0.40643617021276596,0.7166666666666667,,
RACE x AGE_GROUP,Asian/PI x Adult (18-44),10259,0.655327029924944,0.9020341741253052,0.8244831176558084,0.5989862559703675
RACE x AGE_GROUP,Asian/PI x Elderly (65+),8210,0.7550548112058465,0.9181196581196581,0.8664300693660267,0.7125456760048721
RACE x AGE_GROUP,Asian/PI x Middle-aged (45-64),8951,0.7158976650653558,0.9176112332938589,0.846441947565543,0.660373142665624
RACE x AGE_GROUP,Asian/PI x Pediatric (0-17),93341,0.3943711766533463,0.7992700729927007,0.7972073564966994,0.3933534031133157
RACE x AGE_GROUP,Black x Adult (18-44),222,0.7477477477477478,0.9466666666666667,0.8554216867469879,0.6756756756756757
RACE x AGE_GROUP,Black x Pediatric (0-17),2734,0.3617410387710315,0.8240252897787145,0.7906976744186046,0.3471104608632041
RACE x AGE_GROUP,Hispanic x Adult (18-44),1311,0.7559115179252479,0.9206008583690987,0.8657921291624622,0.7109077040427155
RACE x AGE_GROUP,Hispanic x Elderly (65+),955,0.8010471204188482,0.9439890710382514,0.9032679738562092,0.7664921465968586
RACE x AGE_GROUP,Hispanic x Middle-aged (45-64),947,0.8014783526927138,0.9405099150141643,0.8748353096179183,0.7455121436114044
RACE x AGE_GROUP,Hispanic x Pediatric (0-17),19948,0.4870663725686786,0.8341373293646721,0.8364553314121037,0.488419891718468
RACE x AGE_GROUP,Other x Adult (18-44),2217,0.6905728461885431,0.9000698812019566,0.8412802090137165,0.645466847090663
RACE x AGE_GROUP,Other x Elderly (65+),1341,0.8023862788963461,0.9405241935483871,0.8671003717472119,0.7397464578672632
RACE x AGE_GROUP,Other x Middle-aged (45-64),1747,0.726960503720664,0.9269328802039083,0.8590551181102363,0.6737263880938752
RACE x AGE_GROUP,Other x Pediatric (0-17),31796,0.3506101396402063,0.7896162922821431,0.8103695730175816,0.3598251352371368
RACE x AGE_GROUP,White x Pediatric (0-17),647,0.28593508500772796,0.7360406091370558,0.7837837837837838,0.3044822256568779
RACE x AGE_GROUP [SUMMARY],ALL,184626,0.3563559005533115,0.7360406091370558,,
SEX x AGE_GROUP,Female x Adult (18-44),6249,0.6268202912465994,0.8962520369364476,0.8424814909369416,0.5892142742838854
SEX x AGE_GROUP,Female x Elderly (65+),3626,0.7283507997793712,0.9106933019976499,0.88034835289663,0.7040816326530612
SEX x AGE_GROUP,Female x Middle-aged (45-64),4980,0.6953815261044177,0.9216904909881914,0.8564828183655789,0.6461847389558233
SEX x AGE_GROUP,Female x Pediatric (0-17),52998,0.49307521038529756,0.8318213538032101,0.8210622990968927,0.4866976112306125
SEX x AGE_GROUP,Male x Adult (18-44),7784,0.7073484069886947,0.9098196392785571,0.8245550308754086,0.6410585817060637
SEX x AGE_GROUP,Male x Elderly (65+),7049,0.784934033196198,0.9309472865201323,0.8649918669799386,0.7293233082706767
SEX x AGE_GROUP,Male x Middle-aged (45-64),6872,0.7472351571594877,0.9213316369804919,0.8461538461538461,0.6862630966239813
SEX x AGE_GROUP,Male x Pediatric (0-17),95468,0.3427012192567143,0.7812462408276194,0.7940214567350308,0.34830519126827836
SEX x AGE_GROUP [SUMMARY],ALL,185026,0.4365987519502222,0.7812462408276194,,
