Model,Accuracy,AUC,F1,Precision,Recall,Train_Time_s
LGB_XGB_Blend,0.8786332731616098,0.9535995268687688,0.863858474894814,0.8731004901960784,0.8548100688695318,0.0
Stacking_Ensemble,0.8783252083490969,0.9533679900324702,0.8635765923537931,0.8723998187984378,0.8549300506323039,787.1397407054901
LightGBM,0.8782333293699264,0.9533541554319463,0.8633186925186246,0.8731500797643883,0.8537062366520289,107.36616396903992
XGBoost,0.8777144833699048,0.9529596256483097,0.8628245080088759,0.8720770626011078,0.8537662275334149,11.769836187362671
GradientBoosting,0.8738393523072433,0.9495959972266749,0.8580618877653396,0.8698728933709763,0.8465673217670914,1084.0955781936646
CatBoost,0.8707316809529472,0.9477842495989389,0.8542989071504282,0.8676929168935307,0.8413121205576752,18.437374353408813
HistGradientBoosting,0.8662620388485942,0.9447876544519758,0.8493152353288637,0.8623115826439638,0.8367048208672282,9.116743564605713
RandomForest,0.8607493000983646,0.9397678796922002,0.8433310024018729,0.8549606085637845,0.8320135339428407,33.0975456237793
PyTorch_DNN,0.8536205722439009,0.9342480858920458,0.8364887708283023,0.8418353707439181,0.8312096561322679,597.5562407970428
AdaBoost,0.8209494881800395,0.9024155096521316,0.798865892381201,0.8085909174706569,0.7893720154536511,349.5639007091522
LogisticRegression,0.8036384075751516,0.8819808048106664,0.7771070293616029,0.7951064577684042,0.7599044945168334,0.9314858913421631
