Attribute,Metric,Best_Model,AFCE,Improvement
RACE,Disparate_Impact,0.6458224429968673,0.9499956180835456,0.3041731750866783
RACE,SPD,0.1794666814467754,0.022349065010071056,-0.15711761643670435
RACE,EOD,0.03628243849493751,0.18680370236549548,0.15052126387055798
RACE,Equalized_Odds,0.03628243849493751,0.18680370236549548,0.15052126387055798
RACE,PPV_Ratio,0.9201815259758254,0.7558538287972895,-0.1643276971785359
RACE,WTPR,0.9942455795563672,0.9737988674123583,-0.02044671214400884
RACE,Calibration_Diff,0.053358000925692095,0.16212873375142822,0.10877073282573613
RACE,Treatment_Equality,0.7358262967430639,0.028261871830336564,-0.7075644249127273
SEX,Disparate_Impact,0.7608635579372484,0.9515325005771933,0.19066894263994494
SEX,SPD,0.12428553828633865,0.021461188453837376,-0.10282434983250127
SEX,EOD,0.033946594718002876,0.07808453360685064,0.04413793888884776
SEX,Equalized_Odds,0.05076418936422197,0.07808453360685064,0.027320344242628664
SEX,PPV_Ratio,0.9982794131024051,0.9131234589719996,-0.08515595413040544
SEX,WTPR,0.9842327013293011,0.9637317918580944,-0.02050090947120664
SEX,Calibration_Diff,0.0008538554724314418,0.04971919015559145,0.04886533468316001
SEX,Treatment_Equality,0.7670142678607706,0.263694881652264,-0.5033193862085066
ETHNICITY,Disparate_Impact,0.8268770246636917,0.9500058759786715,0.12312885131497975
ETHNICITY,SPD,0.08015081419624354,0.021755585781432163,-0.05839522841481137
ETHNICITY,EOD,0.022202303412307667,0.043047742574080394,0.020845439161772727
ETHNICITY,Equalized_Odds,0.029464932679182307,0.043047742574080394,0.013582809894898087
ETHNICITY,PPV_Ratio,0.9989719276174449,0.9394264795940527,-0.05954544802339223
ETHNICITY,WTPR,0.9911693670848498,0.9828784065581745,-0.008290960526675328
ETHNICITY,Calibration_Diff,0.0006843862731957806,0.03946653100013253,0.03878214472693675
ETHNICITY,Treatment_Equality,0.8475146373474985,0.4636832957023662,-0.38383134164513233
AGE_GROUP,Disparate_Impact,0.5597706366478086,0.5528260874965585,-0.00694454915125009
AGE_GROUP,SPD,0.30018922397073666,0.29933498798404606,-0.0008542359866905991
AGE_GROUP,EOD,0.09021769175152416,0.10196226587096979,0.011744574119445628
AGE_GROUP,Equalized_Odds,0.1258099596347387,0.12219806598477846,-0.0036118936499602433
AGE_GROUP,PPV_Ratio,0.9639711727648191,0.9600189430154041,-0.003952229749415004
AGE_GROUP,WTPR,0.9713918758566268,0.9676676591548127,-0.0037242167018141092
AGE_GROUP,Calibration_Diff,0.022406930582100526,0.02477349533479678,0.002366564752696254
AGE_GROUP,Treatment_Equality,0.5802606922450824,0.6081109826825774,0.027850290437494984
