K,Accuracy,AUC,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
1,0.8786853127955682,0.9536010876648916,0.6407663887898132,0.7618229661436215,0.8286783932063904,0.562101125801537
2,0.8784421024185921,0.9536003491406939,0.6512874971806631,0.7630837256085937,0.8225957031456944,0.5599385280648879
3,0.8786718011079584,0.9535497586887284,0.6255846051307419,0.7598095685744418,0.8251816935234896,0.5578152716735417
4,0.8783475206053236,0.9535989753567081,0.6615063211677735,0.7584377227190825,0.825476210395859,0.5573782657203261
5,0.8787866504526415,0.9536054881978998,0.6393475962386559,0.7639782579036302,0.8291269270994966,0.5603489077442737
6,0.8782461829482502,0.9533788876410279,0.6288479277196652,0.7593791466370065,0.8242726990443763,0.5572558884210606
7,0.8785974868261046,0.9534970059051155,0.6426024995878388,0.7609692039165166,0.8283675437278029,0.5602930572924624
8,0.8790433725172274,0.9537322429801925,0.6309451505787963,0.763074243324718,0.8273373829324646,0.5626551925650369
9,0.8781853803540062,0.9531263147899698,0.6227612935714093,0.7595978717748401,0.8313088845978274,0.559360191134046
10,0.8784083231995676,0.9535422262016005,0.6553931283480172,0.7618729780329804,0.8215046316405675,0.5601997933070245
11,0.8788339413592757,0.9535654428700882,0.6414202335922163,0.7612426060685067,0.8263003692577096,0.55764778001719
12,0.8789150114849344,0.953655671246992,0.6378775437282476,0.7582016288957558,0.8287733141546753,0.5593571589052482
13,0.8781448452911769,0.9534687135598557,0.6530262981875885,0.7634383664488686,0.8227142748254358,0.5591360211493928
14,0.8789082556411296,0.9536340590440336,0.6405689965858078,0.761936058209827,0.8260112119977513,0.5598375715213676
15,0.8781178219159573,0.9534117491450963,0.6652400723943362,0.7614056763491732,0.823141848876804,0.558967199525878
16,0.8782191595730306,0.9533689589324836,0.6514571259189441,0.7591291926180834,0.8264667233229337,0.5615065111364521
17,0.8787461153898122,0.9537699890767483,0.6131548691291632,0.7605820135834855,0.8292483163713541,0.5611519247055535
18,0.8790231049858127,0.9536799144310232,0.6687901571696852,0.7613396927282654,0.8264131680667293,0.5612977380006782
19,0.8786785569517632,0.9537342267866,0.6722892932707517,0.758426277796524,0.8260851118548379,0.5588604174959424
20,0.8782191595730306,0.9533443762962771,0.6040479364502764,0.755758215123325,0.8320077909873215,0.5579469894616303
21,0.8783812998243481,0.9534485383673176,0.6291483946293053,0.7567816776375563,0.8292488025841668,0.561908690101936
22,0.8788474530468856,0.9535883741602048,0.6496087048267384,0.7646766276576534,0.8331070392899023,0.5613602453297273
23,0.8785772192946899,0.9537884506298764,0.6605584630531528,0.758812493606646,0.8268744780564266,0.5588094538618533
24,0.8784826374814214,0.9534599807236541,0.6419246366860495,0.7610166873106966,0.8295460620740868,0.5596486229395051
25,0.8783204972301041,0.9534484618649836,0.6691619280426081,0.759778875094947,0.8272864749925815,0.5601360216120566
26,0.8785299283880557,0.953552148441315,0.6628874848911902,0.7606196215456479,0.8261979982540145,0.559944527508854
27,0.8782056478854209,0.9533339665719713,0.6224513380272958,0.7647535062784189,0.8280937130092021,0.5611108138297732
28,0.8789285231725442,0.9537650468592201,0.6549829501281628,0.760047237657732,0.8273351142206793,0.5630996388154715
29,0.8786177543575192,0.9536048581043304,0.6115655227153486,0.7606900246841516,0.8273929920335322,0.5577479363666731
30,0.8790839075800567,0.9535832162299693,0.6480989098158896,0.7577565982006226,0.8278953706422311,0.5596046570670439
