Fold,Val_Size,N_Hospitals,Accuracy,AUC,F1,DI_RACE,DI_SEX,DI_ETHNICITY
1,10001,20,0.8056194380561944,0.9037650922358837,0.8309565217391305,0.8559165465032443,0.9022053613899181,0.80737852648356
2,10000,20,0.845,0.9274699210782665,0.8358050847457628,0.5061068702290076,0.8348302470549145,0.9386039704569074
3,10000,21,0.8401,0.9266439536949291,0.8367867714606512,0.4516535433070866,0.7295848280676811,0.7395772188647245
4,10000,22,0.8504,0.9327979072688837,0.8335188070331627,0.21478551871006996,0.7502410662018333,0.8947450311317136
5,9999,21,0.8463846384638464,0.9289028556643497,0.829219479653102,0.6740376651642975,0.710091515296183,0.6657398579998093
6,10001,21,0.8449155084491551,0.9195417827654618,0.7945967421533572,0.693797225394203,0.5958280438545874,0.5794735465876405
7,10000,21,0.823,0.9109560553540081,0.7962238084273544,0.6696428571428572,0.7551487859636373,0.9801959524197539
8,10001,21,0.8211178882111789,0.9110547771280866,0.8250366748166259,0.46202153110047844,0.8509155047875022,0.8874052273407891
9,10001,21,0.8461153884611539,0.9314504778658144,0.8272921108742004,0.40654867256637167,0.8417932103487247,0.880893465981375
10,9999,21,0.83998399839984,0.9205237383459751,0.82281284606866,0.4705270457697642,0.7289565160359415,0.5582396038960487
11,9999,21,0.8209820982098209,0.9062771663196593,0.7959881467973559,0.5746905989462878,0.7205923237637031,0.8639534692959694
12,9999,21,0.8652865286528653,0.943093607746468,0.8339701713299642,0.44093264248704667,0.6060466881939138,0.6493108728943338
13,10000,22,0.8215,0.9062202810828228,0.794425889669469,0.395483993902439,0.755114451008943,0.7801420937255145
14,10000,21,0.8505,0.9272592211138079,0.8064223747248479,0.0,0.8221054127556263,0.7287213287881513
15,10001,21,0.82991700829917,0.9334696773124112,0.8155697712241137,0.5715942028985508,0.8202502698060842,0.9178450797132549
16,10000,22,0.8237,0.9101963340725454,0.8071326988294497,0.3112980769230769,0.7775692274349473,0.9075749213126886
17,10000,22,0.8128,0.9115281205466392,0.7914438502673797,0.55,0.7646875063693115,0.7407807938185705
18,9999,22,0.8116811681168117,0.8969329657160712,0.7918186843559978,0.3992119779353821,0.6890048323539695,0.8361069841692624
19,9999,21,0.8514851485148515,0.9298393448165629,0.8364357308073577,0.5207122093023256,0.886771572825565,0.9297380924333452
20,10001,21,0.8478152184781522,0.929613552852542,0.8108376833209048,0.6424436554492128,0.5687913343644646,0.8475616879446145
