Model,Accuracy,AUC,F1,Precision,Recall,Train_Time,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP,Fair_Count
LGB_XGB_Blend,0.8786332731616098,0.9535995268687688,0.863858474894814,0.8731004901960784,0.8548100688695318,0.0,0.6458224429968673,0.7608635579372484,0.8268770246636917,0.5597706366478086,1
Stacking_Ensemble,0.8783252083490969,0.9533679900324702,0.8635765923537931,0.8723998187984378,0.8549300506323039,787.1397407054901,0.6337633327788962,0.7601152778952563,0.8264689501063589,0.5592710775352518,1
LightGBM,0.8782333293699264,0.9533541554319463,0.8633186925186246,0.8731500797643883,0.8537062366520289,107.36616396903992,0.6489259748843359,0.761490171029208,0.8282298360550617,0.5598481300019398,1
AFCE_Ensemble,0.8678996465361625,0.953043140117761,0.849827967559597,0.8708665978290981,0.8297818731552804,0.0,0.9499956180835456,0.9515325005771933,0.9500058759786715,0.5528260874965585,3
AFCE_Ensemble,0.8678996465361625,0.953043140117761,0.849827967559597,0.8708665978290981,0.8297818731552804,97.7568666934967,0.9499956180835456,0.9515325005771933,0.9500058759786715,0.5528260874965585,3
XGBoost,0.8777144833699048,0.9529596256483097,0.8628245080088759,0.8720770626011078,0.8537662275334149,11.769836187362671,0.6478765584639764,0.7615201619882203,0.8272657717985609,0.5600545538375665,1
GradientBoosting,0.8738393523072433,0.9495959972266749,0.8580618877653396,0.8698728933709763,0.8465673217670914,1084.0955781936646,0.6248162186222803,0.7552503206962496,0.8220894196350295,0.5537087426313603,1
CatBoost,0.8707316809529472,0.9477842495989389,0.8542989071504282,0.8676929168935307,0.8413121205576752,18.437374353408813,0.607426235341096,0.7518110712240962,0.8206395986314428,0.5472444738468666,1
HistGradientBoosting,0.8662620388485942,0.9447876544519758,0.8493152353288637,0.8623115826439638,0.8367048208672282,9.116743564605713,0.6147173414153871,0.7510048536852929,0.8219924786009263,0.5470962162225841,1
RandomForest,0.8607493000983646,0.9397678796922002,0.8433310024018729,0.8549606085637845,0.8320135339428407,33.0975456237793,0.6086833043803463,0.7498614894305832,0.8167649067301214,0.5498432933974429,1
PyTorch_DNN,0.8536205722439009,0.9342480858920458,0.8364887708283023,0.8418353707439181,0.8312096561322679,597.5562407970428,0.6231809553561989,0.7521393899536216,0.8229454953783405,0.5470556215825675,1
AdaBoost,0.8209494881800395,0.9024155096521316,0.798865892381201,0.8085909174706569,0.7893720154536511,349.5639007091522,0.5704937065514804,0.7001961183016495,0.7790279402506284,0.5518787858431761,0
LogisticRegression,0.8036384075751516,0.8819808048106664,0.7771070293616029,0.7951064577684042,0.7599044945168334,0.9314858913421631,0.5658297362418035,0.6832654594182813,0.763393460804927,0.5519993723201946,0
