metric,attribute,n_pass,n_fail,vfr,verdict_dominant
DI,RACE,258,242,0.484,fair
SPD,RACE,282,218,0.436,fair
EOPP,RACE,75,425,0.15,unfair
EOD,RACE,39,461,0.078,unfair
TI,RACE,500,0,0.0,fair
PP,RACE,6,494,0.012,unfair
CAL,RACE,306,194,0.388,fair
DI,SEX_CODE,500,0,0.0,fair
SPD,SEX_CODE,500,0,0.0,fair
EOPP,SEX_CODE,500,0,0.0,fair
EOD,SEX_CODE,55,445,0.11,unfair
TI,SEX_CODE,500,0,0.0,fair
PP,SEX_CODE,0,500,0.0,unfair
CAL,SEX_CODE,500,0,0.0,fair
DI,ETHNICITY,500,0,0.0,fair
SPD,ETHNICITY,500,0,0.0,fair
EOPP,ETHNICITY,500,0,0.0,fair
EOD,ETHNICITY,500,0,0.0,fair
TI,ETHNICITY,500,0,0.0,fair
PP,ETHNICITY,359,141,0.282,fair
CAL,ETHNICITY,500,0,0.0,fair
DI,AGE_GROUP,500,0,0.0,fair
SPD,AGE_GROUP,500,0,0.0,fair
EOPP,AGE_GROUP,0,500,0.0,unfair
EOD,AGE_GROUP,0,500,0.0,unfair
TI,AGE_GROUP,500,0,0.0,fair
PP,AGE_GROUP,0,500,0.0,unfair
CAL,AGE_GROUP,498,2,0.004,fair
