metric,attribute,n_pass,n_fail,vfr,verdict_dominant
DI,RACE,227,273,0.454,unfair
SPD,RACE,221,279,0.442,unfair
EOPP,RACE,23,477,0.046,unfair
EOD,RACE,6,494,0.012,unfair
TI,RACE,500,0,0.0,fair
PP,RACE,34,466,0.068,unfair
CAL,RACE,237,263,0.474,unfair
DI,SEX_CODE,498,2,0.004,fair
SPD,SEX_CODE,498,2,0.004,fair
EOPP,SEX_CODE,500,0,0.0,fair
EOD,SEX_CODE,500,0,0.0,fair
TI,SEX_CODE,500,0,0.0,fair
PP,SEX_CODE,98,402,0.196,unfair
CAL,SEX_CODE,500,0,0.0,fair
DI,ETHNICITY,500,0,0.0,fair
SPD,ETHNICITY,500,0,0.0,fair
EOPP,ETHNICITY,499,1,0.002,fair
EOD,ETHNICITY,499,1,0.002,fair
TI,ETHNICITY,500,0,0.0,fair
PP,ETHNICITY,492,8,0.016,fair
CAL,ETHNICITY,500,0,0.0,fair
DI,AGE_GROUP,477,23,0.046,fair
SPD,AGE_GROUP,483,17,0.034,fair
EOPP,AGE_GROUP,2,498,0.004,unfair
EOD,AGE_GROUP,1,499,0.002,unfair
TI,AGE_GROUP,500,0,0.0,fair
PP,AGE_GROUP,0,500,0.0,unfair
CAL,AGE_GROUP,491,9,0.018,fair
