metric,attribute,n_pass,n_fail,vfr,verdict_dominant
DI,RACE,144,356,0.288,unfair
SPD,RACE,117,383,0.234,unfair
EOPP,RACE,16,484,0.032,unfair
EOD,RACE,0,500,0.0,unfair
TI,RACE,500,0,0.0,fair
PP,RACE,0,500,0.0,unfair
CAL,RACE,10,490,0.02,unfair
DI,SEX_CODE,500,0,0.0,fair
SPD,SEX_CODE,500,0,0.0,fair
EOPP,SEX_CODE,500,0,0.0,fair
EOD,SEX_CODE,0,500,0.0,unfair
TI,SEX_CODE,500,0,0.0,fair
PP,SEX_CODE,0,500,0.0,unfair
CAL,SEX_CODE,500,0,0.0,fair
DI,ETHNICITY,500,0,0.0,fair
SPD,ETHNICITY,500,0,0.0,fair
EOPP,ETHNICITY,500,0,0.0,fair
EOD,ETHNICITY,5,495,0.01,unfair
TI,ETHNICITY,500,0,0.0,fair
PP,ETHNICITY,0,500,0.0,unfair
CAL,ETHNICITY,229,271,0.458,unfair
DI,AGE_GROUP,456,44,0.088,fair
SPD,AGE_GROUP,429,71,0.142,fair
EOPP,AGE_GROUP,0,500,0.0,unfair
EOD,AGE_GROUP,0,500,0.0,unfair
TI,AGE_GROUP,500,0,0.0,fair
PP,AGE_GROUP,0,500,0.0,unfair
CAL,AGE_GROUP,0,500,0.0,unfair
