metric,attribute,n_pass,n_fail,vfr,verdict_dominant
DI,RACE,282,218,0.436,fair
SPD,RACE,292,208,0.416,fair
EOPP,RACE,95,405,0.19,unfair
EOD,RACE,30,470,0.06,unfair
TI,RACE,500,0,0.0,fair
PP,RACE,3,497,0.006,unfair
CAL,RACE,338,162,0.324,fair
DI,SEX_CODE,500,0,0.0,fair
SPD,SEX_CODE,500,0,0.0,fair
EOPP,SEX_CODE,500,0,0.0,fair
EOD,SEX_CODE,90,410,0.18,unfair
TI,SEX_CODE,500,0,0.0,fair
PP,SEX_CODE,0,500,0.0,unfair
CAL,SEX_CODE,500,0,0.0,fair
DI,ETHNICITY,500,0,0.0,fair
SPD,ETHNICITY,500,0,0.0,fair
EOPP,ETHNICITY,500,0,0.0,fair
EOD,ETHNICITY,500,0,0.0,fair
TI,ETHNICITY,500,0,0.0,fair
PP,ETHNICITY,309,191,0.382,fair
CAL,ETHNICITY,500,0,0.0,fair
DI,AGE_GROUP,500,0,0.0,fair
SPD,AGE_GROUP,500,0,0.0,fair
EOPP,AGE_GROUP,0,500,0.0,unfair
EOD,AGE_GROUP,0,500,0.0,unfair
TI,AGE_GROUP,500,0,0.0,fair
PP,AGE_GROUP,0,500,0.0,unfair
CAL,AGE_GROUP,500,0,0.0,fair
