Metric,Standard,Fair (Intersect.),Change
Accuracy,0.8625135115659004,0.8043957627729337,-0.0581
AUROC,0.9416472254742934,0.9416472254742934,0.0
F1,0.8460340389131434,0.7790907759167928,-0.0669
DI (Race),0.6355,0.909,0.2735
SPD (Race),0.1848,0.0399,-0.1449
EOPP (Race),0.0252,0.1701,0.1449
EOD (Race),0.0368,0.1701,0.1333
TI (Race),0.0,0.0005,0.0005
PP (Race),0.0955,0.1879,0.0924
CAL (Race),0.0316,0.0316,0.0
DI (Sex),0.7623,0.9702,0.2079
SPD (Sex),0.1238,0.0132,-0.1106
EOPP (Sex),0.0416,0.0023,-0.0393
EOD (Sex),0.0533,0.1004,0.0471
TI (Sex),0.0,0.001,0.001
PP (Sex),0.0067,0.1643,0.1576
CAL (Sex),0.0064,0.0064,0.0
DI (Eth),0.8319,0.9951,0.1632
SPD (Eth),0.078,0.0021,-0.0759
EOPP (Eth),0.018,0.0448,0.0268
EOD (Eth),0.0313,0.0469,0.0156
TI (Eth),0.0,0.0006,0.0006
PP (Eth),0.0045,0.0888,0.0843
CAL (Eth),0.0006,0.0006,0.0
DI (Age),0.2885,0.9072,0.6187
SPD (Age),0.4371,0.0415,-0.3956
EOPP (Age),0.2119,0.2085,-0.0034
EOD (Age),0.2119,0.2195,0.0076
TI (Age),0.0001,0.0102,0.0101
PP (Age),0.0868,0.4886,0.4018
CAL (Age),0.0031,0.0031,0.0
