Metric,Standard,Fair (Intersect.),Change
Accuracy,0.7705628017583052,0.7204078691359804,-0.0502
AUROC,0.8566708718330551,0.8566708718330551,0.0
F1,0.74760398582606,0.6849733275955863,-0.0626
DI (Race),0.6164,0.8642,0.2478
SPD (Race),0.1968,0.0654,-0.1314
EOPP (Race),0.1164,0.1101,-0.0063
EOD (Race),0.1164,0.1101,-0.0063
TI (Race),0.0001,0.0008,0.0007
PP (Race),0.1397,0.2162,0.0765
CAL (Race),0.0379,0.0379,0.0
DI (Sex),0.7527,0.8582,0.1055
SPD (Sex),0.1345,0.0681,-0.0664
EOPP (Sex),0.0461,0.0554,0.0093
EOD (Sex),0.1073,0.0554,-0.0519
TI (Sex),0.0001,0.0002,0.0001
PP (Sex),0.0049,0.1118,0.1069
CAL (Sex),0.0153,0.0153,0.0
DI (Eth),0.7874,0.992,0.2046
SPD (Eth),0.1035,0.0035,-0.1
EOPP (Eth),0.0512,0.0532,0.002
EOD (Eth),0.0744,0.0532,-0.0212
TI (Eth),0.0001,0.0006,0.0005
PP (Eth),0.0016,0.0669,0.0653
CAL (Eth),0.0085,0.0085,0.0
DI (Age),0.2333,0.8493,0.616
SPD (Age),0.5102,0.071,-0.4392
EOPP (Age),0.3692,0.1503,-0.2189
EOD (Age),0.3692,0.1503,-0.2189
TI (Age),0.0011,0.008,0.0069
PP (Age),0.136,0.4128,0.2768
CAL (Age),0.0092,0.0092,0.0
