Metric,Standard,Fair (Intersect.),Change
Accuracy,0.8084744389532529,0.7520760755083853,-0.0564
AUROC,0.9098956860730346,0.9098956860730346,0.0
F1,0.8073192599233842,0.7466075993913862,-0.0607
DI (Race),0.6375,0.7687,0.1312
SPD (Race),0.2381,0.1519,-0.0862
EOPP (Race),0.0249,0.1249,0.1
EOD (Race),0.3224,0.2938,-0.0286
TI (Race),0.0001,0.0006,0.0005
PP (Race),0.2698,0.2468,-0.023
CAL (Race),0.2029,0.2029,0.0
DI (Sex),0.8007,0.9803,0.1796
SPD (Sex),0.1219,0.0103,-0.1116
EOPP (Sex),0.0326,0.0327,0.0001
EOD (Sex),0.0434,0.1512,0.1078
TI (Sex),0.0,0.0016,0.0016
PP (Sex),0.0747,0.2224,0.1477
CAL (Sex),0.0203,0.0203,0.0
DI (Eth),0.9217,0.9189,-0.0028
SPD (Eth),0.0429,0.0444,0.0015
EOPP (Eth),0.0105,0.043,0.0325
EOD (Eth),0.0355,0.1303,0.0948
TI (Eth),0.0002,0.0019,0.0017
PP (Eth),0.1035,0.1641,0.0606
CAL (Eth),0.0507,0.0507,0.0
DI (Age),0.4338,0.8937,0.4599
SPD (Age),0.3878,0.0563,-0.3315
EOPP (Age),0.1834,0.1503,-0.0331
EOD (Age),0.1834,0.3073,0.1239
TI (Age),0.0003,0.0138,0.0135
PP (Age),0.3557,0.5826,0.2269
CAL (Age),0.1298,0.1298,0.0
