Metric,Standard,Fair (Intersect.),Change
Accuracy,0.8644231462131584,0.8140376161994668,-0.0504
AUROC,0.9426004246765448,0.9426004246765448,0.0
F1,0.8487255769076144,0.7903928002859092,-0.0583
DI (Race),0.6981,0.8944,0.1963
SPD (Race),0.1538,0.0497,-0.1041
EOPP (Race),0.0295,0.0862,0.0567
EOD (Race),0.0357,0.0862,0.0505
TI (Race),0.0,0.0009,0.0009
PP (Race),0.0541,0.1874,0.1333
CAL (Race),0.0119,0.0119,0.0
DI (Sex),0.7644,0.8393,0.0749
SPD (Sex),0.1235,0.0782,-0.0453
EOPP (Sex),0.0406,0.0764,0.0358
EOD (Sex),0.0571,0.0764,0.0193
TI (Sex),0.0,0.0001,0.0001
PP (Sex),0.0018,0.1179,0.1161
CAL (Sex),0.0099,0.0099,0.0
DI (Eth),0.8345,0.9601,0.1256
SPD (Eth),0.0773,0.018,-0.0593
EOPP (Eth),0.0171,0.0646,0.0475
EOD (Eth),0.0301,0.0646,0.0345
TI (Eth),0.0,0.0008,0.0008
PP (Eth),0.0063,0.0994,0.0931
CAL (Eth),0.001,0.001,0.0
DI (Age),0.2996,0.8035,0.5039
SPD (Age),0.4315,0.0945,-0.337
EOPP (Age),0.1963,0.1872,-0.0091
EOD (Age),0.1963,0.1874,-0.0089
TI (Age),0.0001,0.0076,0.0075
PP (Age),0.1021,0.4489,0.3468
CAL (Age),0.0095,0.0095,0.0
