Attribute,Metric,Value,Threshold,Direction,Fair,Margin,Stability
RACE,DI,0.6431974821890459,0.8,above,False,-0.1568025178109541,stable
RACE,SPD,0.17218521400513942,0.1,below,False,-0.07218521400513941,stable
RACE,EOPP,0.07319864601417991,0.1,below,True,0.026801353985820092,stable
RACE,EOD,0.07319864601417991,0.1,below,True,0.026801353985820092,stable
RACE,TI,0.4853932584269664,0.1,below,False,-0.38539325842696637,stable
RACE,PP,0.0797427814148074,0.1,below,True,0.02025721858519261,stable
RACE,CAL,0.1581938350507502,0.05,below,False,-0.10819383505075018,stable
SEX,DI,0.7546481471251072,0.8,above,False,-0.04535185287489285,stable
SEX,SPD,0.12501724258760177,0.1,below,False,-0.025017242587601768,stable
SEX,EOPP,0.04695157783869075,0.1,below,True,0.053048422161309255,stable
SEX,EOD,0.05326305221855353,0.1,below,True,0.04673694778144648,stable
SEX,TI,0.4968,0.1,below,False,-0.39680000000000004,stable
SEX,PP,0.009866317906059185,0.1,below,True,0.09013368209394082,stable
SEX,CAL,0.023540869032906808,0.05,below,True,0.026459130967093195,stable
ETHNICITY,DI,0.8328658212748051,0.8,above,True,0.032865821274805085,stable
ETHNICITY,SPD,0.07538031112192733,0.1,below,True,0.02461968887807267,stable
ETHNICITY,EOPP,0.027838945554468864,0.1,below,True,0.07216105444553114,stable
ETHNICITY,EOD,0.027838945554468864,0.1,below,True,0.07216105444553114,stable
ETHNICITY,TI,0.4918,0.1,below,False,-0.39180000000000004,stable
ETHNICITY,PP,0.014153653963834278,0.1,below,True,0.08584634603616573,stable
ETHNICITY,CAL,0.017697087491585273,0.05,below,True,0.03230291250841473,stable
AGE_GROUP,DI,0.25139354506846334,0.8,above,False,-0.5486064549315367,stable
AGE_GROUP,SPD,0.46188361133148487,0.1,below,False,-0.36188361133148483,stable
AGE_GROUP,EOPP,0.2790554245261706,0.1,below,False,-0.1790554245261706,stable
AGE_GROUP,EOD,0.2790554245261706,0.1,below,False,-0.1790554245261706,stable
AGE_GROUP,TI,0.48488,0.1,below,False,-0.38488,stable
AGE_GROUP,PP,0.07689200112074768,0.1,below,True,0.02310799887925233,stable
AGE_GROUP,CAL,0.04160228903900298,0.05,below,True,0.00839771096099702,fragile
