Metric,Standard,Fair,Change,Std_Fair,Fair_Fair
Accuracy,0.8491887626603829,0.8006064012625252,-0.048582361397857654,,
AUC,0.9308102740964018,0.9172147127499719,-0.013595561346429919,,
DI (RACE),0.6431974821890459,0.9069210437582258,0.26372356156917987,False,True
SPD (RACE),0.17218521400513942,0.04151399412708984,-0.13067121987804958,False,True
EOPP (RACE),0.07319864601417991,0.06176620246475395,-0.011432443549425964,True,True
EOD (RACE),0.07319864601417991,0.08514894747697066,0.011950301462790747,True,True
TI (RACE),0.4853932584269664,0.49073033707865166,0.005337078651685256,False,False
PP (RACE),0.0797427814148074,0.22218255888996452,0.14243977747515713,True,False
CAL (RACE),0.1581938350507502,0.1893846757405253,0.031190840689775123,False,False
DI (SEX),0.7546481471251072,0.9332300911219139,0.1785819439968067,False,True
SPD (SEX),0.12501724258760177,0.029411902295508163,-0.09560534029209361,False,True
EOPP (SEX),0.04695157783869075,0.007245346355967741,-0.03970623148272301,True,True
EOD (SEX),0.05326305221855353,0.0746392364729314,0.021376184254377872,True,True
TI (SEX),0.4968,0.4902,-0.006599999999999995,False,False
PP (SEX),0.009866317906059185,0.14296056845305216,0.13309425054699298,True,False
CAL (SEX),0.023540869032906808,0.04515677405033791,0.021615905017431103,True,True
DI (ETHNICITY),0.8328658212748051,0.9884498031277471,0.15558398185294198,True,True
SPD (ETHNICITY),0.07538031112192733,0.004888149368520223,-0.07049216175340711,True,True
EOPP (ETHNICITY),0.027838945554468864,0.019125952835607696,-0.008712992718861168,True,True
EOD (ETHNICITY),0.027838945554468864,0.05076472068712937,0.022925775132660503,True,True
TI (ETHNICITY),0.4918,0.4788,-0.013000000000000012,False,False
PP (ETHNICITY),0.014153653963834278,0.0989971234328435,0.08484346946900923,True,True
CAL (ETHNICITY),0.017697087491585273,0.08432212643399822,0.06662503894241295,True,False
DI (AGE_GROUP),0.25139354506846334,0.8407810631687147,0.5893875181002514,False,True
SPD (AGE_GROUP),0.46188361133148487,0.07204693037575488,-0.38983668095573,False,True
EOPP (AGE_GROUP),0.2790554245261706,0.17347130275740041,-0.10558412176877019,False,False
EOD (AGE_GROUP),0.2790554245261706,0.18259136201744303,-0.09646406250872758,False,False
TI (AGE_GROUP),0.48488,0.4855599999999999,0.0006799999999999029,False,False
PP (AGE_GROUP),0.07689200112074768,0.46525980380388854,0.38836780268314086,True,False
CAL (AGE_GROUP),0.04160228903900298,0.28450484630657846,0.24290255726757548,True,False
