Model,Attribute,Metric,Mean,Std,CV,Min,Max,Range,N_Fair_Folds,Pct_Fair
Std,RACE,DI,0.6476512491181357,0.12095035506287959,0.1867522918045318,0.42200209390351934,0.8615598499657461,0.43955775606222675,2,10.0
Std,RACE,SPD,0.17599979746766983,0.06284979976883236,0.3571015459854578,0.061288345795448174,0.27987031696257486,0.2185819711671267,2,10.0
Std,RACE,EOPP,0.182235414631324,0.06918655052846773,0.3796548034773446,0.07362428545734645,0.2900100795161832,0.21638579405883673,3,15.0
Std,RACE,EOD,0.18926129205454428,0.06585182548389057,0.3479413289903588,0.0799289123149637,0.2900100795161832,0.2100811672012195,2,10.0
Std,RACE,TI,0.4824271201862415,0.03728024540705274,0.07727642963492737,0.3851851851851852,0.5538461538461539,0.1686609686609687,0,0.0
Std,RACE,PP,0.15774556919149615,0.12349053052102162,0.7828462704464907,0.04486819966348854,0.6073697270471463,0.5625015273836578,9,45.0
Std,RACE,CAL,0.22474281856872952,0.09229598257699319,0.4106737788765774,0.10286665663290828,0.440407607083842,0.33754095045093374,0,0.0
Std,SEX,DI,0.7566012262544478,0.09586856753286463,0.12670950588787927,0.5547695344140072,0.928769739373248,0.3740002049592408,7,35.0
Std,SEX,SPD,0.12404312153074873,0.04724544592762619,0.3808792083317142,0.036163339367694336,0.21601665334983422,0.17985331398213988,6,30.0
Std,SEX,EOPP,0.04906167147084724,0.026579819611917424,0.5417634339610978,0.009746964043157447,0.11399933381767935,0.1042523697745219,18,90.0
Std,SEX,EOD,0.0652309379051236,0.02387588631574366,0.36602089564418655,0.021405969822359816,0.11399933381767935,0.09259336399531953,18,90.0
Std,SEX,TI,0.50202,0.01250547669496933,0.02491031571445227,0.4752,0.5288,0.053600000000000037,0,0.0
Std,SEX,PP,0.007818960669829383,0.0064962873517959915,0.8308377067124635,0.0001904232207545764,0.025783126238468124,0.025592703017713547,20,100.0
Std,SEX,CAL,0.08853702274322175,0.04039625883183785,0.45626403034803337,0.029570960860849343,0.18822827362575495,0.1586573127649056,2,10.0
Std,ETHNICITY,DI,0.8241275741316174,0.10841583066998743,0.13155224272677093,0.6093670753276634,0.9990509670668309,0.3896838917391675,12,60.0
Std,ETHNICITY,SPD,0.08085469972145307,0.05060171533994375,0.625835177352315,0.00034996067368370243,0.18434455831572416,0.18399459764204046,13,65.0
Std,ETHNICITY,EOPP,0.04080580337536154,0.03535836024633012,0.8665032255602992,0.0029424039777025124,0.12726749689509542,0.12432509291739291,18,90.0
Std,ETHNICITY,EOD,0.052937775481244065,0.031072888510603004,0.5869700460234143,0.015175225690887473,0.12726749689509542,0.11209227120420795,18,90.0
Std,ETHNICITY,TI,0.4862245994832041,0.01765010220535385,0.036300306944802255,0.4478,0.5124,0.06459999999999999,0,0.0
Std,ETHNICITY,PP,0.026916991192463824,0.024609508822605486,0.9142741343800572,0.0019422242703331927,0.08617004658799243,0.08422782231765924,20,100.0
Std,ETHNICITY,CAL,0.10718179157892323,0.05473925271786618,0.5107141046206433,0.03310073745545791,0.24821544834538556,0.21511471088992765,1,5.0
Std,AGE_GROUP,DI,0.25346334740527177,0.06664649936263037,0.262943340900753,0.1372867293064573,0.38289276859026833,0.24560603928381103,0,0.0
Std,AGE_GROUP,SPD,0.4609249568408026,0.053582988576052516,0.11625100307718719,0.35425954841694357,0.5674040798671529,0.21314453145020934,0,0.0
Std,AGE_GROUP,EOPP,0.3072596172295936,0.07128465861828012,0.23200139107448697,0.15631964847644353,0.4746250889441704,0.31830544046772685,0,0.0
Std,AGE_GROUP,EOD,0.3072596172295936,0.07128465861828012,0.23200139107448697,0.15631964847644353,0.4746250889441704,0.31830544046772685,0,0.0
Std,AGE_GROUP,TI,0.47912799808935674,0.01564692961094813,0.03265709721273687,0.4382978723404255,0.50424,0.06594212765957452,0,0.0
Std,AGE_GROUP,PP,0.09720414111359059,0.0558587425243781,0.5746539384479805,0.039155276800183936,0.21519448844635547,0.17603921164617153,13,65.0
Std,AGE_GROUP,CAL,0.21894440291227743,0.08063337098850581,0.36828240373339205,0.08204762933641957,0.3683251736914274,0.28627754435500785,0,0.0
Fair,RACE,DI,0.8286825684410515,0.10556324633463257,0.12738683104342605,0.5614923563876355,0.9649198662515854,0.40342750986394993,17,85.0
Fair,RACE,SPD,0.08195362061029983,0.056681367075103475,0.6916273698831535,0.01322251195132551,0.21877919651199007,0.20555668456066456,17,85.0
Fair,RACE,EOPP,0.14367944818979347,0.06523383310443367,0.45402341062907614,0.03388278388278387,0.28460451977401124,0.25072173589122737,6,30.0
Fair,RACE,EOD,0.18681299186930123,0.07941524635314362,0.4251055858508192,0.0895127693372254,0.42125119657638377,0.33173842723915836,2,10.0
Fair,RACE,TI,0.4721777119208488,0.07376019255416918,0.15621277898549693,0.2,0.5478260869565218,0.3478260869565218,0,0.0
Fair,RACE,PP,0.2434038967161119,0.13854964501770226,0.5692170375534136,0.049873144962291005,0.6558858016339822,0.6060126566716912,2,10.0
Fair,RACE,CAL,0.24186000566578897,0.10682984205570785,0.44170114757761664,0.09974946037150556,0.5006854435424931,0.40093598317098755,0,0.0
Fair,SEX,DI,0.9469692208090196,0.0540082506602941,0.05703274137479727,0.8305032071015346,0.9996469968757967,0.16914378977426214,20,100.0
Fair,SEX,SPD,0.02535677358842493,0.027605401843585595,1.0886795888017526,0.0001247220012414174,0.08524133515495774,0.08511661315371633,20,100.0
Fair,SEX,EOPP,0.020539500823092256,0.01888780441417372,0.9195843938397199,0.00017861312611788804,0.08139584206354522,0.08121722893742733,20,100.0
Fair,SEX,EOD,0.07068145284857597,0.04342882597558538,0.6144302957188061,0.005822388544429097,0.14996184345371721,0.14413945490928812,14,70.0
Fair,SEX,TI,0.48798,0.017813761682001873,0.03650510611500855,0.4512,0.5076,0.05640000000000006,0,0.0
Fair,SEX,PP,0.13904852822592248,0.07330466464562671,0.5271876342806244,0.03970046950698514,0.30698493944325866,0.2672844699362735,7,35.0
Fair,SEX,CAL,0.11078767611995481,0.04784338882202537,0.4318475709358068,0.045044839897537575,0.22514851939144104,0.18010367949390346,2,10.0
