Model,Attribute,Metric,N_Fair,N_Unfair,N_Folds,Pct_Fair
Std,RACE,DI,2,18,20,10.0
Std,RACE,SPD,2,18,20,10.0
Std,RACE,EOPP,3,17,20,15.0
Std,RACE,EOD,2,18,20,10.0
Std,RACE,TI,0,20,20,0.0
Std,RACE,PP,9,11,20,45.0
Std,RACE,CAL,0,20,20,0.0
Std,SEX,DI,7,13,20,35.0
Std,SEX,SPD,6,14,20,30.0
Std,SEX,EOPP,18,2,20,90.0
Std,SEX,EOD,18,2,20,90.0
Std,SEX,TI,0,20,20,0.0
Std,SEX,PP,20,0,20,100.0
Std,SEX,CAL,2,18,20,10.0
Std,ETHNICITY,DI,12,8,20,60.0
Std,ETHNICITY,SPD,13,7,20,65.0
Std,ETHNICITY,EOPP,18,2,20,90.0
Std,ETHNICITY,EOD,18,2,20,90.0
Std,ETHNICITY,TI,0,20,20,0.0
Std,ETHNICITY,PP,20,0,20,100.0
Std,ETHNICITY,CAL,1,19,20,5.0
Std,AGE_GROUP,DI,0,20,20,0.0
Std,AGE_GROUP,SPD,0,20,20,0.0
Std,AGE_GROUP,EOPP,0,20,20,0.0
Std,AGE_GROUP,EOD,0,20,20,0.0
Std,AGE_GROUP,TI,0,20,20,0.0
Std,AGE_GROUP,PP,13,7,20,65.0
Std,AGE_GROUP,CAL,0,20,20,0.0
Fair,RACE,DI,17,3,20,85.0
Fair,RACE,SPD,17,3,20,85.0
Fair,RACE,EOPP,6,14,20,30.0
Fair,RACE,EOD,2,18,20,10.0
Fair,RACE,TI,0,20,20,0.0
Fair,RACE,PP,2,18,20,10.0
Fair,RACE,CAL,0,20,20,0.0
Fair,SEX,DI,20,0,20,100.0
Fair,SEX,SPD,20,0,20,100.0
Fair,SEX,EOPP,20,0,20,100.0
Fair,SEX,EOD,14,6,20,70.0
Fair,SEX,TI,0,20,20,0.0
Fair,SEX,PP,7,13,20,35.0
Fair,SEX,CAL,2,18,20,10.0
Fair,ETHNICITY,DI,20,0,20,100.0
Fair,ETHNICITY,SPD,20,0,20,100.0
Fair,ETHNICITY,EOPP,19,1,20,95.0
Fair,ETHNICITY,EOD,18,2,20,90.0
Fair,ETHNICITY,TI,0,20,20,0.0
Fair,ETHNICITY,PP,14,6,20,70.0
Fair,ETHNICITY,CAL,0,20,20,0.0
Fair,AGE_GROUP,DI,17,3,20,85.0
Fair,AGE_GROUP,SPD,17,3,20,85.0
Fair,AGE_GROUP,EOPP,3,17,20,15.0
Fair,AGE_GROUP,EOD,1,19,20,5.0
Fair,AGE_GROUP,TI,0,20,20,0.0
Fair,AGE_GROUP,PP,0,20,20,0.0
Fair,AGE_GROUP,CAL,0,20,20,0.0
