N_Hospitals,N_Train,Accuracy,AUC,F1,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,N_Fair_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,N_Fair_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,N_Fair_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP,N_Fair_AGE_GROUP,VFR_DI_RACE,VFR_SPD_RACE,VFR_EOPP_RACE,VFR_EOD_RACE,VFR_TI_RACE,VFR_PP_RACE,VFR_CAL_RACE,VFR_DI_SEX,VFR_SPD_SEX,VFR_EOPP_SEX,VFR_EOD_SEX,VFR_TI_SEX,VFR_PP_SEX,VFR_CAL_SEX,VFR_DI_ETHNICITY,VFR_SPD_ETHNICITY,VFR_EOPP_ETHNICITY,VFR_EOD_ETHNICITY,VFR_TI_ETHNICITY,VFR_PP_ETHNICITY,VFR_CAL_ETHNICITY,VFR_DI_AGE_GROUP,VFR_SPD_AGE_GROUP,VFR_EOPP_AGE_GROUP,VFR_EOD_AGE_GROUP,VFR_TI_AGE_GROUP,VFR_PP_AGE_GROUP,VFR_CAL_AGE_GROUP
1,12785,0.8091241230962135,0.8883934535538325,0.773665557969482,0.6391251681296698,0,0.15384819696419155,0,0.12420912420912422,0,0.12420912420912422,0,0.4654494382022471,0,0.11083257289267445,0,0.2695092290044695,0,0,0.7829165116225223,0,0.09888139618414371,1,0.03285719904543849,1,0.034196807575214205,1,0.4924,0,0.029900355352181163,1,0.18548225450723235,0,4,0.8304262947000046,1,0.06986686061153718,1,0.04152250933723611,1,0.04152250933723611,1,0.4686,0,0.030728219795135403,1,0.17236261067103864,0,5,0.3093408033993723,0,0.3831865863492787,0,0.24614109244520244,0,0.24614109244520244,0,0.45768000000000003,0,0.2549131160998682,0,0.34884481473491474,0,0,0.2,0.2,0.4,0.26666666666666666,0.0,0.2,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,24882,0.8120966783046707,0.8946713415257184,0.792573279796672,0.6663555770375942,0,0.16525922111414532,0,0.15663947702782655,0,0.15663947702782655,0,0.49185393258426957,0,0.1810969910086353,0,0.43347972028592563,0,0,0.7946142516403004,0,0.10752232846349091,0,0.03220850116616325,1,0.04764018432949643,1,0.4992,0,0.03624429398822682,1,0.15810742010949597,0,3,0.8614642170708658,1,0.06558053318367374,1,0.03581563386649311,1,0.03581563386649311,1,0.4872,0,0.04758651793282176,1,0.18602423288619574,0,5,0.3750956164478608,0,0.3825655682779341,0,0.19074877600481466,0,0.19074877600481466,0,0.49151999999999996,0,0.27114987126953627,0,0.297774586583794,0,0,0.0,0.0,0.06666666666666667,0.0,0.0,0.2,0.0,0.3333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,55497,0.820209051700842,0.9066648275638343,0.8047747039284499,0.6968849086293986,0,0.15577820182998442,0,0.12500767840573668,0,0.12500767840573668,0,0.49831460674157296,0,0.17863942687047096,0,0.3478475428527592,0,0,0.8125078904964463,1,0.10009729366079956,0,0.023865914718680048,1,0.036796348565322406,1,0.4982,0,0.04489645419353272,1,0.16828074338490429,0,4,0.8676512972033374,1,0.06461002976529939,1,0.03330120637232559,1,0.03330120637232559,1,0.498,0,0.04953055363095038,1,0.2138944134869062,0,5,0.3786075131047634,0,0.392132139564665,0,0.1874783403908471,0,0.1874783403908471,0,0.49868000000000007,0,0.2587711655194447,0,0.32308364040103643,0,0,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.0,0.06666666666666667,0.0,0.13333333333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,99803,0.8346124328472755,0.9178241000994914,0.818930065502571,0.6732533118841205,0,0.1656376177698951,0,0.11261553980000583,0,0.11261553980000583,0,0.4963483146067415,0,0.15371900305040576,0,0.22912074901910107,0,0,0.7693307354746587,0,0.12505222901809326,0,0.03492146682862518,1,0.06922440801882213,1,0.5064,0,0.012230535423390476,1,0.07971272543023478,0,3,0.8323722623792812,1,0.0813347370173651,1,0.034126435045814696,1,0.034126435045814696,1,0.4984,0,0.018510602664913334,1,0.07877872501296046,0,5,0.28771381123286033,0,0.4579624322844724,0,0.24913137096497262,0,0.24913137096497262,0,0.50064,0,0.13609304490997487,0,0.11365230236250978,0,0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,175881,0.8424383600142683,0.9241894970556135,0.825534563342689,0.6766001729787302,0,0.1638013631011837,0,0.08932491456763303,1,0.08932491456763303,1,0.4918539325842697,0,0.14341257785522743,0,0.258404413792389,0,2,0.7593644597224198,0,0.1285082374765802,0,0.04273808436610116,1,0.06584414904522824,1,0.5014,0,0.009563675937775296,1,0.06334270311181112,0,3,0.8366653540619744,1,0.07739649252971692,1,0.03046646898400429,1,0.03046646898400429,1,0.4962,0,0.019493964325763558,1,0.06345209995853951,0,5,0.28191608121251505,0,0.45276926334303724,0,0.24794526044123466,0,0.24794526044123466,0,0.49768,0,0.11263848992731029,0,0.09067126552414378,0,0,0.3333333333333333,0.26666666666666666,0.4,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
50,344496,0.8447299298476971,0.92667737955837,0.8253014612433034,0.713265595378971,0,0.14058788044024023,0,0.06379381136662698,1,0.06379381136662698,1,0.48876404494382014,0,0.15370287065839972,0,0.2422764618145783,0,2,0.7574397880739667,0,0.12561811337863926,0,0.04577073885601768,1,0.057080050503118845,1,0.4974,0,0.01139244217259161,1,0.043631848794623895,1,4,0.8403842808556943,1,0.07316314481409864,1,0.026107829729458798,1,0.026107829729458798,1,0.4952,0,0.019474806491998176,1,0.03154357513484074,1,6,0.2754066874370816,0,0.44757948335285913,0,0.2472771226308531,0,0.2472771226308531,0,0.48819999999999997,0,0.09876872207142273,1,0.07228921359110052,0,1,0.13333333333333333,0.13333333333333333,0.4,0.4666666666666667,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0
100,522048,0.8461243284727552,0.9283871956694683,0.8266468578943843,0.6805694004713388,0,0.15623288422178117,0,0.08185665467218861,1,0.08185665467218861,1,0.4915730337078652,0,0.13572060716584422,0,0.20540220713846513,0,2,0.7547052972818437,0,0.12696196129075576,0,0.04627579167489004,1,0.05867634175130185,1,0.4944,0,0.008887402045908543,1,0.03341720990858804,1,4,0.8324451248859599,1,0.07677603029184932,1,0.029412794989153834,1,0.029412794989153834,1,0.4946,0,0.015072625610041412,1,0.02071145370496702,1,6,0.2607388831928513,0,0.45877488715184833,0,0.26515440321988903,0,0.26515440321988903,0,0.48872,0,0.08010474615691843,1,0.03968800914938697,1,2,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
150,633666,0.8467350534519473,0.928902329308573,0.8255987011229874,0.6822117183628476,0,0.15243848750005456,0,0.07886935071401091,1,0.07886935071401091,1,0.4879213483146068,0,0.12894504042678945,0,0.24719381315808575,0,2,0.753355479130038,0,0.1252069992685046,0,0.048922001031255324,1,0.05295484170154931,1,0.4966,0,0.010756777309881449,1,0.03683407381770132,1,4,0.8300028773171446,1,0.07637419856151861,1,0.027883482959632166,1,0.027883482959632166,1,0.4946,0,0.011468712422052496,1,0.021315849590909597,1,6,0.2510059353684164,0,0.4581930192575211,0,0.27609493395215345,0,0.27609493395215345,0,0.48495999999999995,0,0.0736491065276682,1,0.05223865459952404,0,1,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0
200,690805,0.8470863554311286,0.9290893593772489,0.826253830423542,0.6715540533044762,0,0.15799042753485737,0,0.08976783734065297,1,0.08976783734065297,1,0.4896067415730337,0,0.12647252803003395,0,0.17180378221017367,0,2,0.7538134410827732,0,0.1253083162914575,0,0.04743334867693194,1,0.05431381582449517,1,0.4958,0,0.009598214944410932,1,0.02874052811086869,1,4,0.8307516183604499,1,0.07625070927310595,1,0.028918099066205794,1,0.028918099066205794,1,0.4958,0,0.013247013539753216,1,0.019535184301457065,1,6,0.24978340114286945,0,0.46089951502030174,0,0.2793229702644625,0,0.2793229702644625,0,0.48568,0,0.07277423637183411,1,0.031130057876234463,1,2,0.2,0.2,0.4666666666666667,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0
300,729125,0.8477727454519906,0.9294613954123505,0.8270602826863802,0.6630922435990572,0,0.16198803053758037,0,0.07454034638500662,1,0.07454034638500662,1,0.48876404494382025,0,0.10460854030583822,0,0.16573605166326744,0,2,0.7528827946167196,0,0.12590948115058687,0,0.04880297396238098,1,0.053923493685168064,1,0.4966,0,0.009928168141660976,1,0.03220026734295939,1,4,0.8304086386983464,1,0.07643678763442552,1,0.030840433584600202,1,0.030840433584600202,1,0.493,0,0.014913042825140832,1,0.01812022384314882,1,6,0.24772938905301076,0,0.46403050953732405,0,0.2851695845555212,0,0.2851695845555212,0,0.48596000000000006,0,0.07348669043401357,1,0.03392890087570269,1,2,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0
