Model,Metric,Attribute,Mean,σ,Threshold,Margin(σ),Margin_Sigma,VFR
XGBoost,DI,RACE,0.619188435667612,0.14792427771535968,0.8,-0.1808115643323881,-1.2223251458446267,0.26666666666666666
XGBoost,SPD,RACE,0.18007993046651966,0.06937123678066476,0.1,-0.08007993046651965,-1.1543679222515986,0.13333333333333333
XGBoost,EOPP,RACE,0.1541800722546456,0.08964292573411574,0.2,0.0458199277453544,0.5111382450998756,0.4
XGBoost,EOD,RACE,0.15970429061370744,0.08491203166392128,0.2,0.040295709386292566,0.47455829988595155,0.4
XGBoost,TI,RACE,0.48913598198514163,0.020716122693657347,0.1,-0.38913598198514165,-18.784209175604243,0.0
XGBoost,PP,RACE,0.11719399563296841,0.06842900177896835,0.1,-0.017193995632968403,-0.2512676670121027,0.6666666666666666
XGBoost,CAL,RACE,0.17150630381465126,0.04776579671758886,0.1,-0.07150630381465126,-1.4970189702356707,0.0
XGBoost,DI,SEX,0.7467997907976147,0.01525852468246107,0.8,-0.05320020920238533,-3.486589320364398,0.0
XGBoost,SPD,SEX,0.13025863589917527,0.009184408525224058,0.1,-0.030258635899175268,-3.294565547261204,0.0
XGBoost,EOPP,SEX,0.049113226811996764,0.01053156199788737,0.2,0.15088677318800325,14.327102970886097,0.0
XGBoost,EOD,SEX,0.05789385398436957,0.007698427450100348,0.2,0.14210614601563043,18.459113492558547,0.0
XGBoost,TI,SEX,0.5010943661479621,0.007307341702751752,0.1,-0.4010943661479621,-54.88923092195354,0.0
XGBoost,PP,SEX,0.014894245639354754,0.01014696301123227,0.1,0.08510575436064526,8.387312959201358,0.0
XGBoost,CAL,SEX,0.0695082183610062,0.015620782235483917,0.1,0.030491781638993812,1.9520009420353592,0.13333333333333333
XGBoost,DI,ETHNICITY,0.8338657459211858,0.022722163295875928,0.8,0.03386574592118574,1.4904278910508655,0.06666666666666667
XGBoost,SPD,ETHNICITY,0.0752357168087025,0.010886140987997775,0.1,0.024764283191297504,2.2748449812105784,0.0
XGBoost,EOPP,ETHNICITY,0.025433081195039665,0.013186725585857493,0.2,0.17456691880496034,13.238079284229586,0.0
XGBoost,EOD,ETHNICITY,0.03176083651274436,0.007976507594829506,0.2,0.16823916348725565,21.091832670768202,0.0
XGBoost,TI,ETHNICITY,0.49240655323705573,0.0097310786265823,0.1,-0.39240655323705576,-40.32508299389569,0.0
XGBoost,PP,ETHNICITY,0.014051209802172285,0.008480390815758817,0.1,0.08594879019782772,10.135003452684286,0.0
XGBoost,CAL,ETHNICITY,0.06977858436123512,0.022112157696483507,0.1,0.03022141563876489,1.3667330006230463,0.13333333333333333
XGBoost,DI,AGE_GROUP,0.24768980179383085,0.013183049672160057,0.8,-0.5523101982061692,-41.895480328238236,0.0
XGBoost,SPD,AGE_GROUP,0.46686142716307194,0.00897119328043244,0.1,-0.3668614271630719,-40.89326979090434,0.0
XGBoost,EOPP,AGE_GROUP,0.2856086932194814,0.030161021904604512,0.2,-0.08560869321948139,-2.8383883507081036,0.0
XGBoost,EOD,AGE_GROUP,0.2856086932194814,0.030161021904604512,0.2,-0.08560869321948139,-2.8383883507081036,0.0
XGBoost,TI,AGE_GROUP,0.48612513604757057,0.00710550951630807,0.1,-0.3861251360475706,-54.341653495975635,0.0
XGBoost,PP,AGE_GROUP,0.08655639438722755,0.03595328310549107,0.1,0.013443605612772455,0.37391872039411167,0.26666666666666666
XGBoost,CAL,AGE_GROUP,0.1946800254204633,0.05315051468540977,0.1,-0.0946800254204633,-1.7813566995702812,0.0
