Metric,Attribute,Min-N for CV<5%,Min-N for CV<10%,Largest Group,Smallest Group
DI,RACE,50000,50000,"3 (120,761)",0 (712)
SPD,RACE,50000,50000,"3 (120,761)",0 (712)
EOPP,RACE,50000,50000,"3 (120,761)",0 (712)
EOD,RACE,50000,50000,"3 (120,761)",0 (712)
TI,RACE,5000,5000,"3 (120,761)",0 (712)
PP,RACE,50000,50000,"3 (120,761)",0 (712)
CAL,RACE,50000,50000,"3 (120,761)",0 (712)
DI,SEX,2000,1000,"1 (117,173)","0 (67,853)"
SPD,SEX,10000,5000,"1 (117,173)","0 (67,853)"
EOPP,SEX,50000,50000,"1 (117,173)","0 (67,853)"
EOD,SEX,50000,10000,"1 (117,173)","0 (67,853)"
TI,SEX,5000,500,"1 (117,173)","0 (67,853)"
PP,SEX,50000,50000,"1 (117,173)","0 (67,853)"
CAL,SEX,50000,50000,"1 (117,173)","0 (67,853)"
DI,ETHNICITY,10000,500,"1 (134,352)","0 (50,674)"
SPD,ETHNICITY,50000,20000,"1 (134,352)","0 (50,674)"
EOPP,ETHNICITY,50000,50000,"1 (134,352)","0 (50,674)"
EOD,ETHNICITY,50000,50000,"1 (134,352)","0 (50,674)"
TI,ETHNICITY,2000,500,"1 (134,352)","0 (50,674)"
PP,ETHNICITY,50000,50000,"1 (134,352)","0 (50,674)"
CAL,ETHNICITY,50000,50000,"1 (134,352)","0 (50,674)"
DI,AGE_GROUP,10000,2000,"4 (79,288)","0 (7,723)"
SPD,AGE_GROUP,5000,1000,"4 (79,288)","0 (7,723)"
EOPP,AGE_GROUP,50000,20000,"4 (79,288)","0 (7,723)"
EOD,AGE_GROUP,50000,20000,"4 (79,288)","0 (7,723)"
TI,AGE_GROUP,1000,500,"4 (79,288)","0 (7,723)"
PP,AGE_GROUP,50000,50000,"4 (79,288)","0 (7,723)"
CAL,AGE_GROUP,50000,50000,"4 (79,288)","0 (7,723)"
