Metric,Attribute,Mean,SD across clusters,Range,Fleiss κ,Stability class
DI,RACE,0.6464926440159917,0.06974706098796282,0.542-0.789,1.0,High
DI,SEX,0.7470831444605593,0.04635041613999755,0.702-0.873,-0.11111111111111124,Low
DI,ETHNICITY,0.8250463019658387,0.06996882971780913,0.716-0.928,-0.11111111111111113,Low
DI,AGE_GROUP,0.24043317261508507,0.03813704350399813,0.190-0.300,1.0,High
SPD,RACE,0.17513907065203918,0.044017828871495523,0.085-0.241,-0.11111111111111124,Low
SPD,SEX,0.1305173211591829,0.028767145919375955,0.059-0.178,-0.11111111111111124,Low
SPD,ETHNICITY,0.07895671610958806,0.0312700289879233,0.031-0.122,-0.11111111111111102,Low
SPD,AGE_GROUP,0.46873793698882577,0.04087765699371624,0.405-0.531,1.0,High
EOPP,RACE,0.15288405209576655,0.05633084820473298,0.059-0.246,-0.11111111111111102,Low
EOPP,SEX,0.05223642513666471,0.016090949025851783,0.019-0.080,1.0,High
EOPP,ETHNICITY,0.034128276772183753,0.024076411305664073,0.002-0.076,1.0,High
EOPP,AGE_GROUP,0.3138088522739185,0.051728625488648795,0.249-0.404,1.0,High
EOD,RACE,0.1568911773368747,0.05502513177675783,0.063-0.246,-0.11111111111111102,Low
EOD,SEX,0.06660380265604834,0.021544143574656366,0.024-0.112,1.0,High
EOD,ETHNICITY,0.0430539377385688,0.021750563329518156,0.014-0.076,1.0,High
EOD,AGE_GROUP,0.3138088522739185,0.051728625488648795,0.249-0.404,1.0,High
TI,RACE,0.47257068173093303,0.02862016021992723,0.409-0.516,1.0,High
TI,SEX,0.4981,0.019373848352869913,0.471-0.536,1.0,High
TI,ETHNICITY,0.48134000000000005,0.026649435266061453,0.448-0.527,1.0,High
TI,AGE_GROUP,0.478614060798965,0.019515044491223155,0.447-0.521,1.0,High
PP,RACE,0.10786620780865741,0.04281406073562517,0.045-0.180,-0.11111111111111116,Low
PP,SEX,0.0035668077897786366,0.002224476209038686,0.000-0.007,1.0,High
PP,ETHNICITY,0.02061853960807496,0.014827498381152701,0.001-0.047,1.0,High
PP,AGE_GROUP,0.0825686515332767,0.017818493709860897,0.050-0.110,-0.11111111111111124,Low
CAL,RACE,0.18161906807856365,0.10821488370036736,0.074-0.481,-0.11111111111111124,Low
CAL,SEX,0.07449300006640827,0.02691167488456638,0.041-0.135,-0.11111111111111154,Low
CAL,ETHNICITY,0.08863992078699637,0.04033841405674566,0.039-0.160,-0.11111111111111113,Low
CAL,AGE_GROUP,0.17747013677756304,0.08392365722319922,0.063-0.300,-0.11111111111111102,Low
