Metric,Attribute,Mean,SD across clusters,Range,Pass_rate_folds,Proportion_agreement_majority,Per_metric_kappa,Per_attribute_kappa,Overall_kappa
DI,RACE,0.6482399999999999,0.11362571187895809,0.422-0.849,0.1,0.9,0.24217322968438026,0.18799731569360578,0.6191391985977899
DI,SEX,0.756205,0.09400056103555979,0.552-0.926,0.35,0.65,0.24217322968438026,0.5743492227199966,0.6191391985977899
DI,ETHNICITY,0.824235,0.1053620295694801,0.610-1.000,0.6,0.6,0.24217322968438026,0.5692975078571112,0.6191391985977899
DI,AGE_GROUP,0.25419,0.06645742923104986,0.135-0.385,0.0,1.0,0.24217322968438026,0.593866556154165,0.6191391985977899
SPD,RACE,0.17572000000000002,0.059212216644878274,0.067-0.271,0.15,0.85,0.2542484738491996,0.18799731569360578,0.6191391985977899
SPD,SEX,0.12434,0.04644928847678939,0.038-0.218,0.3,0.7,0.2542484738491996,0.5743492227199966,0.6191391985977899
SPD,ETHNICITY,0.08085,0.049227538024971346,0.000-0.183,0.65,0.65,0.2542484738491996,0.5692975078571112,0.6191391985977899
SPD,AGE_GROUP,0.46064,0.053228830533837576,0.354-0.572,0.0,1.0,0.2542484738491996,0.593866556154165,0.6191391985977899
EOPP,RACE,0.179885,0.06499411723379278,0.076-0.289,0.1,0.9,0.7150771666007123,0.18799731569360578,0.6191391985977899
EOPP,SEX,0.04923999999999999,0.02648120843164073,0.011-0.118,0.9,0.9,0.7150771666007123,0.5743492227199966,0.6191391985977899
EOPP,ETHNICITY,0.040215,0.033984309247062826,0.001-0.125,0.9,0.9,0.7150771666007123,0.5692975078571112,0.6191391985977899
EOPP,AGE_GROUP,0.30737000000000003,0.07080454858270052,0.158-0.480,0.0,1.0,0.7150771666007123,0.593866556154165,0.6191391985977899
EOD,RACE,0.18692000000000003,0.06190392233130305,0.078-0.289,0.05,0.95,0.7591716563564789,0.18799731569360578,0.6191391985977899
EOD,SEX,0.06555000000000001,0.023919751252887225,0.023-0.118,0.9,0.9,0.7591716563564789,0.5743492227199966,0.6191391985977899
EOD,ETHNICITY,0.052485000000000004,0.029826201149325063,0.015-0.125,0.9,0.9,0.7591716563564789,0.5692975078571112,0.6191391985977899
EOD,AGE_GROUP,0.30737000000000003,0.07080454858270052,0.158-0.480,0.0,1.0,0.7591716563564789,0.593866556154165,0.6191391985977899
TI,RACE,0.481905,0.037417475529490214,0.378-0.554,0.0,1.0,1.0,0.18799731569360578,0.6191391985977899
TI,SEX,0.50171,0.01193959379543543,0.475-0.528,0.0,1.0,1.0,0.5743492227199966,0.6191391985977899
TI,ETHNICITY,0.486155,0.016808761852081786,0.449-0.515,0.0,1.0,1.0,0.5692975078571112,0.6191391985977899
TI,AGE_GROUP,0.47940499999999997,0.015499886289905488,0.438-0.504,0.0,1.0,1.0,0.593866556154165,0.6191391985977899
PP,RACE,0.15717,0.12272013730435603,0.045-0.618,0.5,0.5,0.2491031500319428,0.18799731569360578,0.6191391985977899
PP,SEX,0.00753,0.006531623075469067,0.001-0.027,1.0,1.0,0.2491031500319428,0.5743492227199966,0.6191391985977899
PP,ETHNICITY,0.027275,0.02436868636180457,0.001-0.085,1.0,1.0,0.2491031500319428,0.5692975078571112,0.6191391985977899
PP,AGE_GROUP,0.09683500000000002,0.0542624849688991,0.042-0.218,0.65,0.65,0.2491031500319428,0.593866556154165,0.6191391985977899
CAL,RACE,0.21732,0.0743326751839324,0.120-0.393,0.0,1.0,-0.0025062656641633074,0.18799731569360578,0.6191391985977899
CAL,SEX,0.08990499999999998,0.03967361182196549,0.029-0.194,0.1,0.9,-0.0025062656641633074,0.5743492227199966,0.6191391985977899
CAL,ETHNICITY,0.11067,0.05211355006138039,0.031-0.246,0.05,0.95,-0.0025062656641633074,0.5692975078571112,0.6191391985977899
CAL,AGE_GROUP,0.219645,0.08575054795743291,0.083-0.395,0.0,1.0,-0.0025062656641633074,0.593866556154165,0.6191391985977899
