Attribute,Metric,Mean,SD,Threshold,Fair_at_mean,Pass_k_over_N,Pass_pct
RACE,DI,0.8378,0.0873,0.8,Pass,15/20,75.0
RACE,SPD,0.0754,0.0453,0.1,Pass,16/20,80.0
RACE,EOPP,0.1383,0.0559,0.1,Fail,7/20,35.0
RACE,EOD,0.1761,0.0605,0.1,Fail,2/20,10.0
RACE,TI,0.4665,0.0718,0.1,Fail,0/20,0.0
RACE,PP,0.2476,0.1293,0.1,Fail,1/20,5.0
RACE,CAL,0.2556,0.0965,0.05,Fail,0/20,0.0
SEX,DI,0.9533,0.0228,0.8,Pass,20/20,100.0
SEX,SPD,0.0199,0.0086,0.1,Pass,20/20,100.0
SEX,EOPP,0.0182,0.0143,0.1,Pass,20/20,100.0
SEX,EOD,0.0807,0.0215,0.1,Pass,15/20,75.0
SEX,TI,0.4856,0.0178,0.1,Fail,0/20,0.0
SEX,PP,0.1504,0.0522,0.1,Fail,4/20,20.0
SEX,CAL,0.1082,0.0503,0.05,Fail,2/20,10.0
ETHNICITY,DI,0.9177,0.0591,0.8,Pass,19/20,95.0
ETHNICITY,SPD,0.0376,0.0296,0.1,Pass,19/20,95.0
ETHNICITY,EOPP,0.0396,0.0338,0.1,Pass,19/20,95.0
ETHNICITY,EOD,0.0619,0.0569,0.1,Pass,17/20,85.0
ETHNICITY,TI,0.4841,0.0181,0.1,Fail,0/20,0.0
ETHNICITY,PP,0.0962,0.0745,0.1,Pass,13/20,65.0
ETHNICITY,CAL,0.145,0.0771,0.05,Fail,1/20,5.0
AGE_GROUP,DI,0.8411,0.0823,0.8,Pass,16/20,80.0
AGE_GROUP,SPD,0.0722,0.0442,0.1,Pass,16/20,80.0
AGE_GROUP,EOPP,0.1844,0.0327,0.1,Fail,1/20,5.0
AGE_GROUP,EOD,0.2098,0.0216,0.1,Fail,0/20,0.0
AGE_GROUP,TI,0.4807,0.0143,0.1,Fail,0/20,0.0
AGE_GROUP,PP,0.4734,0.0737,0.1,Fail,0/20,0.0
AGE_GROUP,CAL,0.3148,0.067,0.05,Fail,0/20,0.0
