Cluster,N_hosp,Acc,AUC,Attribute,DI,SPD,EOPP,EOD,TI,PP,CAL,N_fair
1,21,0.7915,0.9181,RACE,0.5891,0.2146,0.071,0.1223,0.5385,0.1252,0.2064,1/7
1,21,0.7915,0.9181,SEX,0.9417,0.029,0.0154,0.0885,0.501,0.1545,0.1391,4/7
1,21,0.7915,0.9181,ETHNICITY,0.9602,0.0196,0.0497,0.0941,0.5048,0.1414,0.1779,4/7
1,21,0.7915,0.9181,AGE_GROUP,0.7226,0.1396,0.162,0.2134,0.4991,0.5092,0.3648,0/7
2,21,0.7881,0.9111,RACE,0.7757,0.1033,0.1589,0.25,0.5286,0.4121,0.2183,0/7
2,21,0.7881,0.9111,SEX,0.9651,0.0158,0.014,0.0899,0.4986,0.1395,0.0927,4/7
2,21,0.7881,0.9111,ETHNICITY,0.9602,0.0177,0.0052,0.0326,0.4942,0.0716,0.0723,5/7
2,21,0.7881,0.9111,AGE_GROUP,0.9133,0.0396,0.2038,0.2045,0.4837,0.4508,0.3053,2/7
3,22,0.781,0.8985,RACE,0.8814,0.0557,0.243,0.243,0.4848,0.0884,0.3311,3/7
3,22,0.781,0.8985,SEX,0.9632,0.0158,0.0054,0.0445,0.503,0.0742,0.141,5/7
3,22,0.781,0.8985,ETHNICITY,0.9039,0.043,0.0538,0.0538,0.487,0.0432,0.1603,5/7
3,22,0.781,0.8985,AGE_GROUP,0.9345,0.0281,0.1939,0.1939,0.4826,0.3501,0.241,2/7
4,22,0.7996,0.915,RACE,0.8925,0.0477,0.0762,0.108,0.4799,0.2761,0.2375,3/7
4,22,0.7996,0.915,SEX,0.9555,0.0188,0.016,0.0741,0.4822,0.1358,0.0359,5/7
4,22,0.7996,0.915,ETHNICITY,0.9105,0.0376,0.0094,0.0116,0.4792,0.0693,0.0495,6/7
4,22,0.7996,0.915,AGE_GROUP,0.8933,0.0462,0.1842,0.207,0.4783,0.4852,0.2987,2/7
5,23,0.7811,0.9176,RACE,0.8525,0.0831,0.128,0.2965,0.4364,0.3631,0.2834,2/7
5,23,0.7811,0.9176,SEX,0.9516,0.0245,0.0076,0.1023,0.4966,0.1737,0.1284,3/7
5,23,0.7811,0.9176,ETHNICITY,0.7978,0.1173,0.0782,0.2133,0.505,0.1986,0.3073,1/7
5,23,0.7811,0.9176,AGE_GROUP,0.6147,0.2003,0.158,0.2464,0.4903,0.5841,0.4257,0/7
