Cluster,N_hosp,Acc,AUC,Attribute,DI,SPD,EOPP,EOD,TI,PP,CAL,N_fair
1,21,0.8432,0.9312,RACE,0.6267,0.2291,0.1955,0.1955,0.5538,0.2587,0.2629,0/7
1,21,0.8432,0.9312,SEX,0.7611,0.1421,0.0346,0.0933,0.503,0.0042,0.1943,3/7
1,21,0.8432,0.9312,ETHNICITY,0.7895,0.114,0.029,0.0642,0.504,0.0078,0.1756,3/7
1,21,0.8432,0.9312,AGE_GROUP,0.2457,0.5245,0.3373,0.3373,0.4972,0.1741,0.2367,0/7
2,21,0.8423,0.9307,RACE,0.5403,0.2348,0.092,0.1259,0.5,0.1867,0.1205,1/7
2,21,0.8423,0.9307,SEX,0.7863,0.1107,0.0481,0.0485,0.5116,0.0049,0.0787,3/7
2,21,0.8423,0.9307,ETHNICITY,0.8674,0.0612,0.0198,0.023,0.488,0.0064,0.07,5/7
2,21,0.8423,0.9307,AGE_GROUP,0.2818,0.437,0.2358,0.2358,0.4855,0.0912,0.1496,1/7
3,22,0.8231,0.9144,RACE,0.7059,0.1629,0.1368,0.148,0.4879,0.0961,0.2704,1/7
3,22,0.8231,0.9144,SEX,0.8446,0.0778,0.0373,0.0406,0.5124,0.0037,0.1205,5/7
3,22,0.8231,0.9144,ETHNICITY,0.9721,0.0129,0.0162,0.0273,0.5008,0.0292,0.0974,5/7
3,22,0.8231,0.9144,AGE_GROUP,0.3852,0.3587,0.1579,0.1579,0.4845,0.0436,0.1107,1/7
4,22,0.8494,0.9296,RACE,0.5562,0.2324,0.1237,0.1237,0.4797,0.0996,0.2327,1/7
4,22,0.8494,0.9296,SEX,0.7638,0.1165,0.0602,0.0602,0.4924,0.0029,0.0553,3/7
4,22,0.8494,0.9296,ETHNICITY,0.7435,0.1149,0.0597,0.0597,0.4868,0.0211,0.0947,3/7
4,22,0.8494,0.9296,AGE_GROUP,0.2628,0.4435,0.283,0.283,0.478,0.1054,0.1468,0/7
5,23,0.8496,0.9339,RACE,0.7362,0.1583,0.1287,0.2224,0.4982,0.2556,0.2255,0/7
5,23,0.8496,0.9339,SEX,0.7573,0.1442,0.0284,0.0826,0.5118,0.0172,0.1202,3/7
5,23,0.8496,0.9339,ETHNICITY,0.9919,0.004,0.0357,0.0503,0.5,0.0841,0.2457,5/7
5,23,0.8496,0.9339,AGE_GROUP,0.1853,0.5715,0.4346,0.4346,0.491,0.2013,0.3493,0/7
6,21,0.8292,0.9226,RACE,0.7518,0.0962,0.2761,0.2761,0.3778,0.0579,0.2541,2/7
6,21,0.8292,0.9226,SEX,0.5519,0.2181,0.1177,0.1177,0.4904,0.0048,0.163,1/7
6,21,0.8292,0.9226,ETHNICITY,0.6099,0.1566,0.1077,0.1077,0.4626,0.0212,0.1939,1/7
6,21,0.8292,0.9226,AGE_GROUP,0.1882,0.4841,0.3995,0.3995,0.4645,0.0661,0.292,1/7
7,21,0.8503,0.9282,RACE,0.8491,0.0669,0.2262,0.2262,0.5062,0.0683,0.1376,3/7
7,21,0.8503,0.9282,SEX,0.7551,0.1184,0.0415,0.0441,0.5006,0.0165,0.0293,4/7
7,21,0.8503,0.9282,ETHNICITY,0.8202,0.0785,0.0374,0.0374,0.485,0.076,0.1436,5/7
7,21,0.8503,0.9282,AGE_GROUP,0.2444,0.4361,0.291,0.291,0.4569,0.2182,0.3951,0/7
8,22,0.8325,0.9206,RACE,0.5243,0.2713,0.1922,0.1922,0.4953,0.6175,0.3928,0/7
8,22,0.8325,0.9206,SEX,0.9263,0.0376,0.0105,0.0234,0.5012,0.0022,0.0574,5/7
8,22,0.8325,0.9206,ETHNICITY,0.8382,0.0897,0.053,0.0684,0.5146,0.0227,0.0607,5/7
8,22,0.8325,0.9206,AGE_GROUP,0.2688,0.4611,0.2739,0.2739,0.4776,0.043,0.1752,1/7
9,23,0.8386,0.9234,RACE,0.8224,0.0837,0.1171,0.1171,0.4895,0.0452,0.1947,3/7
9,23,0.8386,0.9234,SEX,0.8199,0.0862,0.0604,0.0604,0.4868,0.0009,0.0669,5/7
