Fold,N_val,N_hospitals,Std_Acc,Std_AUC,Fair_Acc,Fair_AUC,Fair_AllDI,Std_DI_RACE,Std_V_DI_RACE,Std_SPD_RACE,Std_V_SPD_RACE,Std_EOPP_RACE,Std_V_EOPP_RACE,Std_EOD_RACE,Std_V_EOD_RACE,Std_TI_RACE,Std_V_TI_RACE,Std_PP_RACE,Std_V_PP_RACE,Std_CAL_RACE,Std_V_CAL_RACE,Std_NFair_RACE,Fair_DI_RACE,Fair_V_DI_RACE,Fair_SPD_RACE,Fair_V_SPD_RACE,Fair_EOPP_RACE,Fair_V_EOPP_RACE,Fair_EOD_RACE,Fair_V_EOD_RACE,Fair_TI_RACE,Fair_V_TI_RACE,Fair_PP_RACE,Fair_V_PP_RACE,Fair_CAL_RACE,Fair_V_CAL_RACE,Fair_NFair_RACE,Std_DI_SEX,Std_V_DI_SEX,Std_SPD_SEX,Std_V_SPD_SEX,Std_EOPP_SEX,Std_V_EOPP_SEX,Std_EOD_SEX,Std_V_EOD_SEX,Std_TI_SEX,Std_V_TI_SEX,Std_PP_SEX,Std_V_PP_SEX,Std_CAL_SEX,Std_V_CAL_SEX,Std_NFair_SEX,Fair_DI_SEX,Fair_V_DI_SEX,Fair_SPD_SEX,Fair_V_SPD_SEX,Fair_EOPP_SEX,Fair_V_EOPP_SEX,Fair_EOD_SEX,Fair_V_EOD_SEX,Fair_TI_SEX,Fair_V_TI_SEX,Fair_PP_SEX,Fair_V_PP_SEX,Fair_CAL_SEX,Fair_V_CAL_SEX,Fair_NFair_SEX,Std_DI_ETHNICITY,Std_V_DI_ETHNICITY,Std_SPD_ETHNICITY,Std_V_SPD_ETHNICITY,Std_EOPP_ETHNICITY,Std_V_EOPP_ETHNICITY,Std_EOD_ETHNICITY,Std_V_EOD_ETHNICITY,Std_TI_ETHNICITY,Std_V_TI_ETHNICITY,Std_PP_ETHNICITY,Std_V_PP_ETHNICITY,Std_CAL_ETHNICITY,Std_V_CAL_ETHNICITY,Std_NFair_ETHNICITY,Fair_DI_ETHNICITY,Fair_V_DI_ETHNICITY,Fair_SPD_ETHNICITY,Fair_V_SPD_ETHNICITY,Fair_EOPP_ETHNICITY,Fair_V_EOPP_ETHNICITY,Fair_EOD_ETHNICITY,Fair_V_EOD_ETHNICITY,Fair_TI_ETHNICITY,Fair_V_TI_ETHNICITY,Fair_PP_ETHNICITY,Fair_V_PP_ETHNICITY,Fair_CAL_ETHNICITY,Fair_V_CAL_ETHNICITY,Fair_NFair_ETHNICITY,Std_DI_AGE_GROUP,Std_V_DI_AGE_GROUP,Std_SPD_AGE_GROUP,Std_V_SPD_AGE_GROUP,Std_EOPP_AGE_GROUP,Std_V_EOPP_AGE_GROUP,Std_EOD_AGE_GROUP,Std_V_EOD_AGE_GROUP,Std_TI_AGE_GROUP,Std_V_TI_AGE_GROUP,Std_PP_AGE_GROUP,Std_V_PP_AGE_GROUP,Std_CAL_AGE_GROUP,Std_V_CAL_AGE_GROUP,Std_NFair_AGE_GROUP,Fair_DI_AGE_GROUP,Fair_V_DI_AGE_GROUP,Fair_SPD_AGE_GROUP,Fair_V_SPD_AGE_GROUP,Fair_EOPP_AGE_GROUP,Fair_V_EOPP_AGE_GROUP,Fair_EOD_AGE_GROUP,Fair_V_EOD_AGE_GROUP,Fair_TI_AGE_GROUP,Fair_V_TI_AGE_GROUP,Fair_PP_AGE_GROUP,Fair_V_PP_AGE_GROUP,Fair_CAL_AGE_GROUP,Fair_V_CAL_AGE_GROUP,Fair_NFair_AGE_GROUP
1,46255,21,0.8435412387849962,0.9311236966963642,0.8305912874283862,0.9203921561968241,False,0.6269035532994923,0,0.2289006540018686,0,0.19552529182879375,0,0.19552529182879375,0,0.5538461538461539,0,0.26170212765957446,0,0.26061137040395127,0,0,0.5844424726412304,0,0.21877919651199007,0,0.0943579766536965,1,0.0943579766536965,1,0.5384615384615385,0,0.13376220053238685,0,0.2460228701978176,0,2,0.7616001247834395,0,0.14161830646451162,0,0.0341010838179302,1,0.09278906373702031,1,0.5026,0,0.004288350639329197,1,0.18822827362575495,0,3,0.8639857193266497,1,0.0722811932955717,1,0.00017861312611788804,1,0.005822388544429097,1,0.5012,0,0.07503292768009606,1,0.14931473718719757,0,5,0.7914495550066243,0,0.11271713126852573,0,0.02798129351778178,1,0.06264087692094472,1,0.5026,0,0.008895597417053702,1,0.17348132622054324,0,3,0.9386834186124248,1,0.030381862687595407,1,0.0274639507758776,1,0.03600978823542686,1,0.5026,0,0.09167588156530126,1,0.17337842107858126,0,5,0.2461664113299404,0,0.5231816572641919,0,0.3368511569731082,0,0.3368511569731082,0,0.4959247648902821,0,0.17528549064633048,0,0.23729864971449643,0,0,0.5010546535892973,0,0.29481713026696893,0,0.01672708681911128,1,0.11851738638825493,0,0.49749216300940435,0,0.46561775284513535,0,0.3767445211318011,0,1
2,46257,21,0.842013100719891,0.9307131212150588,0.8036837667812439,0.913601443063306,True,0.538151128405735,0,0.23691820332357216,0,0.09623651440774328,1,0.1278894472361809,0,0.5,0,0.1908713692946058,0,0.10286665663290828,0,1,0.8160606610917948,1,0.08881705675679302,1,0.03388278388278387,1,0.21666666666666667,0,0.5285714285714286,0,0.37790697674418605,0,0.2477160090159779,0,3,0.7878453179766948,0,0.10993161368552207,0,0.04802328184281124,1,0.04802328184281124,1,0.5106,0,0.006430588615871424,1,0.08459486060119686,0,3,0.9245926983980212,1,0.035317016598093165,1,0.019260117498867024,1,0.061287792366066046,1,0.5062,0,0.11091323805369746,0,0.09569159896276425,0,4,0.8648151517954391,1,0.06250977814670405,1,0.0209593560724759,1,0.024488582388070418,1,0.4878,0,0.005090852594922035,1,0.07090067109057091,0,5,0.9559254643940348,1,0.019850654684127222,1,0.010126098115226467,1,0.019636495278392535,1,0.4928,0,0.05351234827053397,1,0.08510780349313796,0,5,0.2847206971564148,0,0.43544361682221483,0,0.2302304415735622,0,0.2302304415735622,0,0.48461538461538456,0,0.09243062551515713,1,0.18294865575329822,0,1,0.8063365958073024,1,0.09332628946000138,1,0.16646227440747985,0,0.16646227440747985,0,0.48461538461538467,0,0.41120558477508795,0,0.2989307585497123,0,2
3,46258,22,0.8224739504518137,0.9141901915897928,0.7953651260322538,0.9011213938998437,True,0.7067559955765401,0,0.1623013241131337,0,0.13679052674561043,0,0.14654716083941177,0,0.49090909090909085,0,0.09514449572670836,1,0.2830051039235795,0,1,0.8156429592606671,1,0.09310325686003451,1,0.14460131340041749,0,0.14460131340041749,0,0.4818181818181818,0,0.08185610010427535,1,0.2504649572430918,0,3,0.8442946219758879,1,0.07793452722188687,1,0.03725611270631013,1,0.0411522652238859,1,0.5154,0,0.004031090817901983,1,0.12437190814333293,0,5,0.8973203952085851,1,0.04652045586576248,1,0.02720757386089312,1,0.02720757386089312,1,0.5056,0,0.03970046950698514,1,0.15901839495248193,0,5,0.9728397594445894,1,0.01257728610714548,1,0.016414195786748853,1,0.026414186819192192,1,0.502,0,0.02835175868495199,1,0.0982087730116043,0,5,0.8940480471241404,1,0.04854973076755187,1,0.06036114418963001,1,0.06036114418963001,1,0.4884,0,0.04730562498400237,1,0.17679486955107862,0,5,0.38289276859026833,0,0.3602331661629318,0,0.15631964847644353,0,0.15631964847644353,0,0.4852054794520548,0,0.039155276800183936,1,0.11001603215180111,0,1,0.8214534777322352,1,0.08210244194345184,1,0.15316376913564755,0,0.15316376913564755,0,0.4836529680365297,0,0.3001894415901494,0,0.2655933323918741,0,2
4,46255,22,0.8494433034266565,0.9295298319112161,0.8073937952653767,0.9175999331561716,True,0.5537615604232925,0,0.2340326598866972,0,0.12487772471190117,0,0.12487772471190117,0,0.4816326530612245,0,0.09851762037000822,1,0.2679097134069168,0,1,0.8591664894871892,1,0.06446099029076513,1,0.07096732789154736,1,0.10173094761740128,0,0.4830455259026688,0,0.26096419093295986,0,0.26540970263121033,0,3,0.7621608068471041,0,0.11749627443182092,0,0.061127583407807995,1,0.061127583407807995,1,0.4954,0,0.003724022521371384,1,0.05950479615915594,0,3,0.9387247763966651,1,0.02644808003462823,1,0.01612052108428541,1,0.06255543627237721,1,0.4832,0,0.12190638866839631,0,0.055516279416644165,0,4,0.7432171387841963,0,0.11508459183993303,0,0.0619411231546666,1,0.0619411231546666,1,0.4886,0,0.018888848105814926,1,0.08001660595685678,0,3,0.8943806891984905,1,0.044983941605929,1,0.0041000366599815985,1,0.005069305048839817,1,0.4796,0,0.06174274843324001,1,0.05890529292261498,0,5,0.2593276795183416,0,0.44585086460817447,0,0.28760099327039623,0,0.28760099327039623,0,0.47752394988946206,0,0.10671769489779015,0,0.08361435903514525,0,0,0.8435132557798332,1,0.07015940087327455,1,0.1631017229976841,0,0.19072667405858013,0,0.48297715549005166,0,0.4714201861433217,0,0.31509261737238686,0,2
5,46255,23,0.8492271105826397,0.9339263216377627,0.8260296184196303,0.918988566517171,False,0.7366731858984004,0,0.1579960884609598,0,0.13041867358280845,0,0.2232220282673574,0,0.4981818181818182,0,0.255856397244572,0,0.20947763021093818,0,0,0.7092351006898924,0,0.1850322086518867,0,0.13107673764564087,0,0.42125119657638377,0,0.5018181818181817,0,0.428678477760531,0,0.2528976168601253,0,0,0.7585931528153103,0,0.14315534023222315,0,0.028271368909478567,1,0.08089808184975805,1,0.5126,0,0.018483198242059906,1,0.10982467541148977,0,3,0.8454382639794751,1,0.08524133515495774,1,0.009927328442257743,1,0.009927328442257743,1,0.5076,0,0.08821699463937582,1,0.1392130703067952,0,5,0.9956144169224141,1,0.0021935989223147434,1,0.03647762158199852,1,0.052818351772703664,1,0.4988,0,0.08617004658799243,1,0.24821544834538556,0,5,0.8879876671077602,1,0.060743260904386864,1,0.061156506365731556,1,0.13843416963405356,0,0.5076,0,0.1521618883545629,0,0.31395936047420797,0,3,0.1905537557888996,0,0.5674040798671529,0,0.42370632463511726,0,0.42370632463511726,0,0.4906137184115523,0,0.2054766579821924,0,0.2482891169978373,0,0,0.3616631662488749,0,0.391869056927534,0,0.16438318368505267,0,0.16438318368505267,0,0.4942238267148015,0,0.43076609020272033,0,0.4338536349705387,0,0
6,46259,21,0.8301952052573554,0.9226839306652563,0.7605222767461467,0.9089146418608092,True,0.7434506112762809,0,0.10042249582277707,0,0.27642313270485863,0,0.27642313270485863,0,0.3851851851851852,0,0.05755293253728766,1,0.23540506675640638,0,1,0.9428277986990756,1,0.02021302348099735,1,0.1685714285714286,0,0.1685714285714286,0,0.4222222222222222,0,0.2464839141796189,0,0.17555514460500243,0,2,0.5547695344140072,0,0.21601665334983422,0,0.11399933381767935,0,0.11399933381767935,0,0.4882,0,0.0045707735100737334,1,0.16529715087310137,0,1,0.9996469968757967,1,0.0001247220012414174,1,0.08139584206354522,1,0.11760357792828133,0,0.4536,0,0.24244985397915508,0,0.14071963937159582,0,3,0.6093670753276634,0,0.15679226632258383,0,0.10938347566716544,0,0.10938347566716544,0,0.4606,0,0.0199576162682209,1,0.19270504389249654,0,1,0.8855050995582704,1,0.042600482805075224,1,0.0044324912646205306,1,0.03690983308863846,1,0.462,0,0.146110917872055,0,0.10527799209296951,0,4,0.1910875257403475,0,0.48202513498853894,0,0.3961248118090275,0,0.3961248118090275,0,0.46427184466019417,0,0.07491542639729365,1,0.2718693758473391,0,1,0.9909617385214933,1,0.003211654078770332,1,0.28526693730078145,0,0.28526693730078145,0,0.4551456310679612,0,0.43888865153628753,0,0.2606497420546374,0,2
7,46259,21,0.8506236624224475,0.9281553248321829,0.8042326898549471,0.9103233367051469,True,0.8615598499657461,1,0.061288345795448174,1,0.22619047619047616,0,0.22619047619047616,0,0.50625,0,0.07381539304300189,1,0.15990899738914027,0,3,0.9002678959667404,1,0.042374353405182696,1,0.28460451977401124,0,0.28460451977401124,0,0.49375,0,0.16068886337543065,0,0.18303899696532694,0,2,0.7554146434960388,0,0.11812305223857572,0,0.03960697350727782,1,0.0451687420825051,1,0.4964,0,0.014763122517167826,1,0.029570960860849343,1,4,0.9608666963462332,1,0.01627358802449058,1,0.002016870024022177,1,0.09011697850673374,1,0.4844,0,0.16630065983939946,0,0.09727302745528155,0,4,0.8207850677964623,1,0.07822864612762281,1,0.039570319654510966,1,0.039570319654510966,1,0.4876,0,0.07440066490939856,1,0.12857253233791693,0,5,0.892114489281574,1,0.04709015837344954,1,0.11443572447632,0,0.14084497661497958,0,0.4934,0,0.22776393860133037,0,0.22265319072930206,0,2,0.24153011163359392,0,0.437783311616418,0,0.29394929539661274,0,0.29394929539661274,0,0.45788156797331114,0,0.21519448844635547,0,0.3683251736914274,0,0,0.8314214196479273,1,0.07338181691046486,1,0.15014109353975646,0,0.1921174740786631,0,0.47122602168473726,0,0.5198402789400279,0,0.35504250147309513,0,2
8,46256,22,0.8324974057419579,0.920259060507769,0.7923296437218955,0.9090769867276057,True,0.5086459648071663,0,0.27987031696257486,0,0.20553289726818003,0,0.20553289726818003,0,0.4971962616822429,0,0.6073697270471463,0,0.4364881966765362,0,0,0.8398744113029828,1,0.07332854061826022,1,0.12209824291394133,0,0.28575947641123534,0,0.4878504672897196,0,0.6558858016339822,0,0.5006854435424931,0,2,0.928769739373248,1,0.036163339367694336,1,0.009746964043157447,1,0.021405969822359816,1,0.5008,0,0.0007334393113256343,1,0.05470248167288527,0,5,0.9979761644654414,1,0.0008926063953922925,1,0.016150948467372084,1,0.05285775120725811,1,0.4938,0,0.06869332318825061,1,0.09394107746332703,0,5,0.8393433924944939,1,0.08872939184803641,1,0.05213544043184304,1,0.06729559913894936,1,0.5124,0,0.02228171965486503,1,0.0597437883148772,0,5,0.9976284279340913,1,0.0010465777716598401,1,0.01994273250194134,1,0.03079050487011363,1,0.5044,0,0.04748674600103531,1,0.11516150065022096,0,5,0.2654420173482987,0,0.4624752836706339,0,0.27807953547170616,0,0.27807953547170616,0,0.47597402597402594,0,0.0403326340576633,1,0.222633881324733,0,1,0.8333184229385561,1,0.07719109646505079,1,0.17165053617692028,0,0.17165053617692028,0,0.48474025974025975,0,0.41227640339045524,0,0.24479556917127132,0,2
9,46255,23,0.8386768997946168,0.9234126464625717,0.8248837963463409,0.9148288893365252,True,0.8315904529816514,1,0.07942675762103402,1,0.12285714285714289,0,0.12285714285714289,0,0.4894736842105263,0,0.04486819966348854,1,0.21350198076976046,0,3,0.8508686737887127,1,0.07064115452113612,1,0.15142857142857147,0,0.15142857142857147,0,0.48421052631578954,0,0.049873144962291005,1,0.1556195978881268,0,3,0.8192685667296025,1,0.08644758852231677,1,0.061198731510187065,1,0.061198731510187065,1,0.4892,0,0.0010990662323382416,1,0.06416824535028315,0,5,0.918301662133303,1,0.03559191181666843,1,0.024207781663902028,1,0.024207781663902028,1,0.4834,0,0.0584942293739763,1,0.04779079921197066,1,6,0.8198984569548594,1,0.0801525771064992,1,0.057307716672216125,1,0.057307716672216125,1,0.496,0,0.02727119522044885,1,0.0648792594687948,0,5,0.8946218755185794,1,0.044739895888467385,1,0.0323304019027113,1,0.0323304019027113,1,0.4868,0,0.019672910961125223,1,0.07522523865322883,0,5,0.3680264307506504,0,0.35425954841694357,0,0.24161506370546848,0,0.24161506370546848,0,0.47744444444444445,0,0.059445105793293096,1,0.17330521802860266,0,1,0.824865845296636,1,0.0788665423674878,1,0.10974846287005058,0,0.11480720427673684,0,0.47944444444444445,0,0.30978723298540856,0,0.24471953666530105,0,2
10,46258,22,0.851874270396472,0.9345979824957014,0.7809027627653595,0.9238852074861955,True,0.7771597748186667,0,0.11162781985781306,0,0.2249698431845597,0,0.2249698431845597,0,0.5,0,0.16898990592597674,0,0.17288724922362964,0,0,0.9118508655126498,1,0.04407456724367509,1,0.2745657246564688,0,0.2745657246564688,0,0.2,0,0.29586455731335004,0,0.09974946037150556,0,2,0.7681342792688821,0,0.12745955383116997,0,0.03255298665005879,1,0.07209340784234218,1,0.5288,0,0.0001904232207545764,1,0.0767908122404527,0,3,0.999642561948764,1,0.00016310875956798698,1,0.006484224013476592,1,0.12524128076123758,0,0.5066,0,0.1842840448584293,0,0.07408504210795708,0,3,0.6236248860928226,0,0.18434455831572416,0,0.05917378099427251,1,0.0753700914762282,1,0.503,0,0.012242754267769218,1,0.06902875176632428,0,3,0.9975440446809012,1,0.0011229088064936832,1,0.08823192707994776,1,0.09635511617385387,1,0.4842,0,0.20872332614320965,0,0.17007948851283838,0,4,0.2300409251397137,0,0.5053067833718929,0,0.3389362214122795,0,0.3389362214122795,0,0.47526467757459095,0,0.09097127222982215,1,0.32833984306060654,0,1,0.992753443387664,1,0.0033089914642451257,1,0.21467635183075862,0,0.2869488567371024,0,0.492781520692974,0,0.5622830379088124,0,0.3088457932593007,0,2
