Attribute,Metric,Mean,SD,Threshold,Fair_at_mean,Pass_k_over_N,Pass_pct
RACE,DI,0.6482,0.1166,0.8,Fail,2/20,10.0
RACE,SPD,0.1757,0.0607,0.1,Fail,3/20,15.0
RACE,EOPP,0.1799,0.0667,0.1,Fail,2/20,10.0
RACE,EOD,0.1869,0.0635,0.1,Fail,1/20,5.0
RACE,TI,0.4819,0.0384,0.1,Fail,0/20,0.0
RACE,PP,0.1572,0.1259,0.1,Fail,10/20,50.0
RACE,CAL,0.2173,0.0763,0.05,Fail,0/20,0.0
SEX,DI,0.7562,0.0965,0.8,Fail,7/20,35.0
SEX,SPD,0.1243,0.0477,0.1,Fail,6/20,30.0
SEX,EOPP,0.0493,0.0272,0.1,Pass,18/20,90.0
SEX,EOD,0.0656,0.0245,0.1,Pass,18/20,90.0
SEX,TI,0.5017,0.0122,0.1,Fail,0/20,0.0
SEX,PP,0.0075,0.0067,0.1,Pass,20/20,100.0
SEX,CAL,0.0899,0.0407,0.05,Fail,2/20,10.0
ETHNICITY,DI,0.8242,0.1081,0.8,Pass,12/20,60.0
ETHNICITY,SPD,0.0808,0.0505,0.1,Pass,13/20,65.0
ETHNICITY,EOPP,0.0402,0.0349,0.1,Pass,18/20,90.0
ETHNICITY,EOD,0.0525,0.0306,0.1,Pass,18/20,90.0
ETHNICITY,TI,0.4862,0.0172,0.1,Fail,0/20,0.0
ETHNICITY,PP,0.0273,0.025,0.1,Pass,20/20,100.0
ETHNICITY,CAL,0.1107,0.0535,0.05,Fail,1/20,5.0
AGE_GROUP,DI,0.2542,0.0682,0.8,Fail,0/20,0.0
AGE_GROUP,SPD,0.4606,0.0546,0.1,Fail,0/20,0.0
AGE_GROUP,EOPP,0.3074,0.0726,0.1,Fail,0/20,0.0
AGE_GROUP,EOD,0.3074,0.0726,0.1,Fail,0/20,0.0
AGE_GROUP,TI,0.4794,0.0159,0.1,Fail,0/20,0.0
AGE_GROUP,PP,0.0968,0.0557,0.1,Pass,13/20,65.0
AGE_GROUP,CAL,0.2196,0.088,0.05,Fail,0/20,0.0
