Attribute,Metric,Threshold,Std_Mean,Fair_Mean,Delta_Mean,Std_Verdict_at_mean,Fair_Verdict_at_mean,Std_Pass_k/N,Fair_Pass_k/N,Std_VFR_pct,Fair_VFR_pct,Delta_VFR,Std_Reliability,Fair_Reliability,P->P,P->F,F->P,F->F
RACE,DI,0.8,0.6482,0.8378,0.1895,Fail,Pass,2/20,15/20,10.0,25.0,15.0,Moderate,Moderate,2,0,13,5
RACE,SPD,0.1,0.1757,0.0754,-0.1003,Fail,Pass,3/20,16/20,15.0,20.0,5.0,Moderate,Moderate,3,0,13,4
RACE,EOPP,0.1,0.1799,0.1383,-0.0416,Fail,Fail,2/20,7/20,10.0,35.0,25.0,Moderate,Unstable,0,2,7,11
RACE,EOD,0.1,0.1869,0.1761,-0.0108,Fail,Fail,1/20,2/20,5.0,10.0,5.0,High,Moderate,0,1,2,17
RACE,TI,0.1,0.4819,0.4665,-0.0154,Fail,Fail,0/20,0/20,0.0,0.0,0.0,High,High,0,0,0,20
RACE,PP,0.1,0.1572,0.2476,0.0904,Fail,Fail,10/20,1/20,50.0,5.0,-45.0,Unstable,High,1,9,0,10
RACE,CAL,0.05,0.2173,0.2556,0.0383,Fail,Fail,0/20,0/20,0.0,0.0,0.0,High,High,0,0,0,20
SEX,DI,0.8,0.7562,0.9533,0.197,Fail,Pass,7/20,20/20,35.0,0.0,-35.0,Unstable,High,7,0,13,0
SEX,SPD,0.1,0.1243,0.0199,-0.1045,Fail,Pass,6/20,20/20,30.0,0.0,-30.0,Unstable,High,6,0,14,0
SEX,EOPP,0.1,0.0493,0.0182,-0.0311,Pass,Pass,18/20,20/20,10.0,0.0,-10.0,Moderate,High,18,0,2,0
SEX,EOD,0.1,0.0656,0.0807,0.0151,Pass,Pass,18/20,15/20,10.0,25.0,15.0,Moderate,Moderate,13,5,2,0
SEX,TI,0.1,0.5017,0.4856,-0.0162,Fail,Fail,0/20,0/20,0.0,0.0,0.0,High,High,0,0,0,20
SEX,PP,0.1,0.0075,0.1504,0.1429,Pass,Fail,20/20,4/20,0.0,20.0,20.0,High,Moderate,4,16,0,0
SEX,CAL,0.05,0.0899,0.1082,0.0183,Fail,Fail,2/20,2/20,10.0,10.0,0.0,Moderate,Moderate,0,2,2,16
ETHNICITY,DI,0.8,0.8242,0.9177,0.0934,Pass,Pass,12/20,19/20,40.0,5.0,-35.0,Unstable,High,11,1,8,0
ETHNICITY,SPD,0.1,0.0808,0.0376,-0.0432,Pass,Pass,13/20,19/20,35.0,5.0,-30.0,Unstable,High,12,1,7,0
ETHNICITY,EOPP,0.1,0.0402,0.0396,-0.0006,Pass,Pass,18/20,19/20,10.0,5.0,-5.0,Moderate,High,17,1,2,0
ETHNICITY,EOD,0.1,0.0525,0.0619,0.0094,Pass,Pass,18/20,17/20,10.0,15.0,5.0,Moderate,Moderate,15,3,2,0
ETHNICITY,TI,0.1,0.4862,0.4841,-0.0021,Fail,Fail,0/20,0/20,0.0,0.0,0.0,High,High,0,0,0,20
ETHNICITY,PP,0.1,0.0273,0.0962,0.0689,Pass,Pass,20/20,13/20,0.0,35.0,35.0,High,Unstable,13,7,0,0
ETHNICITY,CAL,0.05,0.1107,0.145,0.0343,Fail,Fail,1/20,1/20,5.0,5.0,0.0,High,High,0,1,1,18
AGE_GROUP,DI,0.8,0.2542,0.8411,0.587,Fail,Pass,0/20,16/20,0.0,20.0,20.0,High,Moderate,0,0,16,4
AGE_GROUP,SPD,0.1,0.4606,0.0722,-0.3884,Fail,Pass,0/20,16/20,0.0,20.0,20.0,High,Moderate,0,0,16,4
AGE_GROUP,EOPP,0.1,0.3074,0.1844,-0.123,Fail,Fail,0/20,1/20,0.0,5.0,5.0,High,High,0,0,1,19
AGE_GROUP,EOD,0.1,0.3074,0.2098,-0.0976,Fail,Fail,0/20,0/20,0.0,0.0,0.0,High,High,0,0,0,20
AGE_GROUP,TI,0.1,0.4794,0.4807,0.0013,Fail,Fail,0/20,0/20,0.0,0.0,0.0,High,High,0,0,0,20
AGE_GROUP,PP,0.1,0.0968,0.4734,0.3765,Pass,Fail,13/20,0/20,35.0,0.0,-35.0,Unstable,High,0,13,0,7
AGE_GROUP,CAL,0.05,0.2196,0.3148,0.0952,Fail,Fail,0/20,0/20,0.0,0.0,0.0,High,High,0,0,0,20
