Cluster,N_hospitals,N_patients,Std_Acc,Fair_Acc,Delta_Acc,Std_AUC,Fair_AUC,Std_N_fair/28,Fair_N_fair/28,Delta_N_fair,Std_DI_worst,Fair_DI_worst,Std_DI_all>=0.80,Fair_DI_all>=0.80
1,21,46255,0.843216949518971,0.7914603826613339,-0.051756566857637076,0.9311745578443412,0.9180928210412488,6/28,9/28,3,0.246,0.589,No,No
2,21,46257,0.8423373759647188,0.7880753183301987,-0.05426205763452008,0.9306703931304888,0.9111028091307308,10/28,11/28,1,0.282,0.776,No,No
3,22,46258,0.8230792511565567,0.7809676164122963,-0.042111634744260384,0.9143925325159858,0.8984890876827832,12/28,15/28,3,0.385,0.881,No,Yes
4,22,46255,0.8494433034266565,0.7995676143119663,-0.0498756891146902,0.9295881562126084,0.9149553668022116,7/28,16/28,9,0.263,0.892,No,Yes
5,23,46255,0.8495730191330667,0.7811263647173279,-0.06844665441573883,0.933902196890412,0.9175969704702022,8/28,6/28,-2,0.185,0.615,No,No
6,21,46259,0.8291575693378586,0.7765840160833567,-0.05257355325450186,0.9226175620474382,0.9062450318569174,5/28,12/28,7,0.188,0.827,No,Yes
7,21,46259,0.8503210186125943,0.794418383449707,-0.05590263516288729,0.9282386632652072,0.9070135573169382,12/28,9/28,-3,0.244,0.83,No,Yes
8,22,46256,0.8325406433759944,0.7850441023867174,-0.047496540989277025,0.920592217004002,0.9048623666836622,11/28,14/28,3,0.269,0.835,No,Yes
9,23,46255,0.8385688033726084,0.8097935358339639,-0.028775267538644567,0.923439244585008,0.9120953573483584,14/28,17/28,3,0.369,0.859,No,Yes
10,22,46258,0.8516797094556617,0.7978728003804747,-0.05380690907518704,0.9344634096873192,0.9221037631865384,7/28,10/28,3,0.231,0.786,No,No
11,21,46259,0.8415011132968719,0.8067403099937309,-0.03476080330314102,0.9264002024236636,0.9135915261083228,10/28,13/28,3,0.299,0.862,No,Yes
12,23,46255,0.8660036752783483,0.7848016430656145,-0.08120203221273381,0.9361522589846786,0.9113573408227764,8/28,11/28,3,0.161,0.819,No,Yes
13,22,46255,0.8488379634634093,0.8105502107880229,-0.03828775267538642,0.9313751886855628,0.9201793862332082,12/28,13/28,1,0.232,0.887,No,Yes
14,23,46255,0.837012214895687,0.7920873419089828,-0.04492487298670422,0.9188630169242504,0.9068393429956052,10/28,12/28,2,0.308,0.709,No,No
15,21,46255,0.8509134147659713,0.773948762295968,-0.07696465247000328,0.9292684134504396,0.8989382319141429,9/28,9/28,0,0.223,0.67,No,No
16,21,46259,0.8467973799693033,0.7938130958300007,-0.05298428413930256,0.9312301335670672,0.9129998543776624,9/28,12/28,3,0.325,0.769,No,No
17,22,46258,0.8414328332396559,0.7982835401444075,-0.0431492930952484,0.9249713713482284,0.9071606599628432,7/28,14/28,7,0.332,0.858,No,Yes
18,23,46255,0.8486650091881959,0.7868554750837747,-0.06180953410442114,0.932390976163526,0.9175334967945872,10/28,14/28,4,0.176,0.779,No,No
19,24,46255,0.843216949518971,0.7818181818181819,-0.061398767700789114,0.9264050276121224,0.9110979348487226,8/28,13/28,5,0.135,0.838,No,Yes
20,23,46255,0.8504377905091342,0.7726732245162685,-0.07776456599286563,0.9303363813025094,0.9023525225962226,9/28,13/28,4,0.232,0.8,No,Yes
