Attribute,Metric,Std_pass_k,Std_N,Fair_pass_k,Fair_N,Std_pass_pct,Fair_pass_pct,Std_AC1,Fair_AC1
RACE,DI,2,20,15,20,10.0,75.0,0.769,0.368
RACE,SPD,3,20,16,20,15.0,80.0,0.64,0.505
RACE,EOPP,2,20,7,20,10.0,35.0,0.769,0.121
RACE,EOD,1,20,2,20,5.0,10.0,0.89,0.769
RACE,TI,0,20,0,20,0.0,0.0,1.0,1.0
RACE,PP,10,20,1,20,50.0,5.0,-0.053,0.89
RACE,CAL,0,20,0,20,0.0,0.0,1.0,1.0
SEX,DI,7,20,20,20,35.0,100.0,0.121,1.0
SEX,SPD,6,20,20,20,30.0,100.0,0.238,1.0
SEX,EOPP,18,20,20,20,90.0,100.0,0.769,1.0
SEX,EOD,18,20,15,20,90.0,75.0,0.769,0.368
SEX,TI,0,20,0,20,0.0,0.0,1.0,1.0
SEX,PP,20,20,4,20,100.0,20.0,1.0,0.505
SEX,CAL,2,20,2,20,10.0,10.0,0.769,0.769
ETHNICITY,DI,12,20,19,20,60.0,95.0,0.028,0.89
ETHNICITY,SPD,13,20,19,20,65.0,95.0,0.121,0.89
ETHNICITY,EOPP,18,20,19,20,90.0,95.0,0.769,0.89
ETHNICITY,EOD,18,20,17,20,90.0,85.0,0.769,0.64
ETHNICITY,TI,0,20,0,20,0.0,0.0,1.0,1.0
ETHNICITY,PP,20,20,13,20,100.0,65.0,1.0,0.121
ETHNICITY,CAL,1,20,1,20,5.0,5.0,0.89,0.89
AGE_GROUP,DI,0,20,16,20,0.0,80.0,1.0,0.505
AGE_GROUP,SPD,0,20,16,20,0.0,80.0,1.0,0.505
AGE_GROUP,EOPP,0,20,1,20,0.0,5.0,1.0,0.89
AGE_GROUP,EOD,0,20,0,20,0.0,0.0,1.0,1.0
AGE_GROUP,TI,0,20,0,20,0.0,0.0,1.0,1.0
AGE_GROUP,PP,13,20,0,20,65.0,0.0,0.121,1.0
AGE_GROUP,CAL,0,20,0,20,0.0,0.0,1.0,1.0
