Model,Accuracy,AUC,F1,Precision,Recall,Time_sec,N_Fair_of_28,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
XGBoost,0.8490320279312097,0.9305962608750347,0.8286939083399261,0.8475781867449474,0.8106327838168599,2.4021236896514893,15.0,0.6400007837636329,0.753302180566525,0.8291453966209134,0.24809047334860962
LightGBM,0.8481240474311719,0.9296038343438516,0.8273650454302512,0.8477546549835706,0.8079331941544885,2.112332582473755,15.0,0.6450442582707013,0.7532418472605891,0.8296160196909299,0.24741558347121279
HistGradientBoosting,0.8444110557435172,0.9267866462110504,0.8230347439081365,0.8438673893861086,0.8032059127012694,6.788735628128052,15.0,0.6405862125405019,0.7498540374514088,0.8269721371020595,0.2408548318461422
Random Forest,0.845183920097716,0.9267665689126818,0.8246392692945779,0.8418684299338774,0.8081011686223694,21.166563987731934,15.0,0.6561058215383381,0.7514669513854699,0.8279986490720015,0.24734887897912847
Stacking Ensemble,0.8436490006809854,0.9256960933480203,0.8235530914347404,0.8375451263537906,0.8100208768267223,15.714757680892944,14.0,0.6694265659017542,0.7519933435442998,0.8258057073579345,0.24356384812694082
CatBoost,0.8418924907850789,0.923641948870664,0.8196735458737086,0.8428665601784945,0.7977227461425863,12.658813238143921,14.0,0.6584439726959256,0.7474144455896977,0.822841686320759,0.2294507607901126
Gradient Boosting,0.8329586112222066,0.9154800336989218,0.8091724653161525,0.8335092918834349,0.7862164950927459,80.62218618392944,13.0,0.6638064830884893,0.7364636867512568,0.8148554964732675,0.21069749326324205
Bagging,0.8295807075762325,0.9125765881422374,0.8090312265316505,0.8168276874159227,0.8013821899071342,301.3343117237091,12.0,0.68720267760058,0.763236413247603,0.8386117887433155,0.28974891664775076
Decision Tree,0.8358825246181618,0.9047598788390931,0.8137717867261955,0.8323213568847853,0.7960310032875003,3.2912235260009766,15.0,0.6450114105760083,0.753477782373033,0.8344403028570223,0.2568818802449493
Extra Trees,0.821127841492547,0.9010852525671802,0.7933721249656619,0.827037721604665,0.7623401243011062,8.494365453720093,10.0,0.5998174602011966,0.7330736136966606,0.7726738765595167,0.139527654957386
AdaBoost,0.7983634732415985,0.8852641942484537,0.7732780728514652,0.7834572948477982,0.7633599692846688,46.958810329437256,10.0,0.701192621850673,0.7333985503909801,0.8171942309492448,0.23712895173404033
Logistic Regression,0.7592770745733032,0.8317984915309395,0.7142857142857143,0.7674652624614028,0.6679984642334366,0.3155176639556885,10.0,0.6316406676120869,0.6830180430310423,0.7348956794800455,0.11826547923056213
