Fold,N_val,N_hospitals,Acc,AUC,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP
1,46255,21,0.7914603826613339,0.9180928210412489,0.5891472868217054,0,0.21457489878542513,0,0.07101167315175094,1,0.12232737469330529,0,0.5384615384615385,0,0.1252374281128843,0,0.206366777560488,0,0.9417222551060448,1,0.02899747949678183,1,0.015352991869261201,1,0.08853034664595552,1,0.501,0,0.15451953329321522,0,0.13906416996772564,0,0.9602164130048285,1,0.01960114459628276,1,0.04965973056906714,1,0.09412412467128337,1,0.5048,0,0.1413547184017684,0,0.17791364570930535,0,0.7225709832739812,0,0.13961711879483119,0,0.16197195164786204,0,0.2133746334146742,0,0.4990595611285267,0,0.5091652389581505,0,0.36483013717633767,0
2,46257,21,0.7880753183301987,0.9111028091307307,0.7757068098409678,0,0.1032667365489619,0,0.15888278388278387,0,0.25,0,0.5285714285714286,0,0.41208791208791207,0,0.21828912896342317,0,0.965074477300498,1,0.015780733491222665,1,0.0140428592737728,1,0.08992071308623781,1,0.4986,0,0.13947817373331484,0,0.09273362122144344,0,0.9601671472337358,1,0.017749476942252873,1,0.005189482614274099,1,0.03262335488310236,1,0.4942,0,0.07163937487451577,1,0.0723190377878567,0,0.9133404159236399,1,0.03959355270321557,1,0.2037927178002492,0,0.20448506595171845,0,0.48371040723981895,0,0.45078041526729756,0,0.3053449165059352,0
3,46258,22,0.7809676164122963,0.8984890876827832,0.881409993206471,1,0.05570136682726362,1,0.24304695321647352,0,0.24304695321647352,0,0.48484848484848486,0,0.08841099163679811,1,0.3311016460891788,0,0.9631732588610279,1,0.015751919446491902,1,0.005426997651992838,1,0.0444732878762579,1,0.503,0,0.07416004968750234,1,0.14095999605036708,0,0.9038999622673983,1,0.0429828342954055,1,0.05378664819152046,1,0.05378664819152046,1,0.487,0,0.043150912594906776,1,0.16032195400465216,0,0.9345096747416141,1,0.028121111892311035,1,0.19385129450535232,0,0.19385129450535232,0,0.4825570776255709,0,0.35011386180166004,0,0.24103984711807502,0
4,46255,22,0.7995676143119663,0.9149553668022115,0.8924592648730579,1,0.04767006091734355,1,0.0761763456501875,1,0.10797915049015994,0,0.4799058084772371,0,0.27614123508284094,0,0.23752591136148699,0,0.9555412056945087,1,0.018786057749900553,1,0.01602587925604948,1,0.07412653984632148,1,0.4822,0,0.13578856796652883,0,0.0359371427235341,1,0.910510059479757,1,0.03757145091876907,1,0.009437625426474527,1,0.011603401649792316,1,0.4792,0,0.06928174205443416,1,0.0494882237217622,1,0.893270254465234,1,0.04624726238736748,1,0.18423703503724764,0,0.2069733705949955,0,0.47826086956521746,0,0.4851901257587178,0,0.2986978627948169,0
5,46255,23,0.7811263647173279,0.9175969704702022,0.8525310957647642,1,0.08311883693258748,1,0.12804339092004824,0,0.296514443380821,0,0.43636363636363634,0,0.36305891144600827,0,0.28343408170765366,0,0.9515573835907853,1,0.024540326428972192,1,0.0076487680444411454,1,0.10226403265714318,0,0.4966,0,0.17370761418832747,0,0.1283973387675913,0,0.7978302311090872,0,0.1172798869406455,0,0.07817299774530728,1,0.21332704946492242,0,0.505,0,0.1986112174641672,0,0.3072990443933093,0,0.6146527809983025,0,0.20030227399815503,0,0.15795209669828847,0,0.24638268357796228,0,0.4902527075812274,0,0.5841056370398361,0,0.42570609844882246,0
6,46259,21,0.7765840160833567,0.9062450318569174,0.9214753123140986,1,0.028405422853453877,1,0.16968817984046414,0,0.16968817984046414,0,0.42222222222222217,0,0.21505532509735226,0,0.18284930559264267,0,0.8978947055541135,1,0.03773670900143267,1,0.05483592987397912,1,0.0784006062837899,1,0.4506,0,0.19608243348310828,0,0.16707883065294205,0,0.8266792270118197,1,0.06435363481473061,1,0.014806066610019264,1,0.014806066610019264,1,0.4578,0,0.11180096522875271,0,0.09909636102902997,0,0.835818302236511,1,0.06175143959766083,1,0.22390546861958704,0,0.22390546861958704,0,0.4559223300970873,0,0.3921466243767828,0,0.2485681065045996,0
7,46259,21,0.794418383449707,0.9070135573169382,0.8296477172958735,1,0.07058248453983268,1,0.13347457627118653,0,0.13347457627118653,0,0.50625,0,0.17583198051948046,0,0.20569639985417432,0,0.9761246126156828,1,0.009882065387480543,1,0.004425676472669893,1,0.10349132476781125,0,0.487,0,0.18342157348191923,0,0.099593378411516,0,0.843674472207808,1,0.0709923600488146,1,0.13011509875936267,0,0.16620978206510395,0,0.4936,0,0.24881755899397529,0,0.2200353438381201,0,0.8887628518371271,1,0.04707835842989211,1,0.18461141382594493,0,0.2342049824143839,0,0.4722268557130943,0,0.5507916386521696,0,0.35800733536309626,0
8,46256,22,0.7850441023867174,0.9048623666836622,0.9070643642072214,1,0.04255930984902945,1,0.1416803055100928,0,0.27292207014883685,0,0.4841121495327102,0,0.6493109360060664,0,0.4721799409790322,0,0.9791599080471458,1,0.009152575237547866,1,0.027513544810241264,1,0.046935168472446706,1,0.503,0,0.06604915444410642,1,0.0923158898713895,0,0.9389911197599708,1,0.027720234211731365,1,0.011802498515371407,1,0.011802498515371407,1,0.5068,0,0.03305860320598675,1,0.11434558169865472,0,0.8349604102933237,1,0.0741230906005011,1,0.19808739809564269,0,0.19808739809564269,0,0.4814935064935065,0,0.43493118309509793,0,0.22548896655857725,0
9,46255,23,0.8097935358339639,0.9120953573483584,0.85938046702048,1,0.06660925246398314,1,0.06000000000000005,1,0.08988620381025442,1,0.4631578947368421,0,0.10303550973654063,0,0.15800088126855438,0,0.9646075035079473,1,0.014862262807716742,1,0.02267047910969633,1,0.05399165695173706,1,0.4822,0,0.0968383833627785,1,0.03230045398287362,1,0.9336635305528613,1,0.027682488293422736,1,0.016972453389769715,1,0.016972453389769715,1,0.4858,0,0.037531391585760576,1,0.05609175867605218,0,0.9349588187301134,1,0.027462862283877953,1,0.13783897479762952,0,0.1659334774166223,0,0.4851111111111111,0,0.3636376014195525,0,0.24245207872639446,0
10,46258,22,0.7978728003804747,0.9221037631865383,0.8531238119376505,1,0.07343809403117474,1,0.25460202229712214,0,0.25460202229712214,0,0.2,0,0.25757575757575757,0,0.14541794947952447,0,0.9513949954197549,1,0.02242444428759932,1,0.004340551093281797,1,0.08583796363530918,1,0.5074,0,0.14637947920608008,0,0.06544558228599329,0,0.9274408913607409,1,0.03271329369177711,1,0.0712806873090508,1,0.0712806873090508,1,0.4906,0,0.17935407917301327,0,0.15133084193224966,0,0.7862118237916006,0,0.10128369319098507,0,0.18445071337593233,0,0.21015575911901846,0,0.48970163618864293,0,0.5068170424747569,0,0.29452032659720756,0
