Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
Logistic Regression,RACE,DI,0.633588,0.144098,0.8,0.1664,1.2,0.1333,13.3,UNFAIR
Logistic Regression,RACE,SPD,0.152818,0.061014,0.1,0.0528,0.9,0.2667,26.7,UNFAIR
Logistic Regression,RACE,EOPP,0.183451,0.10508,0.1,0.0835,0.8,0.1667,16.7,UNFAIR
Logistic Regression,RACE,EOD,0.193372,0.096244,0.1,0.0934,1.0,0.0667,6.7,UNFAIR
Logistic Regression,RACE,TI,0.463134,0.029801,0.1,0.3631,12.2,0.0,0.0,UNFAIR
Logistic Regression,RACE,PP,0.200325,0.108361,0.1,0.1003,0.9,0.1667,16.7,UNFAIR
Logistic Regression,RACE,CAL,0.20937,0.039582,0.05,0.1594,4.0,0.0,0.0,UNFAIR
Logistic Regression,SEX,DI,0.688873,0.01869,0.8,0.1111,5.9,0.0,0.0,UNFAIR
Logistic Regression,SEX,SPD,0.152159,0.011478,0.1,0.0522,4.5,0.0,0.0,UNFAIR
Logistic Regression,SEX,EOPP,0.066262,0.014626,0.1,0.0337,2.3,0.0333,96.7,FAIR
Logistic Regression,SEX,EOD,0.128842,0.012515,0.1,0.0288,2.3,0.0,0.0,UNFAIR
Logistic Regression,SEX,TI,0.50014,0.007738,0.1,0.4001,51.7,0.0,0.0,UNFAIR
Logistic Regression,SEX,PP,0.030803,0.013546,0.1,0.0692,5.1,0.0,100.0,FAIR
Logistic Regression,SEX,CAL,0.089875,0.023721,0.05,0.0399,1.7,0.0,0.0,UNFAIR
Logistic Regression,ETHNICITY,DI,0.734134,0.024654,0.8,0.0659,2.7,0.0,0.0,UNFAIR
Logistic Regression,ETHNICITY,SPD,0.112557,0.011242,0.1,0.0126,1.1,0.1,10.0,UNFAIR
Logistic Regression,ETHNICITY,EOPP,0.07601,0.016644,0.1,0.024,1.4,0.0667,93.3,FAIR
Logistic Regression,ETHNICITY,EOD,0.085316,0.011758,0.1,0.0147,1.2,0.1,90.0,FAIR
Logistic Regression,ETHNICITY,TI,0.46969,0.011165,0.1,0.3697,33.1,0.0,0.0,UNFAIR
Logistic Regression,ETHNICITY,PP,0.026062,0.011346,0.1,0.0739,6.5,0.0,100.0,FAIR
Logistic Regression,ETHNICITY,CAL,0.095973,0.019459,0.05,0.046,2.4,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,DI,0.117238,0.008396,0.8,0.6828,81.3,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,SPD,0.548248,0.009245,0.1,0.4482,48.5,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,EOPP,0.514013,0.020616,0.1,0.414,20.1,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,EOD,0.514013,0.020616,0.1,0.414,20.1,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,TI,0.448309,0.008731,0.1,0.3483,39.9,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,PP,0.215897,0.032865,0.1,0.1159,3.5,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,CAL,0.350066,0.069809,0.05,0.3001,4.3,0.0,0.0,UNFAIR
Decision Tree,RACE,DI,0.646752,0.121576,0.8,0.1532,1.3,0.1333,13.3,UNFAIR
Decision Tree,RACE,SPD,0.170293,0.061059,0.1,0.0703,1.2,0.1667,16.7,UNFAIR
Decision Tree,RACE,EOPP,0.105998,0.063999,0.1,0.006,0.1,0.4667,53.3,FAIR
Decision Tree,RACE,EOD,0.121569,0.055193,0.1,0.0216,0.4,0.3333,33.3,UNFAIR
Decision Tree,RACE,TI,0.488618,0.023957,0.1,0.3886,16.2,0.0,0.0,UNFAIR
Decision Tree,RACE,PP,0.145443,0.066969,0.1,0.0454,0.7,0.3,30.0,UNFAIR
Decision Tree,RACE,CAL,0.170875,0.04472,0.05,0.1209,2.7,0.0,0.0,UNFAIR
Decision Tree,SEX,DI,0.755162,0.016033,0.8,0.0448,2.8,0.0,0.0,UNFAIR
Decision Tree,SEX,SPD,0.124652,0.009739,0.1,0.0247,2.5,0.0,0.0,UNFAIR
Decision Tree,SEX,EOPP,0.047814,0.011072,0.1,0.0522,4.7,0.0,100.0,FAIR
Decision Tree,SEX,EOD,0.060542,0.008004,0.1,0.0395,4.9,0.0,100.0,FAIR
Decision Tree,SEX,TI,0.505201,0.006499,0.1,0.4052,62.4,0.0,0.0,UNFAIR
Decision Tree,SEX,PP,0.013597,0.008414,0.1,0.0864,10.3,0.0,100.0,FAIR
Decision Tree,SEX,CAL,0.068649,0.012074,0.05,0.0186,1.5,0.0333,3.3,UNFAIR
Decision Tree,ETHNICITY,DI,0.837954,0.023805,0.8,0.038,1.6,0.0667,93.3,FAIR
Decision Tree,ETHNICITY,SPD,0.072967,0.011279,0.1,0.027,2.4,0.0,100.0,FAIR
Decision Tree,ETHNICITY,EOPP,0.028686,0.0163,0.1,0.0713,4.4,0.0,100.0,FAIR
Decision Tree,ETHNICITY,EOD,0.034962,0.013074,0.1,0.065,5.0,0.0,100.0,FAIR
Decision Tree,ETHNICITY,TI,0.487193,0.006451,0.1,0.3872,60.0,0.0,0.0,UNFAIR
Decision Tree,ETHNICITY,PP,0.016597,0.010318,0.1,0.0834,8.1,0.0,100.0,FAIR
Decision Tree,ETHNICITY,CAL,0.084748,0.023369,0.05,0.0347,1.5,0.0667,6.7,UNFAIR
Decision Tree,AGE_GROUP,DI,0.258207,0.013779,0.8,0.5418,39.3,0.0,0.0,UNFAIR
Decision Tree,AGE_GROUP,SPD,0.450746,0.011002,0.1,0.3507,31.9,0.0,0.0,UNFAIR
Decision Tree,AGE_GROUP,EOPP,0.273765,0.023058,0.1,0.1738,7.5,0.0,0.0,UNFAIR
Decision Tree,AGE_GROUP,EOD,0.273765,0.023058,0.1,0.1738,7.5,0.0,0.0,UNFAIR
Decision Tree,AGE_GROUP,TI,0.485935,0.009258,0.1,0.3859,41.7,0.0,0.0,UNFAIR
Decision Tree,AGE_GROUP,PP,0.090954,0.018346,0.1,0.009,0.5,0.4333,56.7,FAIR
Decision Tree,AGE_GROUP,CAL,0.199547,0.073759,0.05,0.1495,2.0,0.0,0.0,UNFAIR
Random Forest,RACE,DI,0.675152,0.114404,0.8,0.1248,1.1,0.1333,13.3,UNFAIR
Random Forest,RACE,SPD,0.156664,0.056953,0.1,0.0567,1.0,0.2,20.0,UNFAIR
Random Forest,RACE,EOPP,0.106646,0.05564,0.1,0.0066,0.1,0.4667,53.3,FAIR
Random Forest,RACE,EOD,0.117212,0.048091,0.1,0.0172,0.4,0.4333,43.3,UNFAIR
Random Forest,RACE,TI,0.491597,0.026763,0.1,0.3916,14.6,0.0,0.0,UNFAIR
Random Forest,RACE,PP,0.154188,0.06941,0.1,0.0542,0.8,0.2333,23.3,UNFAIR
Random Forest,RACE,CAL,0.210211,0.076577,0.05,0.1602,2.1,0.0,0.0,UNFAIR
Random Forest,SEX,DI,0.753132,0.016189,0.8,0.0469,2.9,0.0,0.0,UNFAIR
Random Forest,SEX,SPD,0.126441,0.009699,0.1,0.0264,2.7,0.0,0.0,UNFAIR
Random Forest,SEX,EOPP,0.048744,0.010474,0.1,0.0513,4.9,0.0,100.0,FAIR
Random Forest,SEX,EOD,0.058913,0.00678,0.1,0.0411,6.1,0.0,100.0,FAIR
Random Forest,SEX,TI,0.506307,0.007071,0.1,0.4063,57.5,0.0,0.0,UNFAIR
Random Forest,SEX,PP,0.009743,0.007665,0.1,0.0903,11.8,0.0,100.0,FAIR
Random Forest,SEX,CAL,0.059329,0.011769,0.05,0.0093,0.8,0.1667,16.7,UNFAIR
Random Forest,ETHNICITY,DI,0.833036,0.020352,0.8,0.033,1.6,0.0667,93.3,FAIR
Random Forest,ETHNICITY,SPD,0.07561,0.009744,0.1,0.0244,2.5,0.0,100.0,FAIR
Random Forest,ETHNICITY,EOPP,0.035954,0.015251,0.1,0.064,4.2,0.0,100.0,FAIR
Random Forest,ETHNICITY,EOD,0.038606,0.012968,0.1,0.0614,4.7,0.0,100.0,FAIR
Random Forest,ETHNICITY,TI,0.488564,0.008993,0.1,0.3886,43.2,0.0,0.0,UNFAIR
Random Forest,ETHNICITY,PP,0.01846,0.009918,0.1,0.0815,8.2,0.0,100.0,FAIR
Random Forest,ETHNICITY,CAL,0.072646,0.019002,0.05,0.0226,1.2,0.0333,3.3,UNFAIR
Random Forest,AGE_GROUP,DI,0.24876,0.013774,0.8,0.5512,40.0,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,SPD,0.464416,0.011213,0.1,0.3644,32.5,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,EOPP,0.282973,0.024065,0.1,0.183,7.6,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,EOD,0.282973,0.024065,0.1,0.183,7.6,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,TI,0.4857,0.010845,0.1,0.3857,35.6,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,PP,0.073139,0.020895,0.1,0.0269,1.3,0.0667,93.3,FAIR
Random Forest,AGE_GROUP,CAL,0.176155,0.064298,0.05,0.1262,2.0,0.0,0.0,UNFAIR
Gradient Boosting,RACE,DI,0.664422,0.118893,0.8,0.1356,1.1,0.1,10.0,UNFAIR
Gradient Boosting,RACE,SPD,0.160964,0.058891,0.1,0.061,1.0,0.1,10.0,UNFAIR
Gradient Boosting,RACE,EOPP,0.113224,0.06691,0.1,0.0132,0.2,0.4667,53.3,FAIR
Gradient Boosting,RACE,EOD,0.121407,0.061761,0.1,0.0214,0.3,0.4667,46.7,UNFAIR
Gradient Boosting,RACE,TI,0.489279,0.021549,0.1,0.3893,18.1,0.0,0.0,UNFAIR
Gradient Boosting,RACE,PP,0.161911,0.062285,0.1,0.0619,1.0,0.2333,23.3,UNFAIR
Gradient Boosting,RACE,CAL,0.193178,0.046923,0.05,0.1432,3.1,0.0,0.0,UNFAIR
Gradient Boosting,SEX,DI,0.750353,0.017773,0.8,0.0496,2.8,0.0,0.0,UNFAIR
Gradient Boosting,SEX,SPD,0.12772,0.010724,0.1,0.0277,2.6,0.0,0.0,UNFAIR
Gradient Boosting,SEX,EOPP,0.05218,0.011486,0.1,0.0478,4.2,0.0,100.0,FAIR
Gradient Boosting,SEX,EOD,0.059899,0.008236,0.1,0.0401,4.9,0.0,100.0,FAIR
Gradient Boosting,SEX,TI,0.505927,0.008184,0.1,0.4059,49.6,0.0,0.0,UNFAIR
Gradient Boosting,SEX,PP,0.011353,0.007739,0.1,0.0886,11.5,0.0,100.0,FAIR
Gradient Boosting,SEX,CAL,0.064719,0.017217,0.05,0.0147,0.9,0.2333,23.3,UNFAIR
Gradient Boosting,ETHNICITY,DI,0.833446,0.021281,0.8,0.0334,1.6,0.0667,93.3,FAIR
Gradient Boosting,ETHNICITY,SPD,0.075161,0.010092,0.1,0.0248,2.5,0.0,100.0,FAIR
Gradient Boosting,ETHNICITY,EOPP,0.034995,0.016261,0.1,0.065,4.0,0.0,100.0,FAIR
Gradient Boosting,ETHNICITY,EOD,0.03755,0.013805,0.1,0.0625,4.5,0.0,100.0,FAIR
Gradient Boosting,ETHNICITY,TI,0.489308,0.008758,0.1,0.3893,44.5,0.0,0.0,UNFAIR
