metric,attribute,n_pass,n_fail,vfr,verdict_dominant
DI,RACE,6,494,0.012,unfair
SPD,RACE,9,491,0.018,unfair
EOPP,RACE,249,251,0.498,unfair
EOD,RACE,199,301,0.398,unfair
TI,RACE,500,0,0.0,fair
PP,RACE,231,269,0.462,unfair
CAL,RACE,0,500,0.0,unfair
DI,SEX,14,486,0.028,unfair
SPD,SEX,14,486,0.028,unfair
EOPP,SEX,500,0,0.0,fair
EOD,SEX,500,0,0.0,fair
TI,SEX,500,0,0.0,fair
PP,SEX,500,0,0.0,fair
CAL,SEX,29,471,0.058,unfair
DI,ETHNICITY,454,46,0.092,fair
SPD,ETHNICITY,490,10,0.02,fair
EOPP,ETHNICITY,500,0,0.0,fair
EOD,ETHNICITY,500,0,0.0,fair
TI,ETHNICITY,500,0,0.0,fair
PP,ETHNICITY,500,0,0.0,fair
CAL,ETHNICITY,25,475,0.05,unfair
DI,AGE_GROUP,0,500,0.0,unfair
SPD,AGE_GROUP,0,500,0.0,unfair
EOPP,AGE_GROUP,0,500,0.0,unfair
EOD,AGE_GROUP,0,500,0.0,unfair
TI,AGE_GROUP,500,0,0.0,fair
PP,AGE_GROUP,411,89,0.178,fair
CAL,AGE_GROUP,0,500,0.0,unfair
