Lambda,Accuracy,AUROC,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP,All_DI_ge_080,Fair_of_28
0.0,0.8634,0.9425,0.618,0.749,0.819,0.262,False,20
0.5,0.8636,0.942,0.596,0.747,0.823,0.263,False,20
1.0,0.8599,0.9397,0.576,0.748,0.82,0.261,False,20
2.0,0.8578,0.9373,0.575,0.749,0.821,0.264,False,18
5.0,0.8571,0.9367,0.579,0.748,0.82,0.262,False,20
10.0,0.8564,0.9365,0.588,0.749,0.822,0.256,False,20
20.0,0.8565,0.9366,0.591,0.745,0.822,0.256,False,20
30.0,0.8559,0.9362,0.595,0.743,0.82,0.253,False,20
50.0,0.8567,0.9366,0.585,0.745,0.82,0.254,False,20
100.0,0.857,0.9369,0.593,0.746,0.825,0.258,False,20
