Cluster,N_hosp,N_test,Std_Acc,Std_AUC,Std_DI_RACE,Std_DI_SEX,Std_DI_ETHNICITY,Std_DI_AGE_GROUP,Std_Fair_of_28,Std_DI_worst,Std_All4_DI_ge_080,Fair_Acc,Fair_AUC,Fair_DI_RACE,Fair_DI_SEX,Fair_DI_ETHNICITY,Fair_DI_AGE_GROUP,Fair_Fair_of_28,Fair_DI_worst,Fair_All4_DI_ge_080
1,21,46255,0.8358,0.9275,0.488,0.745,0.745,0.257,9,0.257,False,0.8118,0.923,0.53,0.84,0.826,0.497,17,0.497,False
2,21,46257,0.8488,0.933,0.53,0.773,0.825,0.273,16,0.273,False,0.8013,0.9299,0.909,0.974,0.942,0.848,22,0.848,True
3,22,46258,0.825,0.9127,0.737,0.829,0.929,0.377,18,0.377,False,0.7987,0.9115,0.861,1.0,0.95,0.867,22,0.861,True
4,22,46255,0.8446,0.927,0.553,0.755,0.758,0.264,15,0.264,False,0.7986,0.9224,0.84,0.995,0.9,0.809,22,0.809,True
5,23,46255,0.8329,0.9299,0.619,0.767,0.98,0.174,13,0.174,False,0.8128,0.9276,0.586,0.86,0.908,0.545,15,0.545,False
6,21,46259,0.8255,0.9213,0.737,0.548,0.58,0.19,9,0.19,False,0.7752,0.9195,0.877,0.924,0.741,0.876,16,0.741,False
7,21,46259,0.8449,0.9262,0.885,0.772,0.851,0.292,16,0.292,False,0.8015,0.9183,0.852,0.963,0.848,0.807,17,0.807,True
8,22,46256,0.8209,0.9106,0.155,0.91,0.809,0.276,17,0.155,False,0.7815,0.9115,0.976,0.995,0.996,0.98,22,0.976,True
9,23,46255,0.8388,0.9231,0.803,0.822,0.805,0.376,22,0.376,False,0.815,0.9209,0.857,0.989,0.901,0.838,26,0.838,True
10,22,46258,0.846,0.9295,0.79,0.78,0.655,0.272,13,0.272,False,0.793,0.9267,0.929,0.967,0.942,0.849,19,0.849,True
11,21,46259,0.8289,0.9176,0.519,0.8,0.784,0.303,12,0.303,False,0.7995,0.9103,0.843,0.982,0.832,0.809,17,0.809,True
12,23,46255,0.8556,0.928,0.57,0.582,0.761,0.168,15,0.168,False,0.8165,0.9243,0.752,0.805,0.859,0.519,19,0.519,False
13,22,46255,0.8451,0.9286,0.632,0.813,0.79,0.226,17,0.226,False,0.8084,0.9219,0.817,0.982,0.993,0.876,20,0.817,True
14,23,46255,0.8313,0.9132,0.781,0.816,0.89,0.315,14,0.315,False,0.7974,0.9124,0.834,0.952,0.925,0.837,21,0.834,True
15,21,46255,0.8341,0.9218,0.741,0.729,0.874,0.276,12,0.276,False,0.7848,0.9166,0.883,0.96,0.962,0.814,17,0.814,True
16,21,46259,0.826,0.9158,0.656,0.869,0.69,0.39,13,0.39,False,0.7856,0.9121,0.509,0.971,0.848,0.858,19,0.509,False
17,22,46258,0.8443,0.9265,0.653,0.76,0.729,0.312,15,0.312,False,0.8108,0.9273,0.825,0.94,0.866,0.849,21,0.825,True
18,23,46255,0.8395,0.9254,0.528,0.714,0.984,0.198,18,0.198,False,0.7851,0.9221,0.8,0.974,0.894,0.846,21,0.8,True
19,24,46255,0.8416,0.9247,0.526,0.652,0.899,0.138,12,0.138,False,0.7897,0.9232,0.812,0.991,0.984,0.803,16,0.803,True
20,23,46255,0.8482,0.9257,0.207,0.551,0.98,0.202,14,0.202,False,0.8126,0.9221,0.185,0.819,0.98,0.607,19,0.185,False
