Attribute,Subgroup,N,Pct,LOS_gt_3d_pct,N_formatted,LOS_gt_3d_pct_str
Race,White,603368,65.2,45.3,"603,368 (65.2%)",45.3%
Race,Black,115212,12.5,52.3,"115,212 (12.5%)",52.3%
Race,Asian/Pacific Islander,16404,1.8,41.0,"16,404 (1.8%)",41.0%
Race,American Indian,3474,0.4,33.4,"3,474 (0.4%)",33.4%
Race,Other/Unknown,186670,20.2,40.4,"186,670 (20.2%)",40.4%
Sex,Male,585840,63.3,41.1,"585,840 (63.3%)",41.1%
Sex,Female,339288,36.7,51.8,"339,288 (36.7%)",51.8%
Ethnicity,Hispanic,670586,72.5,47.1,"670,586 (72.5%)",47.1%
Ethnicity,Non-Hispanic,254542,27.5,39.7,"254,542 (27.5%)",39.7%
Age Group,Pediatric (<18),38121,4.1,40.3,"38,121 (4.1%)",40.3%
Age Group,Young Adult (18-39),208528,22.5,20.7,"208,528 (22.5%)",20.7%
Age Group,Middle-Aged (40-64),281409,30.4,41.8,"281,409 (30.4%)",41.8%
Age Group,Elderly (>=65),397070,42.9,60.6,"397,070 (42.9%)",60.6%
Total,All,925128,100.0,45.0,"925,128 (100.0%)",45.0%
