Model,AUROC,Accuracy,F1,Precision,Recall,Time_sec,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP,Fair_of_28
XGBoost,0.9528,0.8776,0.8627,0.8719,0.8537,107.91,0.644,0.763,0.831,0.299,20
LightGBM,0.9433,0.8645,0.8472,0.8605,0.8343,19.98,0.595,0.752,0.821,0.264,20
HistGradientBoosting,0.9389,0.8584,0.8404,0.8537,0.8275,15.7,0.603,0.746,0.82,0.256,20
Stacking Ensemble,0.9345,0.8525,0.8341,0.8453,0.8232,185.03,0.619,0.744,0.821,0.258,19
Random Forest,0.9338,0.853,0.8336,0.8504,0.8174,126.11,0.587,0.742,0.81,0.24,18
Bagging,0.9335,0.8566,0.8417,0.8372,0.8462,153.83,0.676,0.764,0.831,0.303,19
CatBoost,0.9287,0.8466,0.8264,0.8429,0.8106,45.21,0.579,0.73,0.806,0.232,18
Gradient Boosting,0.9219,0.838,0.8169,0.8319,0.8024,174.45,0.617,0.719,0.796,0.218,16
Decision Tree,0.9202,0.8397,0.8164,0.8435,0.7911,5.11,0.609,0.742,0.825,0.27,18
AdaBoost,0.8972,0.8143,0.7936,0.7947,0.7924,44.28,0.654,0.693,0.777,0.227,10
Extra Trees,0.8873,0.7988,0.7762,0.7781,0.7743,52.75,0.587,0.726,0.768,0.162,13
Logistic Regression,0.8806,0.801,0.7748,0.7904,0.7598,3.04,0.534,0.684,0.757,0.184,15
