Model,Family,Hyperparameters
Logistic Regression,Linear (regularised),"C=1.0, dual=False, fit_intercept=True, intercept_scaling=1, l1_ratio=0.0, max_iter=500, penalty='deprecated', solver='liblinear', tol=0.0001"
Decision Tree,Single tree,"ccp_alpha=0.0, criterion='gini', max_depth=12, min_impurity_decrease=0.0, min_samples_leaf=1, min_samples_split=2, min_weight_fraction_leaf=0.0, splitter='best'"
Random Forest,Bagging of trees,"bootstrap=True, ccp_alpha=0.0, criterion='gini', max_depth=15, max_features='sqrt', min_impurity_decrease=0.0, min_samples_leaf=1, min_samples_split=2, min_weight_fraction_leaf=0.0, n_estimators=100, oob_score=False"
Gradient Boosting,Boosting (sklearn),"ccp_alpha=0.0, criterion='friedman_mse', learning_rate=0.1, loss='log_loss', max_depth=4, min_impurity_decrease=0.0, min_samples_leaf=1, min_samples_split=2, min_weight_fraction_leaf=0.0, n_estimators=80, subsample=1.0, tol=0.0001, validation_fraction=0.1"
AdaBoost,Boosting (adaptive),"learning_rate=1.0, n_estimators=100"
XGBoost,GBM (XGBoost) - CANONICAL,"learning_rate=0.05, max_depth=10, min_child_weight=3, n_estimators=1500, reg_alpha=0.0, reg_lambda=1.0"
LightGBM,GBM (LightGBM),"boosting_type='gbdt', colsample_bytree=1.0, learning_rate=0.05, max_depth=8, min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0, n_estimators=300, num_leaves=63, reg_alpha=0.0, reg_lambda=0.0, subsample=1.0, subsample_for_bin=200000, subsample_freq=0"
CatBoost,GBM (CatBoost),"iterations=200, learning_rate=0.05, depth=8"
HistGradientBoosting,Histogram GBM (sklearn),"categorical_features='from_dtype', l2_regularization=0.0, learning_rate=0.05, loss='log_loss', max_bins=255, max_depth=8, max_features=1.0, max_iter=300, max_leaf_nodes=31, min_samples_leaf=20, n_iter_no_change=10, scoring='loss', tol=1e-07, validation_fraction=0.1"
Bagging,Bagging of decision trees,"bootstrap=True, bootstrap_features=False, max_features=1.0, n_estimators=30, oob_score=False"
Extra Trees,Randomised trees,"bootstrap=False, ccp_alpha=0.0, criterion='gini', max_depth=15, max_features='sqrt', min_impurity_decrease=0.0, min_samples_leaf=1, min_samples_split=2, min_weight_fraction_leaf=0.0, n_estimators=100, oob_score=False"
Stacking Ensemble,Meta: LR + RF + XGB -> LR,"cv=3, estimators=[('lr', LogisticRegression(max_iter=300, random_state=42, solver='liblinear')), ('rf', RandomForestClassifier(max_depth=12, n_estimators=50, n_jobs=1, random_state=42)), ('xgb_b', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, feature_weights=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=6, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=100, n_jobs=1,
              num_parallel_tree=None, ...))], passthrough=False, stack_method='auto'"
  └─ Stacking.lr,base estimator (LogisticRegression),"C=1.0, dual=False, fit_intercept=True, intercept_scaling=1, l1_ratio=0.0, max_iter=300, penalty='deprecated', solver='liblinear', tol=0.0001"
  └─ Stacking.rf,base estimator (RandomForestClassifier),"bootstrap=True, ccp_alpha=0.0, criterion='gini', max_depth=12, max_features='sqrt', min_impurity_decrease=0.0, min_samples_leaf=1, min_samples_split=2, min_weight_fraction_leaf=0.0, n_estimators=50, oob_score=False"
  └─ Stacking.xgb_b,base estimator (XGBClassifier),"learning_rate=0.1, max_depth=6, n_estimators=100"
  └─ Stacking.final_estimator,meta-learner (LogisticRegression),"C=1.0, dual=False, fit_intercept=True, intercept_scaling=1, l1_ratio=0.0, max_iter=200, penalty='deprecated', solver='liblinear', tol=0.0001"
