metric,attribute,N,mean_metric,SD_metric,threshold,margin,empirical_VFR,hoeffding_upper_bound,CLT_flip_estimate,n_pass,n_fail
DI,RACE,1000,0.3848,0.265,0.8,0.4152,0.016,0.0,0.0586,8,492
DI,RACE,2000,0.5103,0.2187,0.8,0.2897,0.026,0.0,0.0927,13,487
DI,RACE,5000,0.5846,0.1548,0.8,0.2154,0.032,0.0,0.0821,16,484
DI,RACE,10000,0.6192,0.1239,0.8,0.1808,0.018,0.0,0.0723,9,491
DI,RACE,25000,0.6323,0.0893,0.8,0.1677,0.006,0.0,0.0302,3,497
DI,RACE,50000,0.6382,0.0638,0.8,0.1618,0.002,0.0,0.0056,1,499
DI,RACE,100000,0.6437,0.0507,0.8,0.1563,0.0,0.0,0.001,0,500
DI,RACE,185026,0.6403,0.0346,0.8,0.1597,0.0,0.0,0.0,0,500
DI,AGE_GROUP,1000,0.3011,0.0398,0.8,0.4989,0.0,0.0,0.0,0,500
DI,AGE_GROUP,2000,0.2982,0.0307,0.8,0.5018,0.0,0.0,0.0,0,500
DI,AGE_GROUP,5000,0.298,0.0182,0.8,0.502,0.0,0.0,0.0,0,500
DI,AGE_GROUP,10000,0.2977,0.0134,0.8,0.5023,0.0,0.0,0.0,0,500
DI,AGE_GROUP,25000,0.2975,0.0086,0.8,0.5025,0.0,0.0,0.0,0,500
DI,AGE_GROUP,50000,0.2976,0.0065,0.8,0.5024,0.0,0.0,0.0,0,500
DI,AGE_GROUP,100000,0.2968,0.0043,0.8,0.5032,0.0,0.0,0.0,0,500
DI,AGE_GROUP,185026,0.2969,0.0032,0.8,0.5031,0.0,0.0,0.0,0,500
EOPP,RACE,1000,0.2721,0.2204,0.1,0.1721,0.096,0.0,0.2175,48,452
EOPP,RACE,2000,0.2555,0.1865,0.1,0.1555,0.052,0.0,0.2022,26,474
EOPP,RACE,5000,0.1812,0.123,0.1,0.0812,0.222,0.0,0.2547,111,389
EOPP,RACE,10000,0.1144,0.0666,0.1,0.0144,0.472,0.0315,0.4144,264,236
EOPP,RACE,25000,0.0823,0.0506,0.1,0.0177,0.286,0.0,0.3634,357,143
EOPP,RACE,50000,0.0629,0.033,0.1,0.0371,0.13,0.0,0.1306,435,65
EOPP,RACE,100000,0.0484,0.0233,0.1,0.0516,0.046,0.0,0.0136,477,23
EOPP,RACE,185026,0.0468,0.0204,0.1,0.0532,0.004,0.0,0.0046,498,2
